#name1,name2,distance,force_redirection
Merged_Fenerive Est_Vavatenina,Toamasina II,738.62,0
Merged_Fenerive Est_Vavatenina,Merged_Toamasina I_Ambatondrazaka,800.3,0
Soanierana Ivongo,Merged_Fenerive Est_Vavatenina,578.04,0
Soanierana Ivongo,Mananara-Avaratra,772.88,0
Soanierana Ivongo,Andilamena,1017.19,0
Amparafaravola,Merged_Toamasina I_Ambatondrazaka,416.93,0
Amparafaravola,Andilamena,670.96,0
Amparafaravola,Anjozorobe,882.71,0
Moramanga,Anosibe-An'ala,491.68,0
Moramanga,Anjozorobe,647.67,0
Moramanga,Merged_1er Arrondissement_2e Arrondissement_3e Arrondissement_5e Arrondissement_6e Arrondissement_Antananarivo Avaradrano_Ambohidratrimo_Manjakandriana_Andramasina,665.01,0
Anosibe-An'ala,Moramanga,491.68,0
Anosibe-An'ala,Merged_Vatomandry_Antanambao Manampontsy,571.14,0
Anosibe-An'ala,Marolambo,615.43,0
Mahajanga I,Merged_Ambato Boeni_Marovoay,589.41,0
Mahajanga I,Mitsinjo,666.61,0
Mahajanga I,Kandreho,887.1,0
Merged_Ambato Boeni_Marovoay,Mahajanga I,589.41,0
Merged_Ambato Boeni_Marovoay,Mahajanga II,679.31,0
Merged_Ambato Boeni_Marovoay,Mitsinjo,858.86,0
Mitsinjo,Mahajanga II,538.65,0
Mitsinjo,Soalala,545.3,0
Mitsinjo,Mahajanga I,666.61,0
Mahajanga II,Mitsinjo,538.65,0
Mahajanga II,Merged_Ambato Boeni_Marovoay,679.31,0
Mahajanga II,Mahajanga I,896.07,0
Merged_Port-Berge (Boriziny-Vaovao)_Mampikony,Befandriana Nord,1065.15,0
Merged_Port-Berge (Boriziny-Vaovao)_Mampikony,Merged_Ambato Boeni_Marovoay,1079.34,0
Merged_Port-Berge (Boriziny-Vaovao)_Mampikony,Merged_Analalava_Antsohihy,1140.56,0
Merged_Analalava_Antsohihy,Befandriana Nord,837.91,0
Merged_Analalava_Antsohihy,Bealanana,905.58,0
Merged_Analalava_Antsohihy,Merged_Port-Berge (Boriziny-Vaovao)_Mampikony,1140.56,0
Bealanana,Merged_Maevatanana_Tsaratanana_Ambanja,706.48,0
Bealanana,Befandriana Nord,742.85,0
Bealanana,Merged_Analalava_Antsohihy,905.58,0
Merged_Maevatanana_Tsaratanana_Ambanja,Bealanana,706.48,0
Merged_Maevatanana_Tsaratanana_Ambanja,Ambilobe,782.64,0
Merged_Maevatanana_Tsaratanana_Ambanja,Merged_Analalava_Antsohihy,1177.63,0
Kandreho,Ambatomainty,478.85,0
Kandreho,Mahajanga I,887.1,0
Kandreho,Fenoarivobe,1075.62,0
Ambatomainty,Kandreho,478.85,0
Ambatomainty,Morafenobe,750.47,0
Ambatomainty,Tsiroanomandidy,1140.07,0
Antsalova,Maintirano,857.69,0
Antsalova,Morafenobe,908.86,0
Antsalova,Belo Sur Tsiribihina,1017.0,0
Maintirano,Antsalova,857.69,0
Maintirano,Morafenobe,933.08,0
Maintirano,Besalampy,1393.04,0
Morafenobe,Ambatomainty,750.47,0
Morafenobe,Antsalova,908.86,0
Morafenobe,Maintirano,933.08,0
Tsihombe,Beloha,447.14,0
Tsihombe,Camp_Androy,623.13,0
Tsihombe,Merged_Ambovombe-Androy_Amboasary-Atsimo,781.61,0
Merged_Ambovombe-Androy_Amboasary-Atsimo,Camp_Androy,159.47,0
Merged_Ambovombe-Androy_Amboasary-Atsimo,Taolagnaro,764.13,0
Merged_Ambovombe-Androy_Amboasary-Atsimo,Tsihombe,781.61,0
Taolagnaro,Merged_Ambovombe-Androy_Amboasary-Atsimo,764.13,0
Taolagnaro,Camp_Androy,918.77,0
Taolagnaro,Camp_Atsimo-Atsinanana,1221.29,0
Betroka,Camp_Anosy,31.51,0
Betroka,Iakora,586.34,0
Betroka,Ihosy,819.14,0
Miandrivazo,Mandoto,830.8,0
Miandrivazo,Belo Sur Tsiribihina,927.61,0
Miandrivazo,Tsiroanomandidy,963.7,0
Merged_1er Arrondissement_2e Arrondissement_3e Arrondissement_5e Arrondissement_6e Arrondissement_Antananarivo Avaradrano_Ambohidratrimo_Manjakandriana_Andramasina,Merged_4e Arrondissement_Antananarivo Atsimondrano_Arivonimamo,174.55,0
Merged_1er Arrondissement_2e Arrondissement_3e Arrondissement_5e Arrondissement_6e Arrondissement_Antananarivo Avaradrano_Ambohidratrimo_Manjakandriana_Andramasina,Ambatolampy,481.65,0
Merged_1er Arrondissement_2e Arrondissement_3e Arrondissement_5e Arrondissement_6e Arrondissement_Antananarivo Avaradrano_Ambohidratrimo_Manjakandriana_Andramasina,Anjozorobe,611.5,0
Ankazobe,Fenoarivobe,567.13,0
Ankazobe,Merged_4e Arrondissement_Antananarivo Atsimondrano_Arivonimamo,728.84,0
Ankazobe,Merged_1er Arrondissement_2e Arrondissement_3e Arrondissement_5e Arrondissement_6e Arrondissement_Antananarivo Avaradrano_Ambohidratrimo_Manjakandriana_Andramasina,758.95,0
Anjozorobe,Merged_1er Arrondissement_2e Arrondissement_3e Arrondissement_5e Arrondissement_6e Arrondissement_Antananarivo Avaradrano_Ambohidratrimo_Manjakandriana_Andramasina,611.5,0
Anjozorobe,Moramanga,647.67,0
Anjozorobe,Merged_4e Arrondissement_Antananarivo Atsimondrano_Arivonimamo,755.37,0
Merged_Antsirabe I_Antanifotsy,Camp_Vakinankaratra,179.97,0
Merged_Antsirabe I_Antanifotsy,Merged_Betafo_Faratsiho,307.51,0
Merged_Antsirabe I_Antanifotsy,Ambatolampy,454.52,0
Mananara-Avaratra,Maroantsetra,734.25,0
Mananara-Avaratra,Soanierana Ivongo,772.88,0
Mananara-Avaratra,Camp_Sofia,974.83,0
Andilamena,Amparafaravola,670.96,0
Andilamena,Merged_Toamasina I_Ambatondrazaka,773.33,0
Andilamena,Merged_Fenerive Est_Vavatenina,838.09,0
Soalala,Mitsinjo,545.3,0
Soalala,Mahajanga I,984.33,0
Soalala,Besalampy,1057.52,0
Mandritsara,Camp_Sofia,34.38,0
Mandritsara,Befandriana Nord,653.85,0
Mandritsara,Mananara-Avaratra,996.02,0
Befandriana Nord,Mandritsara,653.85,0
Befandriana Nord,Camp_Sofia,688.06,0
