Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,29,0,0.0,0,0,0.0,0,0,0.0,4,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,33,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,65,0,0.0,0,0,0.0,0,0,0.0,21,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,86,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,259,0,0.0,0,0,0.0,0,0,0.0,78,0,0.0,1,0,0.0,27,0,0.0,0.0,0,5586,0,365,0
3,2022-02-19,0,0,0.0,52,0,0.0,58,0,0.0,467,0,0.0,61,0,0.0,0,0,0.0,224,0,0.0,34,0,0.0,133,0,0.0,0.0,0,12691,0,1029,0
4,2022-02-20,2,0,0.0,184,0,0.0,146,0,0.0,1096,0,0.0,195,0,0.0,0,0,0.0,518,0,0.0,110,0,0.0,382,0,0.0,0.0,0,19482,0,2633,0
5,2022-02-21,3,0,0.0,382,0,0.0,253,0,0.0,1625,0,0.0,375,0,0.0,0,0,0.0,759,0,0.0,198,0,0.0,645,0,0.0,0.0,0,27403,0,4240,0
6,2022-02-22,22,0,0.0,659,0,0.0,362,0,0.0,2372,0,0.0,633,0,0.0,0,0,0.0,1179,0,0.0,342,0,0.0,936,0,0.0,0.0,0,34082,0,6505,0
7,2022-02-23,67,0,0.0,945,0,0.0,490,0,0.0,3301,0,0.0,1291,0,0.0,0,0,0.0,1534,0,0.0,511,0,0.0,1376,0,0.0,0.0,0,39535,0,9515,0
8,2022-02-24,150,0,0.0,1250,0,0.0,550,0,0.0,4079,0,0.0,2116,0,0.0,0,0,0.0,1838,0,0.0,634,0,0.0,1641,0,0.0,0.0,0,40535,0,12258,0
9,2022-02-25,269,0,0.0,1468,0,0.0,607,0,0.0,4433,0,0.0,2879,0,0.0,0,0,0.0,1997,0,0.0,717,0,0.0,1887,0,0.0,0.0,0,41430,0,14257,0
