Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,33,0,0.0,0,0,0.0,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,35,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,70,0,0.0,0,0,0.0,0,0,0.0,16,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,86,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,260,0,0.0,0,0,0.0,0,0,0.0,79,0,0.0,0,0,0.0,40,0,0.0,0.0,0,5586,0,379,0
3,2022-02-19,0,0,0.0,51,0,0.0,75,0,0.0,490,0,0.0,66,0,0.0,0,0,0.0,228,0,0.0,41,0,0.0,146,0,0.0,0.0,0,12691,0,1097,0
4,2022-02-20,5,0,0.0,172,0,0.0,160,0,0.0,1156,0,0.0,171,0,0.0,0,0,0.0,510,0,0.0,109,0,0.0,429,0,0.0,0.0,0,19482,0,2712,0
5,2022-02-21,8,0,0.0,375,0,0.0,287,0,0.0,1694,0,0.0,356,0,0.0,0,0,0.0,727,0,0.0,192,0,0.0,678,0,0.0,0.0,0,27403,0,4317,0
6,2022-02-22,24,0,0.0,635,0,0.0,406,0,0.0,2464,0,0.0,623,0,0.0,0,0,0.0,1171,0,0.0,335,0,0.0,967,0,0.0,0.0,0,34082,0,6625,0
7,2022-02-23,72,0,0.0,934,0,0.0,541,0,0.0,3399,0,0.0,1235,0,0.0,0,0,0.0,1517,0,0.0,498,0,0.0,1432,0,0.0,0.0,0,39535,0,9628,0
8,2022-02-24,142,0,0.0,1183,0,0.0,604,0,0.0,4119,0,0.0,2114,0,0.0,0,0,0.0,1818,0,0.0,613,0,0.0,1704,0,0.0,0.0,0,40535,0,12297,0
9,2022-02-25,254,0,0.0,1427,0,0.0,650,0,0.0,4478,0,0.0,2913,0,0.0,0,0,0.0,1976,0,0.0,700,0,0.0,1900,0,0.0,0.0,0,41430,0,14298,0
10,2022-02-26,401,0,0.0,1641,0,0.0,699,0,0.0,4639,0,0.0,3354,0,0.0,0,0,0.0,2068,0,0.0,770,0,0.0,2055,0,0.0,0.0,0,42234,0,15627,0
11,2022-02-27,542,0,0.0,1854,0,0.0,731,0,0.0,4778,0,0.0,3717,0,0.0,0,0,0.0,2155,0,0.0,841,0,0.0,2189,0,0.0,0.0,0,42959,0,16807,0
12,2022-02-28,683,0,0.0,2081,0,0.0,759,0,0.0,4922,0,0.0,4040,0,0.0,0,0,0.0,2225,0,0.0,902,0,0.0,2289,0,0.0,0.0,0,43615,0,17901,0
13,2022-03-01,818,0,0.0,2265,0,0.0,780,0,0.0,5025,0,0.0,4326,0,0.0,0,0,0.0,2290,0,0.0,965,0,0.0,2380,0,0.0,0.0,0,43648,0,18849,0
14,2022-03-02,923,0,0.0,2430,0,0.0,797,0,0.0,5118,0,0.0,4587,0,0.0,0,0,0.0,2378,0,0.0,1014,0,0.0,2442,0,0.0,0.0,0,43676,0,19689,0
15,2022-03-03,1035,0,0.0,2566,0,0.0,808,0,0.0,5169,0,0.0,4754,0,0.0,0,0,0.0,2417,0,0.0,1056,0,0.0,2488,0,0.0,0.0,0,43703,0,20293,0
16,2022-03-04,1160,0,0.0,2719,0,0.0,813,0,0.0,5218,0,0.0,4893,0,0.0,0,0,0.0,2451,0,0.0,1096,0,0.0,2532,0,0.0,0.0,0,43726,0,20882,0
17,2022-03-05,1247,0,0.0,2827,0,0.0,816,0,0.0,5247,0,0.0,5031,0,0.0,2,0,0.0,2491,0,0.0,1138,0,0.0,2553,0,0.0,0.0,0,43726,0,21352,0
18,2022-03-06,1340,0,0.0,2937,0,0.0,822,0,0.0,5291,0,0.0,5160,0,0.0,5,0,0.0,2526,0,0.0,1179,0,0.0,2592,0,0.0,0.0,0,43726,0,21852,0
19,2022-03-07,1427,0,0.0,3055,0,0.0,823,0,0.0,5343,0,0.0,5265,0,0.0,10,0,0.0,2573,0,0.0,1214,0,0.0,2615,0,0.0,0.0,0,43726,0,22325,0
20,2022-03-08,1508,0,0.0,3158,0,0.0,828,0,0.0,5392,0,0.0,5362,0,0.0,12,0,0.0,2607,0,0.0,1249,0,0.0,2628,0,0.0,0.0,0,43726,0,22744,0
