Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,28,0,0.0,0,0,0.0,0,0,0.0,4,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,32,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,84,0,0.0,0,0,0.0,0,0,0.0,18,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,102,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,266,0,0.0,0,0,0.0,0,0,0.0,68,0,0.0,0,0,0.0,20,0,0.0,0.0,0,5586,0,354,0
3,2022-02-19,0,0,0.0,43,0,0.0,62,0,0.0,491,0,0.0,54,0,0.0,0,0,0.0,240,0,0.0,37,0,0.0,134,0,0.0,0.0,0,12691,0,1061,0
4,2022-02-20,2,0,0.0,190,0,0.0,144,0,0.0,1130,0,0.0,163,0,0.0,0,0,0.0,542,0,0.0,99,0,0.0,408,0,0.0,0.0,0,19482,0,2678,0
5,2022-02-21,7,0,0.0,367,0,0.0,241,0,0.0,1661,0,0.0,359,0,0.0,0,0,0.0,750,0,0.0,192,0,0.0,684,0,0.0,0.0,0,27403,0,4261,0
6,2022-02-22,24,0,0.0,656,0,0.0,365,0,0.0,2425,0,0.0,629,0,0.0,0,0,0.0,1189,0,0.0,342,0,0.0,971,0,0.0,0.0,0,34082,0,6601,0
7,2022-02-23,62,0,0.0,930,0,0.0,505,0,0.0,3323,0,0.0,1303,0,0.0,0,0,0.0,1547,0,0.0,500,0,0.0,1394,0,0.0,0.0,0,39535,0,9564,0
8,2022-02-24,148,0,0.0,1201,0,0.0,564,0,0.0,4069,0,0.0,2175,0,0.0,0,0,0.0,1852,0,0.0,616,0,0.0,1655,0,0.0,0.0,0,40535,0,12280,0
9,2022-02-25,248,0,0.0,1432,0,0.0,627,0,0.0,4429,0,0.0,2997,0,0.0,0,0,0.0,2016,0,0.0,703,0,0.0,1887,0,0.0,0.0,0,41430,0,14339,0
10,2022-02-26,414,0,0.0,1643,0,0.0,664,0,0.0,4637,0,0.0,3417,0,0.0,0,0,0.0,2114,0,0.0,773,0,0.0,2043,0,0.0,0.0,0,42234,0,15705,0
11,2022-02-27,557,0,0.0,1856,0,0.0,702,0,0.0,4776,0,0.0,3775,0,0.0,0,0,0.0,2184,0,0.0,834,0,0.0,2179,0,0.0,0.0,0,42959,0,16863,0
12,2022-02-28,697,0,0.0,2031,0,0.0,728,0,0.0,4896,0,0.0,4104,0,0.0,0,0,0.0,2270,0,0.0,883,0,0.0,2288,0,0.0,0.0,0,43615,0,17897,0
13,2022-03-01,839,0,0.0,2212,0,0.0,742,0,0.0,4980,0,0.0,4384,0,0.0,0,0,0.0,2344,0,0.0,939,0,0.0,2353,0,0.0,0.0,0,43648,0,18793,0
14,2022-03-02,949,0,0.0,2394,0,0.0,756,0,0.0,5066,0,0.0,4622,0,0.0,0,0,0.0,2414,0,0.0,976,0,0.0,2416,0,0.0,0.0,0,43676,0,19593,0
15,2022-03-03,1061,0,0.0,2549,0,0.0,765,0,0.0,5112,0,0.0,4815,0,0.0,2,0,0.0,2454,0,0.0,1014,0,0.0,2459,0,0.0,0.0,0,43703,0,20231,0
16,2022-03-04,1162,0,0.0,2691,0,0.0,770,0,0.0,5159,0,0.0,4968,0,0.0,7,0,0.0,2498,0,0.0,1050,0,0.0,2497,0,0.0,0.0,0,43726,0,20802,0
17,2022-03-05,1253,0,0.0,2805,0,0.0,775,0,0.0,5207,0,0.0,5113,0,0.0,7,0,0.0,2529,0,0.0,1079,0,0.0,2531,0,0.0,0.0,0,43726,0,21299,0
18,2022-03-06,1326,0,0.0,2914,0,0.0,775,0,0.0,5253,0,0.0,5229,0,0.0,8,0,0.0,2559,0,0.0,1115,0,0.0,2558,0,0.0,0.0,0,43726,0,21737,0
19,2022-03-07,1413,0,0.0,3035,0,0.0,778,0,0.0,5312,0,0.0,5331,0,0.0,11,0,0.0,2577,0,0.0,1153,0,0.0,2573,0,0.0,0.0,0,43726,0,22183,0
20,2022-03-08,1495,0,0.0,3154,0,0.0,781,0,0.0,5364,0,0.0,5437,0,0.0,14,0,0.0,2607,0,0.0,1181,0,0.0,2584,0,0.0,0.0,0,43726,0,22617,0
21,2022-03-09,1570,0,0.0,3237,0,0.0,780,0,0.0,5407,0,0.0,5519,0,0.0,19,0,0.0,2631,0,0.0,1220,0,0.0,2598,0,0.0,0.0,0,43726,0,22981,0
22,2022-03-10,1648,0,0.0,3330,0,0.0,780,0,0.0,5450,0,0.0,5600,0,0.0,26,0,0.0,2671,0,0.0,1246,0,0.0,2605,0,0.0,0.0,0,43726,0,23356,0
23,2022-03-11,1703,0,0.0,3448,0,0.0,786,0,0.0,5515,0,0.0,5679,0,0.0,30,0,0.0,2706,0,0.0,1265,0,0.0,2617,0,0.0,0.0,0,43726,0,23749,0
24,2022-03-12,1755,0,0.0,3523,0,0.0,788,0,0.0,5561,0,0.0,5754,0,0.0,42,0,0.0,2730,0,0.0,1288,0,0.0,2622,0,0.0,0.0,0,43726,0,24063,0
25,2022-03-13,1818,0,0.0,3624,0,0.0,790,0,0.0,5615,0,0.0,5822,0,0.0,48,0,0.0,2766,0,0.0,1310,0,0.0,2637,0,0.0,0.0,0,43726,0,24430,0
26,2022-03-14,1872,0,0.0,3689,0,0.0,791,0,0.0,5670,0,0.0,5885,0,0.0,52,0,0.0,2805,0,0.0,1339,0,0.0,2645,0,0.0,0.0,0,43726,0,24748,0
27,2022-03-15,1932,0,0.0,3786,0,0.0,790,0,0.0,5718,0,0.0,5949,0,0.0,60,0,0.0,2828,0,0.0,1373,0,0.0,2655,0,0.0,0.0,0,43726,0,25091,0
28,2022-03-16,1990,0,0.0,3864,0,0.0,789,0,0.0,5762,0,0.0,6002,0,0.0,69,0,0.0,2866,0,0.0,1402,0,0.0,2660,0,0.0,0.0,0,43726,0,25404,0
29,2022-03-17,2041,0,0.0,3933,0,0.0,788,0,0.0,5812,0,0.0,6040,0,0.0,79,0,0.0,2909,0,0.0,1433,0,0.0,2666,0,0.0,0.0,0,43726,0,25701,0
30,2022-03-18,2094,0,0.0,4005,0,0.0,789,0,0.0,5874,0,0.0,6094,0,0.0,83,0,0.0,2935,0,0.0,1457,0,0.0,2666,0,0.0,0.0,0,43726,0,25997,0
31,2022-03-19,2149,0,0.0,4078,0,0.0,790,0,0.0,5931,0,0.0,6139,0,0.0,91,0,0.0,2967,0,0.0,1476,0,0.0,2670,0,0.0,0.0,0,43726,0,26291,0
32,2022-03-20,2203,0,0.0,4172,0,0.0,790,0,0.0,5995,0,0.0,6176,0,0.0,97,0,0.0,2993,0,0.0,1503,0,0.0,2675,0,0.0,0.0,0,43726,0,26604,0
33,2022-03-21,2252,0,0.0,4249,0,0.0,790,0,0.0,6064,0,0.0,6221,0,0.0,103,0,0.0,3034,0,0.0,1534,0,0.0,2682,0,0.0,0.0,0,43726,0,26929,0
34,2022-03-22,2298,0,0.0,4312,0,0.0,790,0,0.0,6114,0,0.0,6258,0,0.0,108,0,0.0,3057,0,0.0,1545,0,0.0,2683,0,0.0,0.0,0,43726,0,27165,0
35,2022-03-23,2345,0,0.0,4399,0,0.0,791,0,0.0,6168,0,0.0,6296,0,0.0,112,0,0.0,3090,0,0.0,1571,0,0.0,2687,0,0.0,0.0,0,43726,0,27459,0
36,2022-03-24,2387,0,0.0,4464,0,0.0,791,0,0.0,6223,0,0.0,6341,0,0.0,122,0,0.0,3125,0,0.0,1588,0,0.0,2685,0,0.0,0.0,0,43726,0,27726,0
37,2022-03-25,2434,0,0.0,4530,0,0.0,792,0,0.0,6269,0,0.0,6381,0,0.0,125,0,0.0,3158,0,0.0,1621,0,0.0,2687,0,0.0,0.0,0,43726,0,27997,0
38,2022-03-26,2487,0,0.0,4603,0,0.0,795,0,0.0,6315,0,0.0,6421,0,0.0,137,0,0.0,3177,0,0.0,1650,0,0.0,2688,0,0.0,0.0,0,43726,0,28273,0
39,2022-03-27,2537,0,0.0,4673,0,0.0,794,0,0.0,6364,0,0.0,6464,0,0.0,145,0,0.0,3213,0,0.0,1668,0,0.0,2689,0,0.0,0.0,0,43726,0,28547,0
40,2022-03-28,2579,0,0.0,4737,0,0.0,797,0,0.0,6419,0,0.0,6495,0,0.0,149,0,0.0,3249,0,0.0,1686,0,0.0,2691,0,0.0,0.0,0,43726,0,28802,0
