Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,34,0,0.0,0,0,0.0,0,0,0.0,6,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,40,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,74,0,0.0,0,0,0.0,0,0,0.0,16,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,90,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,240,0,0.0,0,0,0.0,0,0,0.0,67,0,0.0,1,0,0.0,30,0,0.0,0.0,0,5586,0,338,0
3,2022-02-19,0,0,0.0,53,0,0.0,44,0,0.0,462,0,0.0,53,0,0.0,0,0,0.0,227,0,0.0,30,0,0.0,137,0,0.0,0.0,0,12691,0,1006,0
4,2022-02-20,1,0,0.0,186,0,0.0,136,0,0.0,1151,0,0.0,182,0,0.0,0,0,0.0,518,0,0.0,101,0,0.0,399,0,0.0,0.0,0,19482,0,2674,0
5,2022-02-21,6,0,0.0,384,0,0.0,246,0,0.0,1715,0,0.0,376,0,0.0,0,0,0.0,753,0,0.0,182,0,0.0,697,0,0.0,0.0,0,27403,0,4359,0
6,2022-02-22,30,0,0.0,660,0,0.0,353,0,0.0,2425,0,0.0,659,0,0.0,0,0,0.0,1195,0,0.0,343,0,0.0,989,0,0.0,0.0,0,34082,0,6654,0
7,2022-02-23,67,0,0.0,963,0,0.0,479,0,0.0,3352,0,0.0,1257,0,0.0,0,0,0.0,1545,0,0.0,486,0,0.0,1413,0,0.0,0.0,0,39535,0,9562,0
8,2022-02-24,156,0,0.0,1252,0,0.0,535,0,0.0,4049,0,0.0,2060,0,0.0,0,0,0.0,1876,0,0.0,624,0,0.0,1680,0,0.0,0.0,0,40535,0,12232,0
9,2022-02-25,281,0,0.0,1465,0,0.0,594,0,0.0,4399,0,0.0,2934,0,0.0,0,0,0.0,2025,0,0.0,722,0,0.0,1911,0,0.0,0.0,0,41430,0,14331,0
10,2022-02-26,433,0,0.0,1683,0,0.0,634,0,0.0,4558,0,0.0,3359,0,0.0,0,0,0.0,2137,0,0.0,793,0,0.0,2055,0,0.0,0.0,0,42234,0,15652,0
11,2022-02-27,584,0,0.0,1903,0,0.0,671,0,0.0,4697,0,0.0,3720,0,0.0,0,0,0.0,2199,0,0.0,865,0,0.0,2167,0,0.0,0.0,0,42959,0,16806,0
12,2022-02-28,728,0,0.0,2103,0,0.0,700,0,0.0,4825,0,0.0,4011,0,0.0,0,0,0.0,2277,0,0.0,921,0,0.0,2278,0,0.0,0.0,0,43615,0,17843,0
13,2022-03-01,877,0,0.0,2277,0,0.0,726,0,0.0,4928,0,0.0,4299,0,0.0,0,0,0.0,2358,0,0.0,975,0,0.0,2346,0,0.0,0.0,0,43648,0,18786,0
14,2022-03-02,1003,0,0.0,2439,0,0.0,739,0,0.0,5019,0,0.0,4587,0,0.0,1,0,0.0,2439,0,0.0,1021,0,0.0,2416,0,0.0,0.0,0,43676,0,19664,0
15,2022-03-03,1118,0,0.0,2576,0,0.0,757,0,0.0,5080,0,0.0,4757,0,0.0,2,0,0.0,2487,0,0.0,1058,0,0.0,2453,0,0.0,0.0,0,43703,0,20288,0
16,2022-03-04,1223,0,0.0,2713,0,0.0,767,0,0.0,5127,0,0.0,4897,0,0.0,4,0,0.0,2527,0,0.0,1090,0,0.0,2494,0,0.0,0.0,0,43726,0,20842,0
17,2022-03-05,1323,0,0.0,2825,0,0.0,772,0,0.0,5158,0,0.0,5038,0,0.0,7,0,0.0,2562,0,0.0,1127,0,0.0,2526,0,0.0,0.0,0,43726,0,21338,0
18,2022-03-06,1413,0,0.0,2956,0,0.0,777,0,0.0,5209,0,0.0,5163,0,0.0,9,0,0.0,2600,0,0.0,1160,0,0.0,2556,0,0.0,0.0,0,43726,0,21843,0
