Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,30,0,0.0,0,0,0.0,0,0,0.0,7,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,37,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,79,0,0.0,0,0,0.0,0,0,0.0,17,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,96,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,268,0,0.0,0,0,0.0,0,0,0.0,76,0,0.0,1,0,0.0,29,0,0.0,0.0,0,5586,0,374,0
3,2022-02-19,0,0,0.0,55,0,0.0,48,0,0.0,503,0,0.0,61,0,0.0,0,0,0.0,219,0,0.0,41,0,0.0,131,0,0.0,0.0,0,12691,0,1058,0
4,2022-02-20,0,0,0.0,165,0,0.0,144,0,0.0,1169,0,0.0,177,0,0.0,0,0,0.0,504,0,0.0,101,0,0.0,401,0,0.0,0.0,0,19482,0,2661,0
5,2022-02-21,0,0,0.0,375,0,0.0,255,0,0.0,1725,0,0.0,365,0,0.0,0,0,0.0,728,0,0.0,201,0,0.0,689,0,0.0,0.0,0,27403,0,4338,0
6,2022-02-22,30,0,0.0,634,0,0.0,371,0,0.0,2434,0,0.0,671,0,0.0,0,0,0.0,1156,0,0.0,335,0,0.0,1000,0,0.0,0.0,0,34082,0,6631,0
7,2022-02-23,78,0,0.0,892,0,0.0,502,0,0.0,3350,0,0.0,1288,0,0.0,0,0,0.0,1510,0,0.0,482,0,0.0,1430,0,0.0,0.0,0,39535,0,9532,0
8,2022-02-24,169,0,0.0,1138,0,0.0,579,0,0.0,4055,0,0.0,2109,0,0.0,0,0,0.0,1832,0,0.0,590,0,0.0,1694,0,0.0,0.0,0,40535,0,12166,0
9,2022-02-25,282,0,0.0,1404,0,0.0,639,0,0.0,4424,0,0.0,2929,0,0.0,0,0,0.0,1989,0,0.0,669,0,0.0,1890,0,0.0,0.0,0,41430,0,14226,0
10,2022-02-26,391,0,0.0,1649,0,0.0,684,0,0.0,4610,0,0.0,3341,0,0.0,0,0,0.0,2105,0,0.0,745,0,0.0,2029,0,0.0,0.0,0,42234,0,15554,0
11,2022-02-27,545,0,0.0,1861,0,0.0,713,0,0.0,4762,0,0.0,3710,0,0.0,0,0,0.0,2195,0,0.0,810,0,0.0,2171,0,0.0,0.0,0,42959,0,16767,0
12,2022-02-28,683,0,0.0,2062,0,0.0,738,0,0.0,4886,0,0.0,4020,0,0.0,0,0,0.0,2266,0,0.0,878,0,0.0,2275,0,0.0,0.0,0,43615,0,17808,0
13,2022-03-01,830,0,0.0,2267,0,0.0,762,0,0.0,4991,0,0.0,4292,0,0.0,0,0,0.0,2342,0,0.0,931,0,0.0,2360,0,0.0,0.0,0,43648,0,18775,0
14,2022-03-02,957,0,0.0,2437,0,0.0,771,0,0.0,5083,0,0.0,4596,0,0.0,1,0,0.0,2403,0,0.0,967,0,0.0,2412,0,0.0,0.0,0,43676,0,19627,0
15,2022-03-03,1086,0,0.0,2573,0,0.0,783,0,0.0,5146,0,0.0,4769,0,0.0,1,0,0.0,2441,0,0.0,1008,0,0.0,2447,0,0.0,0.0,0,43703,0,20254,0
16,2022-03-04,1159,0,0.0,2720,0,0.0,795,0,0.0,5197,0,0.0,4910,0,0.0,4,0,0.0,2488,0,0.0,1037,0,0.0,2485,0,0.0,0.0,0,43726,0,20795,0
17,2022-03-05,1239,0,0.0,2827,0,0.0,805,0,0.0,5239,0,0.0,5043,0,0.0,5,0,0.0,2531,0,0.0,1070,0,0.0,2514,0,0.0,0.0,0,43726,0,21273,0
18,2022-03-06,1327,0,0.0,2939,0,0.0,809,0,0.0,5283,0,0.0,5178,0,0.0,6,0,0.0,2564,0,0.0,1106,0,0.0,2550,0,0.0,0.0,0,43726,0,21762,0
19,2022-03-07,1416,0,0.0,3048,0,0.0,811,0,0.0,5324,0,0.0,5270,0,0.0,9,0,0.0,2584,0,0.0,1138,0,0.0,2578,0,0.0,0.0,0,43726,0,22178,0
20,2022-03-08,1508,0,0.0,3154,0,0.0,816,0,0.0,5378,0,0.0,5359,0,0.0,12,0,0.0,2624,0,0.0,1176,0,0.0,2599,0,0.0,0.0,0,43726,0,22626,0
21,2022-03-09,1594,0,0.0,3268,0,0.0,814,0,0.0,5412,0,0.0,5462,0,0.0,20,0,0.0,2652,0,0.0,1211,0,0.0,2608,0,0.0,0.0,0,43726,0,23041,0
22,2022-03-10,1655,0,0.0,3350,0,0.0,815,0,0.0,5461,0,0.0,5530,0,0.0,26,0,0.0,2695,0,0.0,1244,0,0.0,2615,0,0.0,0.0,0,43726,0,23391,0
23,2022-03-11,1717,0,0.0,3442,0,0.0,816,0,0.0,5501,0,0.0,5595,0,0.0,30,0,0.0,2733,0,0.0,1275,0,0.0,2623,0,0.0,0.0,0,43726,0,23732,0
24,2022-03-12,1789,0,0.0,3534,0,0.0,817,0,0.0,5553,0,0.0,5661,0,0.0,37,0,0.0,2762,0,0.0,1302,0,0.0,2632,0,0.0,0.0,0,43726,0,24087,0
25,2022-03-13,1846,0,0.0,3623,0,0.0,817,0,0.0,5592,0,0.0,5731,0,0.0,44,0,0.0,2805,0,0.0,1333,0,0.0,2638,0,0.0,0.0,0,43726,0,24429,0
26,2022-03-14,1891,0,0.0,3715,0,0.0,818,0,0.0,5639,0,0.0,5787,0,0.0,49,0,0.0,2839,0,0.0,1365,0,0.0,2642,0,0.0,0.0,0,43726,0,24745,0
27,2022-03-15,1941,0,0.0,3795,0,0.0,819,0,0.0,5692,0,0.0,5852,0,0.0,59,0,0.0,2873,0,0.0,1390,0,0.0,2646,0,0.0,0.0,0,43726,0,25067,0
28,2022-03-16,1999,0,0.0,3870,0,0.0,819,0,0.0,5751,0,0.0,5903,0,0.0,68,0,0.0,2911,0,0.0,1417,0,0.0,2655,0,0.0,0.0,0,43726,0,25393,0
