Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,33,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,34,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,75,0,0.0,0,0,0.0,0,0,0.0,17,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,92,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,250,0,0.0,0,0,0.0,0,0,0.0,63,0,0.0,0,0,0.0,28,0,0.0,0.0,0,5586,0,341,0
3,2022-02-19,0,0,0.0,56,0,0.0,45,0,0.0,487,0,0.0,56,0,0.0,0,0,0.0,204,0,0.0,39,0,0.0,145,0,0.0,0.0,0,12691,0,1032,0
4,2022-02-20,3,0,0.0,174,0,0.0,135,0,0.0,1151,0,0.0,187,0,0.0,0,0,0.0,503,0,0.0,103,0,0.0,421,0,0.0,0.0,0,19482,0,2677,0
5,2022-02-21,9,0,0.0,378,0,0.0,255,0,0.0,1728,0,0.0,395,0,0.0,0,0,0.0,763,0,0.0,183,0,0.0,711,0,0.0,0.0,0,27403,0,4422,0
6,2022-02-22,32,0,0.0,615,0,0.0,376,0,0.0,2442,0,0.0,659,0,0.0,0,0,0.0,1217,0,0.0,342,0,0.0,972,0,0.0,0.0,0,34082,0,6655,0
7,2022-02-23,69,0,0.0,902,0,0.0,508,0,0.0,3379,0,0.0,1234,0,0.0,0,0,0.0,1591,0,0.0,499,0,0.0,1395,0,0.0,0.0,0,39535,0,9577,0
8,2022-02-24,141,0,0.0,1186,0,0.0,594,0,0.0,4118,0,0.0,2090,0,0.0,0,0,0.0,1865,0,0.0,608,0,0.0,1664,0,0.0,0.0,0,40535,0,12266,0
9,2022-02-25,262,0,0.0,1438,0,0.0,644,0,0.0,4484,0,0.0,2913,0,0.0,0,0,0.0,2033,0,0.0,703,0,0.0,1872,0,0.0,0.0,0,41430,0,14349,0
10,2022-02-26,424,0,0.0,1646,0,0.0,683,0,0.0,4654,0,0.0,3325,0,0.0,0,0,0.0,2145,0,0.0,770,0,0.0,2034,0,0.0,0.0,0,42234,0,15681,0
11,2022-02-27,564,0,0.0,1865,0,0.0,709,0,0.0,4800,0,0.0,3662,0,0.0,0,0,0.0,2229,0,0.0,830,0,0.0,2161,0,0.0,0.0,0,42959,0,16820,0
12,2022-02-28,699,0,0.0,2067,0,0.0,739,0,0.0,4914,0,0.0,3974,0,0.0,1,0,0.0,2312,0,0.0,884,0,0.0,2256,0,0.0,0.0,0,43615,0,17846,0
13,2022-03-01,835,0,0.0,2250,0,0.0,752,0,0.0,5008,0,0.0,4259,0,0.0,1,0,0.0,2380,0,0.0,930,0,0.0,2340,0,0.0,0.0,0,43648,0,18755,0
14,2022-03-02,945,0,0.0,2417,0,0.0,768,0,0.0,5073,0,0.0,4528,0,0.0,2,0,0.0,2460,0,0.0,982,0,0.0,2415,0,0.0,0.0,0,43676,0,19590,0
15,2022-03-03,1063,0,0.0,2574,0,0.0,779,0,0.0,5141,0,0.0,4697,0,0.0,3,0,0.0,2509,0,0.0,1015,0,0.0,2473,0,0.0,0.0,0,43703,0,20254,0
16,2022-03-04,1175,0,0.0,2708,0,0.0,793,0,0.0,5199,0,0.0,4837,0,0.0,3,0,0.0,2545,0,0.0,1052,0,0.0,2513,0,0.0,0.0,0,43726,0,20825,0
17,2022-03-05,1274,0,0.0,2814,0,0.0,798,0,0.0,5246,0,0.0,4973,0,0.0,6,0,0.0,2564,0,0.0,1096,0,0.0,2538,0,0.0,0.0,0,43726,0,21309,0
18,2022-03-06,1363,0,0.0,2922,0,0.0,799,0,0.0,5308,0,0.0,5091,0,0.0,9,0,0.0,2592,0,0.0,1144,0,0.0,2566,0,0.0,0.0,0,43726,0,21794,0
19,2022-03-07,1436,0,0.0,3024,0,0.0,803,0,0.0,5369,0,0.0,5204,0,0.0,11,0,0.0,2610,0,0.0,1177,0,0.0,2579,0,0.0,0.0,0,43726,0,22213,0
20,2022-03-08,1517,0,0.0,3125,0,0.0,804,0,0.0,5421,0,0.0,5300,0,0.0,15,0,0.0,2638,0,0.0,1211,0,0.0,2592,0,0.0,0.0,0,43726,0,22623,0
21,2022-03-09,1591,0,0.0,3231,0,0.0,806,0,0.0,5462,0,0.0,5386,0,0.0,20,0,0.0,2672,0,0.0,1243,0,0.0,2614,0,0.0,0.0,0,43726,0,23025,0
22,2022-03-10,1660,0,0.0,3349,0,0.0,806,0,0.0,5514,0,0.0,5463,0,0.0,24,0,0.0,2695,0,0.0,1269,0,0.0,2625,0,0.0,0.0,0,43726,0,23405,0
23,2022-03-11,1719,0,0.0,3456,0,0.0,810,0,0.0,5562,0,0.0,5537,0,0.0,26,0,0.0,2731,0,0.0,1307,0,0.0,2633,0,0.0,0.0,0,43726,0,23781,0
24,2022-03-12,1785,0,0.0,3545,0,0.0,811,0,0.0,5608,0,0.0,5588,0,0.0,34,0,0.0,2764,0,0.0,1332,0,0.0,2644,0,0.0,0.0,0,43726,0,24111,0
25,2022-03-13,1845,0,0.0,3642,0,0.0,813,0,0.0,5665,0,0.0,5663,0,0.0,40,0,0.0,2800,0,0.0,1356,0,0.0,2653,0,0.0,0.0,0,43726,0,24477,0
26,2022-03-14,1909,0,0.0,3722,0,0.0,812,0,0.0,5722,0,0.0,5726,0,0.0,46,0,0.0,2828,0,0.0,1382,0,0.0,2661,0,0.0,0.0,0,43726,0,24808,0
27,2022-03-15,1968,0,0.0,3820,0,0.0,812,0,0.0,5773,0,0.0,5790,0,0.0,55,0,0.0,2858,0,0.0,1415,0,0.0,2672,0,0.0,0.0,0,43726,0,25163,0
28,2022-03-16,2010,0,0.0,3884,0,0.0,811,0,0.0,5821,0,0.0,5840,0,0.0,61,0,0.0,2886,0,0.0,1439,0,0.0,2681,0,0.0,0.0,0,43726,0,25433,0
29,2022-03-17,2057,0,0.0,3965,0,0.0,812,0,0.0,5882,0,0.0,5884,0,0.0,73,0,0.0,2924,0,0.0,1464,0,0.0,2683,0,0.0,0.0,0,43726,0,25744,0
30,2022-03-18,2103,0,0.0,4034,0,0.0,811,0,0.0,5929,0,0.0,5931,0,0.0,85,0,0.0,2956,0,0.0,1499,0,0.0,2687,0,0.0,0.0,0,43726,0,26035,0
31,2022-03-19,2147,0,0.0,4117,0,0.0,810,0,0.0,5988,0,0.0,5969,0,0.0,89,0,0.0,2983,0,0.0,1526,0,0.0,2694,0,0.0,0.0,0,43726,0,26323,0
32,2022-03-20,2199,0,0.0,4175,0,0.0,810,0,0.0,6044,0,0.0,6012,0,0.0,97,0,0.0,3023,0,0.0,1551,0,0.0,2695,0,0.0,0.0,0,43726,0,26606,0
33,2022-03-21,2255,0,0.0,4260,0,0.0,810,0,0.0,6103,0,0.0,6054,0,0.0,104,0,0.0,3055,0,0.0,1574,0,0.0,2693,0,0.0,0.0,0,43726,0,26908,0
34,2022-03-22,2302,0,0.0,4321,0,0.0,809,0,0.0,6138,0,0.0,6090,0,0.0,113,0,0.0,3079,0,0.0,1598,0,0.0,2695,0,0.0,0.0,0,43726,0,27145,0
35,2022-03-23,2356,0,0.0,4378,0,0.0,808,0,0.0,6204,0,0.0,6138,0,0.0,121,0,0.0,3109,0,0.0,1613,0,0.0,2697,0,0.0,0.0,0,43726,0,27424,0
36,2022-03-24,2402,0,0.0,4452,0,0.0,807,0,0.0,6257,0,0.0,6180,0,0.0,130,0,0.0,3146,0,0.0,1632,0,0.0,2700,0,0.0,0.0,0,43726,0,27706,0
37,2022-03-25,2450,0,0.0,4498,0,0.0,807,0,0.0,6311,0,0.0,6213,0,0.0,144,0,0.0,3172,0,0.0,1659,0,0.0,2705,0,0.0,0.0,0,43726,0,27959,0
38,2022-03-26,2488,0,0.0,4541,0,0.0,807,0,0.0,6359,0,0.0,6242,0,0.0,150,0,0.0,3197,0,0.0,1672,0,0.0,2707,0,0.0,0.0,0,43726,0,28163,0
39,2022-03-27,2532,0,0.0,4610,0,0.0,809,0,0.0,6404,0,0.0,6284,0,0.0,159,0,0.0,3230,0,0.0,1698,0,0.0,2708,0,0.0,0.0,0,43726,0,28434,0
40,2022-03-28,2573,0,0.0,4675,0,0.0,811,0,0.0,6451,0,0.0,6314,0,0.0,164,0,0.0,3250,0,0.0,1714,0,0.0,2711,0,0.0,0.0,0,43726,0,28663,0
