Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,32,0,0.0,0,0,0.0,0,0,0.0,3,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,35,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,68,0,0.0,0,0,0.0,0,0,0.0,10,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,78,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,261,0,0.0,0,0,0.0,0,0,0.0,66,0,0.0,1,0,0.0,34,0,0.0,0.0,0,5586,0,362,0
3,2022-02-19,0,0,0.0,44,0,0.0,64,0,0.0,504,0,0.0,55,0,0.0,0,0,0.0,215,0,0.0,58,0,0.0,138,0,0.0,0.0,0,12691,0,1078,0
4,2022-02-20,2,0,0.0,164,0,0.0,145,0,0.0,1152,0,0.0,181,0,0.0,0,0,0.0,526,0,0.0,126,0,0.0,387,0,0.0,0.0,0,19482,0,2683,0
5,2022-02-21,4,0,0.0,372,0,0.0,238,0,0.0,1671,0,0.0,369,0,0.0,0,0,0.0,766,0,0.0,207,0,0.0,667,0,0.0,0.0,0,27403,0,4294,0
6,2022-02-22,24,0,0.0,624,0,0.0,376,0,0.0,2406,0,0.0,618,0,0.0,0,0,0.0,1223,0,0.0,343,0,0.0,953,0,0.0,0.0,0,34082,0,6567,0
7,2022-02-23,77,0,0.0,916,0,0.0,481,0,0.0,3355,0,0.0,1310,0,0.0,0,0,0.0,1576,0,0.0,503,0,0.0,1350,0,0.0,0.0,0,39535,0,9568,0
8,2022-02-24,175,0,0.0,1168,0,0.0,557,0,0.0,4124,0,0.0,2147,0,0.0,0,0,0.0,1882,0,0.0,631,0,0.0,1626,0,0.0,0.0,0,40535,0,12310,0
9,2022-02-25,306,0,0.0,1392,0,0.0,618,0,0.0,4467,0,0.0,3002,0,0.0,0,0,0.0,2050,0,0.0,703,0,0.0,1841,0,0.0,0.0,0,41430,0,14379,0
10,2022-02-26,465,0,0.0,1605,0,0.0,652,0,0.0,4634,0,0.0,3431,0,0.0,0,0,0.0,2155,0,0.0,765,0,0.0,1995,0,0.0,0.0,0,42234,0,15702,0
11,2022-02-27,625,0,0.0,1831,0,0.0,692,0,0.0,4785,0,0.0,3785,0,0.0,0,0,0.0,2246,0,0.0,833,0,0.0,2119,0,0.0,0.0,0,42959,0,16916,0
12,2022-02-28,757,0,0.0,2070,0,0.0,717,0,0.0,4892,0,0.0,4085,0,0.0,1,0,0.0,2313,0,0.0,893,0,0.0,2231,0,0.0,0.0,0,43615,0,17959,0
13,2022-03-01,898,0,0.0,2262,0,0.0,734,0,0.0,4986,0,0.0,4366,0,0.0,2,0,0.0,2388,0,0.0,947,0,0.0,2324,0,0.0,0.0,0,43648,0,18907,0
14,2022-03-02,1019,0,0.0,2412,0,0.0,749,0,0.0,5083,0,0.0,4646,0,0.0,2,0,0.0,2444,0,0.0,1002,0,0.0,2389,0,0.0,0.0,0,43676,0,19746,0
15,2022-03-03,1136,0,0.0,2566,0,0.0,761,0,0.0,5143,0,0.0,4811,0,0.0,2,0,0.0,2492,0,0.0,1033,0,0.0,2447,0,0.0,0.0,0,43703,0,20391,0
16,2022-03-04,1251,0,0.0,2684,0,0.0,770,0,0.0,5204,0,0.0,4970,0,0.0,2,0,0.0,2521,0,0.0,1079,0,0.0,2483,0,0.0,0.0,0,43726,0,20964,0
17,2022-03-05,1340,0,0.0,2803,0,0.0,770,0,0.0,5253,0,0.0,5094,0,0.0,4,0,0.0,2556,0,0.0,1118,0,0.0,2507,0,0.0,0.0,0,43726,0,21445,0
18,2022-03-06,1426,0,0.0,2909,0,0.0,771,0,0.0,5299,0,0.0,5230,0,0.0,5,0,0.0,2605,0,0.0,1153,0,0.0,2542,0,0.0,0.0,0,43726,0,21940,0
19,2022-03-07,1509,0,0.0,3023,0,0.0,774,0,0.0,5337,0,0.0,5354,0,0.0,8,0,0.0,2623,0,0.0,1187,0,0.0,2565,0,0.0,0.0,0,43726,0,22380,0
20,2022-03-08,1589,0,0.0,3140,0,0.0,779,0,0.0,5369,0,0.0,5451,0,0.0,13,0,0.0,2651,0,0.0,1214,0,0.0,2582,0,0.0,0.0,0,43726,0,22788,0
21,2022-03-09,1661,0,0.0,3246,0,0.0,780,0,0.0,5419,0,0.0,5540,0,0.0,20,0,0.0,2674,0,0.0,1245,0,0.0,2595,0,0.0,0.0,0,43726,0,23180,0
22,2022-03-10,1724,0,0.0,3339,0,0.0,781,0,0.0,5454,0,0.0,5639,0,0.0,25,0,0.0,2710,0,0.0,1278,0,0.0,2604,0,0.0,0.0,0,43726,0,23554,0
23,2022-03-11,1790,0,0.0,3406,0,0.0,780,0,0.0,5493,0,0.0,5712,0,0.0,30,0,0.0,2748,0,0.0,1310,0,0.0,2613,0,0.0,0.0,0,43726,0,23882,0
24,2022-03-12,1844,0,0.0,3502,0,0.0,780,0,0.0,5542,0,0.0,5762,0,0.0,39,0,0.0,2775,0,0.0,1339,0,0.0,2622,0,0.0,0.0,0,43726,0,24205,0
25,2022-03-13,1902,0,0.0,3589,0,0.0,782,0,0.0,5603,0,0.0,5829,0,0.0,50,0,0.0,2802,0,0.0,1367,0,0.0,2633,0,0.0,0.0,0,43726,0,24557,0
26,2022-03-14,1956,0,0.0,3673,0,0.0,782,0,0.0,5657,0,0.0,5880,0,0.0,61,0,0.0,2834,0,0.0,1400,0,0.0,2641,0,0.0,0.0,0,43726,0,24884,0
27,2022-03-15,2007,0,0.0,3750,0,0.0,780,0,0.0,5719,0,0.0,5940,0,0.0,67,0,0.0,2880,0,0.0,1421,0,0.0,2650,0,0.0,0.0,0,43726,0,25214,0
28,2022-03-16,2051,0,0.0,3827,0,0.0,783,0,0.0,5776,0,0.0,5986,0,0.0,70,0,0.0,2914,0,0.0,1453,0,0.0,2656,0,0.0,0.0,0,43726,0,25516,0
29,2022-03-17,2103,0,0.0,3912,0,0.0,786,0,0.0,5828,0,0.0,6041,0,0.0,81,0,0.0,2954,0,0.0,1479,0,0.0,2664,0,0.0,0.0,0,43726,0,25848,0
30,2022-03-18,2157,0,0.0,4000,0,0.0,786,0,0.0,5881,0,0.0,6084,0,0.0,91,0,0.0,2990,0,0.0,1509,0,0.0,2669,0,0.0,0.0,0,43726,0,26167,0
31,2022-03-19,2213,0,0.0,4080,0,0.0,786,0,0.0,5941,0,0.0,6129,0,0.0,99,0,0.0,3023,0,0.0,1529,0,0.0,2672,0,0.0,0.0,0,43726,0,26472,0
32,2022-03-20,2278,0,0.0,4159,0,0.0,786,0,0.0,6003,0,0.0,6199,0,0.0,108,0,0.0,3045,0,0.0,1556,0,0.0,2673,0,0.0,0.0,0,43726,0,26807,0
33,2022-03-21,2330,0,0.0,4218,0,0.0,787,0,0.0,6050,0,0.0,6240,0,0.0,117,0,0.0,3073,0,0.0,1574,0,0.0,2673,0,0.0,0.0,0,43726,0,27062,0
34,2022-03-22,2374,0,0.0,4306,0,0.0,787,0,0.0,6105,0,0.0,6278,0,0.0,121,0,0.0,3099,0,0.0,1606,0,0.0,2676,0,0.0,0.0,0,43726,0,27352,0
35,2022-03-23,2415,0,0.0,4380,0,0.0,787,0,0.0,6169,0,0.0,6310,0,0.0,126,0,0.0,3131,0,0.0,1630,0,0.0,2680,0,0.0,0.0,0,43726,0,27628,0
