Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,29,0,0.0,0,0,0.0,0,0,0.0,4,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,33,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,79,0,0.0,0,0,0.0,0,0,0.0,12,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,91,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,273,0,0.0,0,0,0.0,0,0,0.0,62,0,0.0,0,0,0.0,30,0,0.0,0.0,0,5586,0,365,0
3,2022-02-19,0,0,0.0,51,0,0.0,51,0,0.0,515,0,0.0,56,0,0.0,0,0,0.0,206,0,0.0,42,0,0.0,146,0,0.0,0.0,0,12691,0,1067,0
4,2022-02-20,2,0,0.0,161,0,0.0,147,0,0.0,1163,0,0.0,198,0,0.0,0,0,0.0,495,0,0.0,114,0,0.0,392,0,0.0,0.0,0,19482,0,2672,0
5,2022-02-21,7,0,0.0,360,0,0.0,253,0,0.0,1716,0,0.0,425,0,0.0,0,0,0.0,738,0,0.0,212,0,0.0,685,0,0.0,0.0,0,27403,0,4396,0
6,2022-02-22,24,0,0.0,609,0,0.0,372,0,0.0,2453,0,0.0,680,0,0.0,0,0,0.0,1198,0,0.0,356,0,0.0,967,0,0.0,0.0,0,34082,0,6659,0
7,2022-02-23,68,0,0.0,896,0,0.0,512,0,0.0,3335,0,0.0,1339,0,0.0,0,0,0.0,1537,0,0.0,531,0,0.0,1415,0,0.0,0.0,0,39535,0,9633,0
8,2022-02-24,164,0,0.0,1162,0,0.0,583,0,0.0,4077,0,0.0,2145,0,0.0,0,0,0.0,1888,0,0.0,654,0,0.0,1679,0,0.0,0.0,0,40535,0,12352,0
9,2022-02-25,299,0,0.0,1368,0,0.0,638,0,0.0,4445,0,0.0,2960,0,0.0,0,0,0.0,2057,0,0.0,740,0,0.0,1879,0,0.0,0.0,0,41430,0,14386,0
10,2022-02-26,446,0,0.0,1605,0,0.0,685,0,0.0,4630,0,0.0,3397,0,0.0,0,0,0.0,2170,0,0.0,811,0,0.0,2031,0,0.0,0.0,0,42234,0,15775,0
11,2022-02-27,587,0,0.0,1821,0,0.0,708,0,0.0,4787,0,0.0,3743,0,0.0,0,0,0.0,2237,0,0.0,882,0,0.0,2180,0,0.0,0.0,0,42959,0,16945,0
12,2022-02-28,713,0,0.0,2035,0,0.0,727,0,0.0,4913,0,0.0,4072,0,0.0,0,0,0.0,2316,0,0.0,929,0,0.0,2271,0,0.0,0.0,0,43615,0,17976,0
13,2022-03-01,838,0,0.0,2258,0,0.0,740,0,0.0,5025,0,0.0,4371,0,0.0,0,0,0.0,2391,0,0.0,977,0,0.0,2339,0,0.0,0.0,0,43648,0,18939,0
14,2022-03-02,980,0,0.0,2456,0,0.0,753,0,0.0,5106,0,0.0,4639,0,0.0,0,0,0.0,2462,0,0.0,1027,0,0.0,2406,0,0.0,0.0,0,43676,0,19829,0
15,2022-03-03,1111,0,0.0,2617,0,0.0,768,0,0.0,5163,0,0.0,4786,0,0.0,2,0,0.0,2499,0,0.0,1075,0,0.0,2450,0,0.0,0.0,0,43703,0,20471,0
16,2022-03-04,1225,0,0.0,2767,0,0.0,772,0,0.0,5224,0,0.0,4932,0,0.0,3,0,0.0,2533,0,0.0,1115,0,0.0,2480,0,0.0,0.0,0,43726,0,21051,0
17,2022-03-05,1322,0,0.0,2853,0,0.0,777,0,0.0,5269,0,0.0,5074,0,0.0,3,0,0.0,2559,0,0.0,1160,0,0.0,2519,0,0.0,0.0,0,43726,0,21536,0
18,2022-03-06,1401,0,0.0,2957,0,0.0,779,0,0.0,5308,0,0.0,5217,0,0.0,6,0,0.0,2587,0,0.0,1199,0,0.0,2537,0,0.0,0.0,0,43726,0,21991,0
