Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,25,0,0.0,0,0,0.0,0,0,0.0,6,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,31,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,71,0,0.0,0,0,0.0,0,0,0.0,19,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,90,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,263,0,0.0,0,0,0.0,0,0,0.0,83,0,0.0,0,0,0.0,24,0,0.0,0.0,0,5586,0,370,0
3,2022-02-19,0,0,0.0,46,0,0.0,41,0,0.0,494,0,0.0,57,0,0.0,0,0,0.0,247,0,0.0,33,0,0.0,126,0,0.0,0.0,0,12691,0,1044,0
4,2022-02-20,3,0,0.0,186,0,0.0,127,0,0.0,1145,0,0.0,179,0,0.0,0,0,0.0,521,0,0.0,109,0,0.0,389,0,0.0,0.0,0,19482,0,2659,0
5,2022-02-21,7,0,0.0,391,0,0.0,249,0,0.0,1709,0,0.0,373,0,0.0,0,0,0.0,740,0,0.0,185,0,0.0,659,0,0.0,0.0,0,27403,0,4313,0
6,2022-02-22,24,0,0.0,646,0,0.0,373,0,0.0,2470,0,0.0,658,0,0.0,0,0,0.0,1195,0,0.0,348,0,0.0,943,0,0.0,0.0,0,34082,0,6657,0
7,2022-02-23,80,0,0.0,944,0,0.0,504,0,0.0,3342,0,0.0,1342,0,0.0,0,0,0.0,1506,0,0.0,519,0,0.0,1381,0,0.0,0.0,0,39535,0,9618,0
8,2022-02-24,165,0,0.0,1232,0,0.0,577,0,0.0,4062,0,0.0,2175,0,0.0,0,0,0.0,1830,0,0.0,632,0,0.0,1643,0,0.0,0.0,0,40535,0,12316,0
9,2022-02-25,291,0,0.0,1484,0,0.0,629,0,0.0,4405,0,0.0,3007,0,0.0,0,0,0.0,1998,0,0.0,731,0,0.0,1865,0,0.0,0.0,0,41430,0,14410,0
10,2022-02-26,441,0,0.0,1714,0,0.0,674,0,0.0,4570,0,0.0,3409,0,0.0,0,0,0.0,2095,0,0.0,808,0,0.0,2018,0,0.0,0.0,0,42234,0,15729,0
11,2022-02-27,590,0,0.0,1919,0,0.0,713,0,0.0,4710,0,0.0,3752,0,0.0,0,0,0.0,2166,0,0.0,872,0,0.0,2149,0,0.0,0.0,0,42959,0,16871,0
12,2022-02-28,736,0,0.0,2110,0,0.0,738,0,0.0,4842,0,0.0,4067,0,0.0,1,0,0.0,2261,0,0.0,936,0,0.0,2251,0,0.0,0.0,0,43615,0,17942,0
13,2022-03-01,856,0,0.0,2296,0,0.0,756,0,0.0,4951,0,0.0,4347,0,0.0,1,0,0.0,2340,0,0.0,991,0,0.0,2357,0,0.0,0.0,0,43648,0,18895,0
14,2022-03-02,968,0,0.0,2466,0,0.0,773,0,0.0,5039,0,0.0,4623,0,0.0,1,0,0.0,2416,0,0.0,1037,0,0.0,2417,0,0.0,0.0,0,43676,0,19740,0
15,2022-03-03,1081,0,0.0,2627,0,0.0,781,0,0.0,5113,0,0.0,4772,0,0.0,2,0,0.0,2465,0,0.0,1088,0,0.0,2466,0,0.0,0.0,0,43703,0,20395,0
