Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,24,0,0.0,0,0,0.0,0,0,0.0,6,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,30,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,66,0,0.0,0,0,0.0,0,0,0.0,15,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,81,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,253,0,0.0,0,0,0.0,0,0,0.0,71,0,0.0,0,0,0.0,21,0,0.0,0.0,0,5586,0,345,0
3,2022-02-19,0,0,0.0,41,0,0.0,63,0,0.0,478,0,0.0,67,0,0.0,0,0,0.0,210,0,0.0,40,0,0.0,135,0,0.0,0.0,0,12691,0,1034,0
4,2022-02-20,2,0,0.0,184,0,0.0,155,0,0.0,1145,0,0.0,194,0,0.0,0,0,0.0,514,0,0.0,100,0,0.0,369,0,0.0,0.0,0,19482,0,2663,0
5,2022-02-21,6,0,0.0,375,0,0.0,257,0,0.0,1686,0,0.0,389,0,0.0,0,0,0.0,744,0,0.0,215,0,0.0,660,0,0.0,0.0,0,27403,0,4332,0
6,2022-02-22,25,0,0.0,635,0,0.0,380,0,0.0,2458,0,0.0,657,0,0.0,0,0,0.0,1191,0,0.0,344,0,0.0,943,0,0.0,0.0,0,34082,0,6633,0
7,2022-02-23,66,0,0.0,929,0,0.0,491,0,0.0,3354,0,0.0,1299,0,0.0,0,0,0.0,1543,0,0.0,485,0,0.0,1387,0,0.0,0.0,0,39535,0,9554,0
8,2022-02-24,146,0,0.0,1184,0,0.0,551,0,0.0,4060,0,0.0,2173,0,0.0,0,0,0.0,1844,0,0.0,590,0,0.0,1632,0,0.0,0.0,0,40535,0,12180,0
9,2022-02-25,274,0,0.0,1404,0,0.0,607,0,0.0,4403,0,0.0,2980,0,0.0,0,0,0.0,2016,0,0.0,669,0,0.0,1871,0,0.0,0.0,0,41430,0,14224,0
10,2022-02-26,419,0,0.0,1632,0,0.0,648,0,0.0,4596,0,0.0,3394,0,0.0,0,0,0.0,2107,0,0.0,747,0,0.0,2014,0,0.0,0.0,0,42234,0,15557,0
11,2022-02-27,600,0,0.0,1849,0,0.0,685,0,0.0,4746,0,0.0,3736,0,0.0,0,0,0.0,2189,0,0.0,832,0,0.0,2154,0,0.0,0.0,0,42959,0,16791,0
12,2022-02-28,737,0,0.0,2048,0,0.0,710,0,0.0,4860,0,0.0,4047,0,0.0,0,0,0.0,2268,0,0.0,892,0,0.0,2256,0,0.0,0.0,0,43615,0,17818,0
13,2022-03-01,857,0,0.0,2242,0,0.0,728,0,0.0,4955,0,0.0,4345,0,0.0,0,0,0.0,2356,0,0.0,936,0,0.0,2337,0,0.0,0.0,0,43648,0,18756,0
14,2022-03-02,986,0,0.0,2399,0,0.0,742,0,0.0,5037,0,0.0,4571,0,0.0,0,0,0.0,2441,0,0.0,981,0,0.0,2404,0,0.0,0.0,0,43676,0,19561,0
15,2022-03-03,1103,0,0.0,2542,0,0.0,752,0,0.0,5110,0,0.0,4739,0,0.0,2,0,0.0,2478,0,0.0,1035,0,0.0,2438,0,0.0,0.0,0,43703,0,20199,0
16,2022-03-04,1198,0,0.0,2673,0,0.0,762,0,0.0,5168,0,0.0,4893,0,0.0,3,0,0.0,2521,0,0.0,1074,0,0.0,2481,0,0.0,0.0,0,43726,0,20773,0
17,2022-03-05,1291,0,0.0,2823,0,0.0,764,0,0.0,5210,0,0.0,5021,0,0.0,5,0,0.0,2561,0,0.0,1110,0,0.0,2518,0,0.0,0.0,0,43726,0,21303,0
