Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,25,0,0.0,0,0,0.0,0,0,0.0,8,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,33,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,68,0,0.0,0,0,0.0,0,0,0.0,20,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,88,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,250,0,0.0,0,0,0.0,0,0,0.0,86,0,0.0,0,0,0.0,28,0,0.0,0.0,0,5586,0,364,0
3,2022-02-19,0,0,0.0,46,0,0.0,43,0,0.0,485,0,0.0,63,0,0.0,0,0,0.0,235,0,0.0,32,0,0.0,134,0,0.0,0.0,0,12691,0,1038,0
4,2022-02-20,4,0,0.0,164,0,0.0,130,0,0.0,1146,0,0.0,202,0,0.0,0,0,0.0,523,0,0.0,103,0,0.0,421,0,0.0,0.0,0,19482,0,2693,0
5,2022-02-21,8,0,0.0,383,0,0.0,236,0,0.0,1679,0,0.0,387,0,0.0,0,0,0.0,746,0,0.0,199,0,0.0,719,0,0.0,0.0,0,27403,0,4357,0
6,2022-02-22,29,0,0.0,643,0,0.0,371,0,0.0,2454,0,0.0,655,0,0.0,0,0,0.0,1175,0,0.0,340,0,0.0,999,0,0.0,0.0,0,34082,0,6666,0
7,2022-02-23,76,0,0.0,958,0,0.0,480,0,0.0,3383,0,0.0,1267,0,0.0,0,0,0.0,1514,0,0.0,505,0,0.0,1426,0,0.0,0.0,0,39535,0,9609,0
8,2022-02-24,161,0,0.0,1219,0,0.0,547,0,0.0,4101,0,0.0,2146,0,0.0,0,0,0.0,1794,0,0.0,629,0,0.0,1707,0,0.0,0.0,0,40535,0,12304,0
9,2022-02-25,273,0,0.0,1458,0,0.0,611,0,0.0,4449,0,0.0,3028,0,0.0,0,0,0.0,1991,0,0.0,726,0,0.0,1911,0,0.0,0.0,0,41430,0,14447,0
10,2022-02-26,407,0,0.0,1687,0,0.0,649,0,0.0,4594,0,0.0,3460,0,0.0,0,0,0.0,2099,0,0.0,786,0,0.0,2049,0,0.0,0.0,0,42234,0,15731,0
11,2022-02-27,544,0,0.0,1875,0,0.0,679,0,0.0,4743,0,0.0,3838,0,0.0,0,0,0.0,2171,0,0.0,858,0,0.0,2187,0,0.0,0.0,0,42959,0,16895,0
12,2022-02-28,703,0,0.0,2102,0,0.0,707,0,0.0,4873,0,0.0,4134,0,0.0,0,0,0.0,2249,0,0.0,921,0,0.0,2286,0,0.0,0.0,0,43615,0,17975,0
13,2022-03-01,833,0,0.0,2293,0,0.0,730,0,0.0,4961,0,0.0,4417,0,0.0,0,0,0.0,2324,0,0.0,971,0,0.0,2373,0,0.0,0.0,0,43648,0,18902,0
14,2022-03-02,958,0,0.0,2455,0,0.0,747,0,0.0,5052,0,0.0,4673,0,0.0,0,0,0.0,2392,0,0.0,1022,0,0.0,2448,0,0.0,0.0,0,43676,0,19747,0
15,2022-03-03,1063,0,0.0,2592,0,0.0,762,0,0.0,5117,0,0.0,4821,0,0.0,0,0,0.0,2445,0,0.0,1062,0,0.0,2496,0,0.0,0.0,0,43703,0,20358,0
16,2022-03-04,1199,0,0.0,2707,0,0.0,766,0,0.0,5174,0,0.0,4956,0,0.0,0,0,0.0,2487,0,0.0,1092,0,0.0,2530,0,0.0,0.0,0,43726,0,20911,0
17,2022-03-05,1302,0,0.0,2840,0,0.0,776,0,0.0,5217,0,0.0,5082,0,0.0,2,0,0.0,2511,0,0.0,1142,0,0.0,2561,0,0.0,0.0,0,43726,0,21433,0
18,2022-03-06,1372,0,0.0,2924,0,0.0,778,0,0.0,5261,0,0.0,5184,0,0.0,3,0,0.0,2562,0,0.0,1180,0,0.0,2590,0,0.0,0.0,0,43726,0,21854,0
19,2022-03-07,1456,0,0.0,3041,0,0.0,784,0,0.0,5296,0,0.0,5288,0,0.0,6,0,0.0,2594,0,0.0,1210,0,0.0,2605,0,0.0,0.0,0,43726,0,22280,0
20,2022-03-08,1532,0,0.0,3164,0,0.0,786,0,0.0,5349,0,0.0,5370,0,0.0,11,0,0.0,2617,0,0.0,1237,0,0.0,2624,0,0.0,0.0,0,43726,0,22690,0
21,2022-03-09,1610,0,0.0,3270,0,0.0,792,0,0.0,5383,0,0.0,5456,0,0.0,21,0,0.0,2641,0,0.0,1266,0,0.0,2641,0,0.0,0.0,0,43726,0,23080,0
22,2022-03-10,1678,0,0.0,3355,0,0.0,797,0,0.0,5420,0,0.0,5531,0,0.0,29,0,0.0,2671,0,0.0,1286,0,0.0,2657,0,0.0,0.0,0,43726,0,23424,0
23,2022-03-11,1758,0,0.0,3455,0,0.0,799,0,0.0,5465,0,0.0,5609,0,0.0,31,0,0.0,2713,0,0.0,1322,0,0.0,2665,0,0.0,0.0,0,43726,0,23817,0
24,2022-03-12,1826,0,0.0,3558,0,0.0,798,0,0.0,5514,0,0.0,5680,0,0.0,38,0,0.0,2750,0,0.0,1355,0,0.0,2670,0,0.0,0.0,0,43726,0,24189,0
25,2022-03-13,1887,0,0.0,3629,0,0.0,802,0,0.0,5555,0,0.0,5733,0,0.0,45,0,0.0,2770,0,0.0,1375,0,0.0,2684,0,0.0,0.0,0,43726,0,24480,0
26,2022-03-14,1933,0,0.0,3714,0,0.0,804,0,0.0,5601,0,0.0,5792,0,0.0,55,0,0.0,2805,0,0.0,1401,0,0.0,2692,0,0.0,0.0,0,43726,0,24797,0
27,2022-03-15,1983,0,0.0,3804,0,0.0,804,0,0.0,5659,0,0.0,5850,0,0.0,62,0,0.0,2839,0,0.0,1432,0,0.0,2704,0,0.0,0.0,0,43726,0,25137,0
28,2022-03-16,2051,0,0.0,3883,0,0.0,807,0,0.0,5717,0,0.0,5900,0,0.0,68,0,0.0,2879,0,0.0,1452,0,0.0,2706,0,0.0,0.0,0,43726,0,25463,0
29,2022-03-17,2093,0,0.0,3952,0,0.0,807,0,0.0,5768,0,0.0,5945,0,0.0,74,0,0.0,2921,0,0.0,1479,0,0.0,2714,0,0.0,0.0,0,43726,0,25753,0
30,2022-03-18,2147,0,0.0,4017,0,0.0,809,0,0.0,5802,0,0.0,5985,0,0.0,85,0,0.0,2952,0,0.0,1507,0,0.0,2721,0,0.0,0.0,0,43726,0,26025,0
31,2022-03-19,2210,0,0.0,4084,0,0.0,809,0,0.0,5855,0,0.0,6031,0,0.0,91,0,0.0,2988,0,0.0,1532,0,0.0,2723,0,0.0,0.0,0,43726,0,26323,0
32,2022-03-20,2253,0,0.0,4162,0,0.0,808,0,0.0,5921,0,0.0,6080,0,0.0,99,0,0.0,3023,0,0.0,1558,0,0.0,2731,0,0.0,0.0,0,43726,0,26635,0
33,2022-03-21,2306,0,0.0,4247,0,0.0,808,0,0.0,5978,0,0.0,6125,0,0.0,110,0,0.0,3049,0,0.0,1580,0,0.0,2737,0,0.0,0.0,0,43726,0,26940,0
34,2022-03-22,2359,0,0.0,4332,0,0.0,813,0,0.0,6032,0,0.0,6171,0,0.0,122,0,0.0,3084,0,0.0,1597,0,0.0,2736,0,0.0,0.0,0,43726,0,27246,0
35,2022-03-23,2405,0,0.0,4391,0,0.0,814,0,0.0,6089,0,0.0,6207,0,0.0,126,0,0.0,3119,0,0.0,1625,0,0.0,2740,0,0.0,0.0,0,43726,0,27516,0
36,2022-03-24,2442,0,0.0,4461,0,0.0,814,0,0.0,6141,0,0.0,6243,0,0.0,134,0,0.0,3147,0,0.0,1651,0,0.0,2745,0,0.0,0.0,0,43726,0,27778,0
37,2022-03-25,2495,0,0.0,4522,0,0.0,815,0,0.0,6172,0,0.0,6286,0,0.0,141,0,0.0,3170,0,0.0,1666,0,0.0,2748,0,0.0,0.0,0,43726,0,28015,0
38,2022-03-26,2541,0,0.0,4575,0,0.0,817,0,0.0,6231,0,0.0,6318,0,0.0,151,0,0.0,3197,0,0.0,1686,0,0.0,2748,0,0.0,0.0,0,43726,0,28264,0
39,2022-03-27,2601,0,0.0,4645,0,0.0,819,0,0.0,6276,0,0.0,6365,0,0.0,158,0,0.0,3223,0,0.0,1711,0,0.0,2749,0,0.0,0.0,0,43726,0,28547,0
40,2022-03-28,2652,0,0.0,4723,0,0.0,820,0,0.0,6334,0,0.0,6405,0,0.0,164,0,0.0,3253,0,0.0,1724,0,0.0,2749,0,0.0,0.0,0,43726,0,28824,0
