Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,26,0,0.0,0,0,0.0,0,0,0.0,6,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,32,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,77,0,0.0,0,0,0.0,0,0,0.0,12,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,89,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,271,0,0.0,0,0,0.0,0,0,0.0,75,0,0.0,2,0,0.0,27,0,0.0,0.0,0,5586,0,375,0
3,2022-02-19,0,0,0.0,52,0,0.0,42,0,0.0,494,0,0.0,65,0,0.0,0,0,0.0,238,0,0.0,49,0,0.0,152,0,0.0,0.0,0,12691,0,1092,0
4,2022-02-20,2,0,0.0,184,0,0.0,118,0,0.0,1173,0,0.0,175,0,0.0,0,0,0.0,539,0,0.0,108,0,0.0,407,0,0.0,0.0,0,19482,0,2706,0
5,2022-02-21,9,0,0.0,389,0,0.0,245,0,0.0,1726,0,0.0,394,0,0.0,0,0,0.0,743,0,0.0,204,0,0.0,674,0,0.0,0.0,0,27403,0,4384,0
6,2022-02-22,29,0,0.0,646,0,0.0,370,0,0.0,2450,0,0.0,654,0,0.0,0,0,0.0,1194,0,0.0,363,0,0.0,970,0,0.0,0.0,0,34082,0,6676,0
7,2022-02-23,82,0,0.0,949,0,0.0,507,0,0.0,3384,0,0.0,1301,0,0.0,0,0,0.0,1568,0,0.0,517,0,0.0,1384,0,0.0,0.0,0,39535,0,9692,0
8,2022-02-24,149,0,0.0,1217,0,0.0,574,0,0.0,4075,0,0.0,2122,0,0.0,0,0,0.0,1881,0,0.0,661,0,0.0,1646,0,0.0,0.0,0,40535,0,12325,0
9,2022-02-25,273,0,0.0,1452,0,0.0,626,0,0.0,4435,0,0.0,2961,0,0.0,0,0,0.0,2046,0,0.0,742,0,0.0,1851,0,0.0,0.0,0,41430,0,14386,0
