Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,28,0,0.0,0,0,0.0,0,0,0.0,3,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,31,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,86,0,0.0,0,0,0.0,0,0,0.0,14,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,100,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,296,0,0.0,0,0,0.0,0,0,0.0,72,0,0.0,0,0,0.0,29,0,0.0,0.0,0,5586,0,397,0
3,2022-02-19,0,0,0.0,56,0,0.0,46,0,0.0,519,0,0.0,69,0,0.0,0,0,0.0,219,0,0.0,39,0,0.0,127,0,0.0,0.0,0,12691,0,1075,0
4,2022-02-20,1,0,0.0,183,0,0.0,137,0,0.0,1152,0,0.0,176,0,0.0,0,0,0.0,520,0,0.0,100,0,0.0,385,0,0.0,0.0,0,19482,0,2654,0
5,2022-02-21,7,0,0.0,391,0,0.0,250,0,0.0,1664,0,0.0,371,0,0.0,0,0,0.0,753,0,0.0,191,0,0.0,651,0,0.0,0.0,0,27403,0,4278,0
6,2022-02-22,28,0,0.0,625,0,0.0,380,0,0.0,2405,0,0.0,622,0,0.0,0,0,0.0,1208,0,0.0,333,0,0.0,944,0,0.0,0.0,0,34082,0,6545,0
7,2022-02-23,63,0,0.0,897,0,0.0,504,0,0.0,3331,0,0.0,1266,0,0.0,0,0,0.0,1571,0,0.0,485,0,0.0,1394,0,0.0,0.0,0,39535,0,9511,0
8,2022-02-24,145,0,0.0,1175,0,0.0,567,0,0.0,4066,0,0.0,2106,0,0.0,0,0,0.0,1885,0,0.0,607,0,0.0,1668,0,0.0,0.0,0,40535,0,12219,0
9,2022-02-25,272,0,0.0,1416,0,0.0,626,0,0.0,4439,0,0.0,2927,0,0.0,0,0,0.0,2055,0,0.0,693,0,0.0,1892,0,0.0,0.0,0,41430,0,14320,0
