Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,26,0,0.0,0,0,0.0,0,0,0.0,3,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,29,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,75,0,0.0,0,0,0.0,0,0,0.0,18,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,93,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,259,0,0.0,0,0,0.0,0,0,0.0,58,0,0.0,0,0,0.0,30,0,0.0,0.0,0,5586,0,347,0
3,2022-02-19,0,0,0.0,54,0,0.0,46,0,0.0,483,0,0.0,40,0,0.0,0,0,0.0,205,0,0.0,42,0,0.0,142,0,0.0,0.0,0,12691,0,1012,0
4,2022-02-20,5,0,0.0,188,0,0.0,132,0,0.0,1122,0,0.0,176,0,0.0,0,0,0.0,508,0,0.0,119,0,0.0,389,0,0.0,0.0,0,19482,0,2639,0
5,2022-02-21,8,0,0.0,389,0,0.0,239,0,0.0,1672,0,0.0,352,0,0.0,0,0,0.0,750,0,0.0,205,0,0.0,664,0,0.0,0.0,0,27403,0,4279,0
6,2022-02-22,24,0,0.0,650,0,0.0,354,0,0.0,2390,0,0.0,622,0,0.0,0,0,0.0,1187,0,0.0,353,0,0.0,952,0,0.0,0.0,0,34082,0,6532,0
7,2022-02-23,70,0,0.0,951,0,0.0,500,0,0.0,3288,0,0.0,1288,0,0.0,0,0,0.0,1555,0,0.0,528,0,0.0,1366,0,0.0,0.0,0,39535,0,9546,0
8,2022-02-24,161,0,0.0,1218,0,0.0,590,0,0.0,4060,0,0.0,2135,0,0.0,0,0,0.0,1830,0,0.0,640,0,0.0,1643,0,0.0,0.0,0,40535,0,12277,0
9,2022-02-25,289,0,0.0,1436,0,0.0,640,0,0.0,4435,0,0.0,2940,0,0.0,0,0,0.0,2025,0,0.0,716,0,0.0,1863,0,0.0,0.0,0,41430,0,14344,0
10,2022-02-26,454,0,0.0,1631,0,0.0,683,0,0.0,4618,0,0.0,3361,0,0.0,0,0,0.0,2128,0,0.0,790,0,0.0,2019,0,0.0,0.0,0,42234,0,15684,0
11,2022-02-27,587,0,0.0,1819,0,0.0,710,0,0.0,4768,0,0.0,3749,0,0.0,0,0,0.0,2193,0,0.0,850,0,0.0,2150,0,0.0,0.0,0,42959,0,16826,0
12,2022-02-28,760,0,0.0,2037,0,0.0,739,0,0.0,4878,0,0.0,4074,0,0.0,0,0,0.0,2276,0,0.0,901,0,0.0,2247,0,0.0,0.0,0,43615,0,17912,0
13,2022-03-01,891,0,0.0,2222,0,0.0,758,0,0.0,4985,0,0.0,4374,0,0.0,1,0,0.0,2349,0,0.0,951,0,0.0,2321,0,0.0,0.0,0,43648,0,18852,0
14,2022-03-02,1020,0,0.0,2386,0,0.0,775,0,0.0,5058,0,0.0,4613,0,0.0,1,0,0.0,2398,0,0.0,1000,0,0.0,2389,0,0.0,0.0,0,43676,0,19640,0
15,2022-03-03,1146,0,0.0,2531,0,0.0,784,0,0.0,5118,0,0.0,4791,0,0.0,3,0,0.0,2439,0,0.0,1051,0,0.0,2442,0,0.0,0.0,0,43703,0,20305,0
16,2022-03-04,1252,0,0.0,2656,0,0.0,789,0,0.0,5189,0,0.0,4930,0,0.0,8,0,0.0,2482,0,0.0,1081,0,0.0,2484,0,0.0,0.0,0,43726,0,20871,0
17,2022-03-05,1352,0,0.0,2790,0,0.0,796,0,0.0,5229,0,0.0,5041,0,0.0,10,0,0.0,2515,0,0.0,1110,0,0.0,2524,0,0.0,0.0,0,43726,0,21367,0
18,2022-03-06,1445,0,0.0,2897,0,0.0,803,0,0.0,5272,0,0.0,5160,0,0.0,13,0,0.0,2546,0,0.0,1146,0,0.0,2547,0,0.0,0.0,0,43726,0,21829,0
19,2022-03-07,1528,0,0.0,2996,0,0.0,809,0,0.0,5329,0,0.0,5278,0,0.0,14,0,0.0,2578,0,0.0,1178,0,0.0,2569,0,0.0,0.0,0,43726,0,22279,0
20,2022-03-08,1600,0,0.0,3106,0,0.0,811,0,0.0,5370,0,0.0,5381,0,0.0,19,0,0.0,2608,0,0.0,1208,0,0.0,2581,0,0.0,0.0,0,43726,0,22684,0
21,2022-03-09,1670,0,0.0,3221,0,0.0,814,0,0.0,5395,0,0.0,5450,0,0.0,21,0,0.0,2625,0,0.0,1235,0,0.0,2600,0,0.0,0.0,0,43726,0,23031,0
22,2022-03-10,1729,0,0.0,3326,0,0.0,816,0,0.0,5464,0,0.0,5516,0,0.0,24,0,0.0,2650,0,0.0,1257,0,0.0,2614,0,0.0,0.0,0,43726,0,23396,0
23,2022-03-11,1780,0,0.0,3418,0,0.0,818,0,0.0,5504,0,0.0,5594,0,0.0,28,0,0.0,2696,0,0.0,1282,0,0.0,2626,0,0.0,0.0,0,43726,0,23746,0
24,2022-03-12,1832,0,0.0,3501,0,0.0,819,0,0.0,5546,0,0.0,5656,0,0.0,37,0,0.0,2735,0,0.0,1323,0,0.0,2628,0,0.0,0.0,0,43726,0,24077,0
25,2022-03-13,1884,0,0.0,3599,0,0.0,821,0,0.0,5587,0,0.0,5723,0,0.0,46,0,0.0,2778,0,0.0,1349,0,0.0,2639,0,0.0,0.0,0,43726,0,24426,0
26,2022-03-14,1966,0,0.0,3707,0,0.0,820,0,0.0,5640,0,0.0,5783,0,0.0,51,0,0.0,2823,0,0.0,1379,0,0.0,2644,0,0.0,0.0,0,43726,0,24813,0
27,2022-03-15,2028,0,0.0,3803,0,0.0,819,0,0.0,5703,0,0.0,5848,0,0.0,65,0,0.0,2854,0,0.0,1411,0,0.0,2646,0,0.0,0.0,0,43726,0,25177,0
28,2022-03-16,2076,0,0.0,3890,0,0.0,819,0,0.0,5765,0,0.0,5884,0,0.0,72,0,0.0,2891,0,0.0,1443,0,0.0,2655,0,0.0,0.0,0,43726,0,25495,0
29,2022-03-17,2127,0,0.0,3955,0,0.0,819,0,0.0,5825,0,0.0,5925,0,0.0,77,0,0.0,2918,0,0.0,1472,0,0.0,2658,0,0.0,0.0,0,43726,0,25776,0
30,2022-03-18,2165,0,0.0,4027,0,0.0,820,0,0.0,5885,0,0.0,5963,0,0.0,86,0,0.0,2951,0,0.0,1500,0,0.0,2670,0,0.0,0.0,0,43726,0,26067,0
31,2022-03-19,2226,0,0.0,4101,0,0.0,822,0,0.0,5959,0,0.0,5992,0,0.0,91,0,0.0,2986,0,0.0,1519,0,0.0,2670,0,0.0,0.0,0,43726,0,26366,0
32,2022-03-20,2278,0,0.0,4170,0,0.0,822,0,0.0,6014,0,0.0,6036,0,0.0,96,0,0.0,3015,0,0.0,1542,0,0.0,2676,0,0.0,0.0,0,43726,0,26649,0
33,2022-03-21,2330,0,0.0,4240,0,0.0,823,0,0.0,6083,0,0.0,6078,0,0.0,101,0,0.0,3047,0,0.0,1561,0,0.0,2674,0,0.0,0.0,0,43726,0,26937,0
34,2022-03-22,2382,0,0.0,4307,0,0.0,825,0,0.0,6154,0,0.0,6126,0,0.0,109,0,0.0,3068,0,0.0,1591,0,0.0,2676,0,0.0,0.0,0,43726,0,27238,0
35,2022-03-23,2422,0,0.0,4383,0,0.0,828,0,0.0,6219,0,0.0,6165,0,0.0,117,0,0.0,3099,0,0.0,1613,0,0.0,2678,0,0.0,0.0,0,43726,0,27524,0
36,2022-03-24,2462,0,0.0,4438,0,0.0,829,0,0.0,6278,0,0.0,6195,0,0.0,127,0,0.0,3130,0,0.0,1627,0,0.0,2682,0,0.0,0.0,0,43726,0,27768,0
37,2022-03-25,2511,0,0.0,4511,0,0.0,829,0,0.0,6332,0,0.0,6229,0,0.0,132,0,0.0,3157,0,0.0,1652,0,0.0,2681,0,0.0,0.0,0,43726,0,28034,0
38,2022-03-26,2553,0,0.0,4575,0,0.0,829,0,0.0,6387,0,0.0,6266,0,0.0,138,0,0.0,3194,0,0.0,1677,0,0.0,2685,0,0.0,0.0,0,43726,0,28304,0
39,2022-03-27,2605,0,0.0,4638,0,0.0,830,0,0.0,6437,0,0.0,6299,0,0.0,145,0,0.0,3227,0,0.0,1691,0,0.0,2686,0,0.0,0.0,0,43726,0,28558,0
40,2022-03-28,2649,0,0.0,4704,0,0.0,830,0,0.0,6488,0,0.0,6341,0,0.0,153,0,0.0,3255,0,0.0,1715,0,0.0,2690,0,0.0,0.0,0,43726,0,28825,0
