Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,28,0,0.0,0,0,0.0,0,0,0.0,6,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,34,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,70,0,0.0,0,0,0.0,0,0,0.0,19,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,89,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,266,0,0.0,0,0,0.0,0,0,0.0,71,0,0.0,0,0,0.0,27,0,0.0,0.0,0,5586,0,364,0
3,2022-02-19,0,0,0.0,48,0,0.0,52,0,0.0,470,0,0.0,52,0,0.0,0,0,0.0,220,0,0.0,45,0,0.0,133,0,0.0,0.0,0,12691,0,1020,0
4,2022-02-20,3,0,0.0,183,0,0.0,129,0,0.0,1122,0,0.0,178,0,0.0,0,0,0.0,546,0,0.0,110,0,0.0,393,0,0.0,0.0,0,19482,0,2664,0
5,2022-02-21,5,0,0.0,390,0,0.0,236,0,0.0,1714,0,0.0,350,0,0.0,0,0,0.0,751,0,0.0,207,0,0.0,681,0,0.0,0.0,0,27403,0,4334,0
6,2022-02-22,23,0,0.0,653,0,0.0,362,0,0.0,2481,0,0.0,637,0,0.0,0,0,0.0,1198,0,0.0,367,0,0.0,936,0,0.0,0.0,0,34082,0,6657,0
7,2022-02-23,64,0,0.0,949,0,0.0,482,0,0.0,3381,0,0.0,1277,0,0.0,0,0,0.0,1515,0,0.0,519,0,0.0,1361,0,0.0,0.0,0,39535,0,9548,0
8,2022-02-24,140,0,0.0,1228,0,0.0,558,0,0.0,4119,0,0.0,2105,0,0.0,0,0,0.0,1820,0,0.0,635,0,0.0,1630,0,0.0,0.0,0,40535,0,12235,0
9,2022-02-25,260,0,0.0,1453,0,0.0,608,0,0.0,4473,0,0.0,2924,0,0.0,0,0,0.0,1981,0,0.0,732,0,0.0,1851,0,0.0,0.0,0,41430,0,14282,0
10,2022-02-26,407,0,0.0,1696,0,0.0,648,0,0.0,4671,0,0.0,3353,0,0.0,0,0,0.0,2075,0,0.0,818,0,0.0,2006,0,0.0,0.0,0,42234,0,15674,0
11,2022-02-27,577,0,0.0,1893,0,0.0,685,0,0.0,4810,0,0.0,3691,0,0.0,0,0,0.0,2142,0,0.0,900,0,0.0,2141,0,0.0,0.0,0,42959,0,16839,0
12,2022-02-28,702,0,0.0,2123,0,0.0,710,0,0.0,4931,0,0.0,4012,0,0.0,0,0,0.0,2231,0,0.0,968,0,0.0,2251,0,0.0,0.0,0,43615,0,17928,0
13,2022-03-01,846,0,0.0,2290,0,0.0,730,0,0.0,5028,0,0.0,4288,0,0.0,1,0,0.0,2301,0,0.0,1031,0,0.0,2317,0,0.0,0.0,0,43648,0,18832,0
14,2022-03-02,976,0,0.0,2456,0,0.0,747,0,0.0,5114,0,0.0,4562,0,0.0,2,0,0.0,2383,0,0.0,1085,0,0.0,2386,0,0.0,0.0,0,43676,0,19711,0
15,2022-03-03,1105,0,0.0,2624,0,0.0,753,0,0.0,5172,0,0.0,4750,0,0.0,2,0,0.0,2429,0,0.0,1127,0,0.0,2433,0,0.0,0.0,0,43703,0,20395,0
16,2022-03-04,1204,0,0.0,2741,0,0.0,763,0,0.0,5221,0,0.0,4907,0,0.0,4,0,0.0,2458,0,0.0,1154,0,0.0,2471,0,0.0,0.0,0,43726,0,20923,0
17,2022-03-05,1297,0,0.0,2876,0,0.0,770,0,0.0,5265,0,0.0,5016,0,0.0,6,0,0.0,2498,0,0.0,1194,0,0.0,2510,0,0.0,0.0,0,43726,0,21432,0
18,2022-03-06,1388,0,0.0,2989,0,0.0,779,0,0.0,5317,0,0.0,5150,0,0.0,14,0,0.0,2524,0,0.0,1224,0,0.0,2531,0,0.0,0.0,0,43726,0,21916,0
19,2022-03-07,1480,0,0.0,3116,0,0.0,783,0,0.0,5361,0,0.0,5277,0,0.0,15,0,0.0,2551,0,0.0,1257,0,0.0,2561,0,0.0,0.0,0,43726,0,22401,0
20,2022-03-08,1547,0,0.0,3220,0,0.0,787,0,0.0,5403,0,0.0,5385,0,0.0,20,0,0.0,2588,0,0.0,1282,0,0.0,2583,0,0.0,0.0,0,43726,0,22815,0
21,2022-03-09,1629,0,0.0,3317,0,0.0,788,0,0.0,5453,0,0.0,5482,0,0.0,20,0,0.0,2626,0,0.0,1307,0,0.0,2601,0,0.0,0.0,0,43726,0,23223,0
22,2022-03-10,1703,0,0.0,3428,0,0.0,789,0,0.0,5500,0,0.0,5566,0,0.0,25,0,0.0,2655,0,0.0,1333,0,0.0,2611,0,0.0,0.0,0,43726,0,23610,0
23,2022-03-11,1763,0,0.0,3521,0,0.0,790,0,0.0,5553,0,0.0,5639,0,0.0,30,0,0.0,2683,0,0.0,1367,0,0.0,2623,0,0.0,0.0,0,43726,0,23969,0
24,2022-03-12,1823,0,0.0,3603,0,0.0,792,0,0.0,5589,0,0.0,5703,0,0.0,37,0,0.0,2714,0,0.0,1392,0,0.0,2629,0,0.0,0.0,0,43726,0,24282,0
25,2022-03-13,1893,0,0.0,3678,0,0.0,793,0,0.0,5633,0,0.0,5780,0,0.0,42,0,0.0,2757,0,0.0,1417,0,0.0,2638,0,0.0,0.0,0,43726,0,24631,0
26,2022-03-14,1935,0,0.0,3770,0,0.0,793,0,0.0,5675,0,0.0,5828,0,0.0,48,0,0.0,2789,0,0.0,1455,0,0.0,2642,0,0.0,0.0,0,43726,0,24935,0
27,2022-03-15,1978,0,0.0,3858,0,0.0,794,0,0.0,5757,0,0.0,5899,0,0.0,59,0,0.0,2825,0,0.0,1489,0,0.0,2649,0,0.0,0.0,0,43726,0,25308,0
28,2022-03-16,2016,0,0.0,3954,0,0.0,799,0,0.0,5814,0,0.0,5944,0,0.0,70,0,0.0,2848,0,0.0,1516,0,0.0,2654,0,0.0,0.0,0,43726,0,25615,0
29,2022-03-17,2065,0,0.0,4021,0,0.0,801,0,0.0,5865,0,0.0,6006,0,0.0,80,0,0.0,2884,0,0.0,1541,0,0.0,2656,0,0.0,0.0,0,43726,0,25919,0
30,2022-03-18,2126,0,0.0,4095,0,0.0,803,0,0.0,5908,0,0.0,6049,0,0.0,87,0,0.0,2914,0,0.0,1567,0,0.0,2660,0,0.0,0.0,0,43726,0,26209,0
31,2022-03-19,2170,0,0.0,4170,0,0.0,806,0,0.0,5967,0,0.0,6103,0,0.0,97,0,0.0,2945,0,0.0,1581,0,0.0,2664,0,0.0,0.0,0,43726,0,26503,0
32,2022-03-20,2218,0,0.0,4253,0,0.0,807,0,0.0,6013,0,0.0,6151,0,0.0,106,0,0.0,2980,0,0.0,1604,0,0.0,2670,0,0.0,0.0,0,43726,0,26802,0
33,2022-03-21,2274,0,0.0,4329,0,0.0,803,0,0.0,6063,0,0.0,6187,0,0.0,111,0,0.0,3019,0,0.0,1635,0,0.0,2673,0,0.0,0.0,0,43726,0,27094,0
34,2022-03-22,2313,0,0.0,4415,0,0.0,804,0,0.0,6116,0,0.0,6232,0,0.0,118,0,0.0,3052,0,0.0,1655,0,0.0,2676,0,0.0,0.0,0,43726,0,27381,0
35,2022-03-23,2361,0,0.0,4481,0,0.0,806,0,0.0,6165,0,0.0,6273,0,0.0,126,0,0.0,3094,0,0.0,1680,0,0.0,2684,0,0.0,0.0,0,43726,0,27670,0
36,2022-03-24,2414,0,0.0,4549,0,0.0,806,0,0.0,6212,0,0.0,6311,0,0.0,134,0,0.0,3125,0,0.0,1708,0,0.0,2686,0,0.0,0.0,0,43726,0,27945,0
37,2022-03-25,2458,0,0.0,4619,0,0.0,809,0,0.0,6262,0,0.0,6335,0,0.0,142,0,0.0,3152,0,0.0,1731,0,0.0,2689,0,0.0,0.0,0,43726,0,28197,0
38,2022-03-26,2494,0,0.0,4697,0,0.0,809,0,0.0,6315,0,0.0,6377,0,0.0,148,0,0.0,3185,0,0.0,1762,0,0.0,2686,0,0.0,0.0,0,43726,0,28473,0
39,2022-03-27,2534,0,0.0,4754,0,0.0,811,0,0.0,6355,0,0.0,6410,0,0.0,156,0,0.0,3209,0,0.0,1784,0,0.0,2691,0,0.0,0.0,0,43726,0,28704,0
40,2022-03-28,2574,0,0.0,4816,0,0.0,813,0,0.0,6425,0,0.0,6452,0,0.0,162,0,0.0,3230,0,0.0,1804,0,0.0,2693,0,0.0,0.0,0,43726,0,28969,0
