Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,26,0,0.0,0,0,0.0,0,0,0.0,5,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,31,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,74,0,0.0,0,0,0.0,0,0,0.0,21,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,95,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,267,0,0.0,0,0,0.0,0,0,0.0,81,0,0.0,0,0,0.0,28,0,0.0,0.0,0,5586,0,376,0
3,2022-02-19,0,0,0.0,60,0,0.0,47,0,0.0,472,0,0.0,63,0,0.0,0,0,0.0,238,0,0.0,31,0,0.0,146,0,0.0,0.0,0,12691,0,1057,0
4,2022-02-20,1,0,0.0,188,0,0.0,131,0,0.0,1099,0,0.0,194,0,0.0,0,0,0.0,508,0,0.0,90,0,0.0,383,0,0.0,0.0,0,19482,0,2594,0
5,2022-02-21,6,0,0.0,399,0,0.0,245,0,0.0,1653,0,0.0,379,0,0.0,0,0,0.0,710,0,0.0,185,0,0.0,644,0,0.0,0.0,0,27403,0,4221,0
6,2022-02-22,22,0,0.0,633,0,0.0,360,0,0.0,2421,0,0.0,671,0,0.0,0,0,0.0,1157,0,0.0,328,0,0.0,934,0,0.0,0.0,0,34082,0,6526,0
7,2022-02-23,63,0,0.0,931,0,0.0,503,0,0.0,3348,0,0.0,1283,0,0.0,0,0,0.0,1530,0,0.0,492,0,0.0,1344,0,0.0,0.0,0,39535,0,9494,0
8,2022-02-24,144,0,0.0,1194,0,0.0,562,0,0.0,4083,0,0.0,2113,0,0.0,0,0,0.0,1847,0,0.0,630,0,0.0,1616,0,0.0,0.0,0,40535,0,12189,0
9,2022-02-25,262,0,0.0,1446,0,0.0,620,0,0.0,4432,0,0.0,2946,0,0.0,0,0,0.0,1978,0,0.0,696,0,0.0,1838,0,0.0,0.0,0,41430,0,14218,0
10,2022-02-26,415,0,0.0,1681,0,0.0,659,0,0.0,4623,0,0.0,3377,0,0.0,0,0,0.0,2079,0,0.0,760,0,0.0,1986,0,0.0,0.0,0,42234,0,15580,0
11,2022-02-27,549,0,0.0,1914,0,0.0,695,0,0.0,4770,0,0.0,3764,0,0.0,0,0,0.0,2141,0,0.0,811,0,0.0,2139,0,0.0,0.0,0,42959,0,16783,0
12,2022-02-28,696,0,0.0,2097,0,0.0,729,0,0.0,4884,0,0.0,4071,0,0.0,0,0,0.0,2203,0,0.0,868,0,0.0,2242,0,0.0,0.0,0,43615,0,17790,0
13,2022-03-01,835,0,0.0,2287,0,0.0,739,0,0.0,4989,0,0.0,4353,0,0.0,0,0,0.0,2281,0,0.0,921,0,0.0,2330,0,0.0,0.0,0,43648,0,18735,0
14,2022-03-02,945,0,0.0,2480,0,0.0,752,0,0.0,5073,0,0.0,4605,0,0.0,1,0,0.0,2350,0,0.0,969,0,0.0,2389,0,0.0,0.0,0,43676,0,19564,0
15,2022-03-03,1068,0,0.0,2643,0,0.0,757,0,0.0,5146,0,0.0,4767,0,0.0,4,0,0.0,2378,0,0.0,1020,0,0.0,2446,0,0.0,0.0,0,43703,0,20229,0
16,2022-03-04,1160,0,0.0,2782,0,0.0,764,0,0.0,5200,0,0.0,4913,0,0.0,10,0,0.0,2419,0,0.0,1070,0,0.0,2484,0,0.0,0.0,0,43726,0,20802,0
17,2022-03-05,1242,0,0.0,2897,0,0.0,771,0,0.0,5230,0,0.0,5063,0,0.0,13,0,0.0,2451,0,0.0,1114,0,0.0,2522,0,0.0,0.0,0,43726,0,21303,0
