Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,24,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,25,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,79,0,0.0,65,0,0.0,0,0,0.0,0,0,0.0,16,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,160,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,236,0,0.0,257,0,0.0,0,0,0.0,0,0,0.0,68,0,0.0,1,0,0.0,33,0,0.0,0.0,0,5586,0,595,0
3,2022-02-19,0,0,0.0,48,0,0.0,44,0,0.0,600,0,0.0,462,0,0.0,39,0,0.0,0,0,0.0,224,0,0.0,33,0,0.0,145,0,0.0,0.0,0,12691,0,1595,0
4,2022-02-20,0,0,0.0,154,0,0.0,140,0,0.0,1108,0,0.0,1051,0,0.0,119,0,0.0,0,0,0.0,512,0,0.0,99,0,0.0,410,0,0.0,0.0,0,19482,0,3593,0
5,2022-02-21,9,0,0.0,336,0,0.0,251,0,0.0,1949,0,0.0,1520,0,0.0,216,0,0.0,0,0,0.0,727,0,0.0,197,0,0.0,685,0,0.0,0.0,0,27403,0,5890,0
6,2022-02-22,27,0,0.0,613,0,0.0,360,0,0.0,3139,0,0.0,2188,0,0.0,360,0,0.0,0,0,0.0,1172,0,0.0,338,0,0.0,972,0,0.0,0.0,0,34082,0,9169,0
7,2022-02-23,62,0,0.0,925,0,0.0,491,0,0.0,4535,0,0.0,2871,0,0.0,624,0,0.0,0,0,0.0,1515,0,0.0,501,0,0.0,1427,0,0.0,0.0,0,39535,0,12951,0
8,2022-02-24,155,0,0.0,1195,0,0.0,569,0,0.0,5662,0,0.0,3428,0,0.0,892,0,0.0,0,0,0.0,1809,0,0.0,619,0,0.0,1682,0,0.0,0.0,0,40535,0,16011,0
9,2022-02-25,269,0,0.0,1419,0,0.0,619,0,0.0,6361,0,0.0,3693,0,0.0,1079,0,0.0,0,0,0.0,1956,0,0.0,683,0,0.0,1871,0,0.0,0.0,0,41430,0,17950,0
10,2022-02-26,407,0,0.0,1652,0,0.0,656,0,0.0,6889,0,0.0,3872,0,0.0,1167,0,0.0,0,0,0.0,2047,0,0.0,733,0,0.0,2031,0,0.0,0.0,0,42234,0,19454,0
11,2022-02-27,539,0,0.0,1875,0,0.0,691,0,0.0,7298,0,0.0,3997,0,0.0,1216,0,0.0,0,0,0.0,2088,0,0.0,786,0,0.0,2154,0,0.0,0.0,0,42959,0,20644,0
12,2022-02-28,671,0,0.0,2093,0,0.0,717,0,0.0,7711,0,0.0,4119,0,0.0,1272,0,0.0,1,0,0.0,2144,0,0.0,827,0,0.0,2258,0,0.0,0.0,0,43615,0,21813,0
13,2022-03-01,815,0,0.0,2276,0,0.0,735,0,0.0,8002,0,0.0,4197,0,0.0,1339,0,0.0,1,0,0.0,2193,0,0.0,858,0,0.0,2360,0,0.0,0.0,0,43648,0,22776,0
14,2022-03-02,926,0,0.0,2461,0,0.0,757,0,0.0,8187,0,0.0,4272,0,0.0,1400,0,0.0,1,0,0.0,2244,0,0.0,886,0,0.0,2427,0,0.0,0.0,0,43676,0,23561,0
15,2022-03-03,1032,0,0.0,2596,0,0.0,771,0,0.0,8334,0,0.0,4319,0,0.0,1425,0,0.0,1,0,0.0,2261,0,0.0,910,0,0.0,2496,0,0.0,0.0,0,43703,0,24145,0
16,2022-03-04,1147,0,0.0,2722,0,0.0,780,0,0.0,8485,0,0.0,4397,0,0.0,1442,0,0.0,1,0,0.0,2280,0,0.0,929,0,0.0,2532,0,0.0,0.0,0,43726,0,24715,0
17,2022-03-05,1251,0,0.0,2822,0,0.0,784,0,0.0,8611,0,0.0,4442,0,0.0,1475,0,0.0,5,0,0.0,2304,0,0.0,956,0,0.0,2557,0,0.0,0.0,0,43726,0,25207,0
