Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,30,0,0.0,0,0,0.0,0,0,0.0,4,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,34,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,80,0,0.0,65,0,0.0,0,0,0.0,0,0,0.0,10,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,155,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,244,0,0.0,254,0,0.0,0,0,0.0,0,0,0.0,75,0,0.0,0,0,0.0,29,0,0.0,0.0,0,5586,0,602,0
3,2022-02-19,0,0,0.0,55,0,0.0,40,0,0.0,584,0,0.0,454,0,0.0,49,0,0.0,0,0,0.0,236,0,0.0,44,0,0.0,140,0,0.0,0.0,0,12691,0,1602,0
4,2022-02-20,3,0,0.0,185,0,0.0,116,0,0.0,1037,0,0.0,1070,0,0.0,123,0,0.0,0,0,0.0,503,0,0.0,117,0,0.0,419,0,0.0,0.0,0,19482,0,3573,0
5,2022-02-21,8,0,0.0,372,0,0.0,240,0,0.0,1886,0,0.0,1514,0,0.0,240,0,0.0,0,0,0.0,766,0,0.0,195,0,0.0,677,0,0.0,0.0,0,27403,0,5898,0
6,2022-02-22,26,0,0.0,633,0,0.0,358,0,0.0,3081,0,0.0,2177,0,0.0,383,0,0.0,0,0,0.0,1182,0,0.0,330,0,0.0,969,0,0.0,0.0,0,34082,0,9139,0
7,2022-02-23,67,0,0.0,953,0,0.0,483,0,0.0,4466,0,0.0,2905,0,0.0,645,0,0.0,0,0,0.0,1540,0,0.0,478,0,0.0,1408,0,0.0,0.0,0,39535,0,12945,0
8,2022-02-24,157,0,0.0,1216,0,0.0,555,0,0.0,5622,0,0.0,3429,0,0.0,899,0,0.0,0,0,0.0,1831,0,0.0,577,0,0.0,1669,0,0.0,0.0,0,40535,0,15955,0
9,2022-02-25,283,0,0.0,1449,0,0.0,617,0,0.0,6317,0,0.0,3698,0,0.0,1085,0,0.0,0,0,0.0,1972,0,0.0,645,0,0.0,1880,0,0.0,0.0,0,41430,0,17946,0
10,2022-02-26,418,0,0.0,1683,0,0.0,659,0,0.0,6861,0,0.0,3867,0,0.0,1176,0,0.0,0,0,0.0,2061,0,0.0,702,0,0.0,2047,0,0.0,0.0,0,42234,0,19474,0
11,2022-02-27,566,0,0.0,1886,0,0.0,693,0,0.0,7296,0,0.0,4002,0,0.0,1258,0,0.0,0,0,0.0,2122,0,0.0,748,0,0.0,2171,0,0.0,0.0,0,42959,0,20742,0
12,2022-02-28,706,0,0.0,2092,0,0.0,720,0,0.0,7660,0,0.0,4109,0,0.0,1326,0,0.0,0,0,0.0,2181,0,0.0,789,0,0.0,2268,0,0.0,0.0,0,43615,0,21851,0
13,2022-03-01,853,0,0.0,2280,0,0.0,744,0,0.0,7987,0,0.0,4214,0,0.0,1396,0,0.0,1,0,0.0,2227,0,0.0,817,0,0.0,2352,0,0.0,0.0,0,43648,0,22871,0
14,2022-03-02,980,0,0.0,2449,0,0.0,766,0,0.0,8185,0,0.0,4283,0,0.0,1462,0,0.0,2,0,0.0,2268,0,0.0,843,0,0.0,2434,0,0.0,0.0,0,43676,0,23672,0
15,2022-03-03,1109,0,0.0,2590,0,0.0,778,0,0.0,8355,0,0.0,4339,0,0.0,1498,0,0.0,4,0,0.0,2287,0,0.0,868,0,0.0,2484,0,0.0,0.0,0,43703,0,24312,0
16,2022-03-04,1210,0,0.0,2726,0,0.0,786,0,0.0,8491,0,0.0,4389,0,0.0,1528,0,0.0,9,0,0.0,2302,0,0.0,886,0,0.0,2531,0,0.0,0.0,0,43726,0,24858,0
17,2022-03-05,1313,0,0.0,2854,0,0.0,790,0,0.0,8595,0,0.0,4423,0,0.0,1554,0,0.0,11,0,0.0,2317,0,0.0,906,0,0.0,2553,0,0.0,0.0,0,43726,0,25316,0
18,2022-03-06,1405,0,0.0,2977,0,0.0,793,0,0.0,8688,0,0.0,4472,0,0.0,1580,0,0.0,12,0,0.0,2333,0,0.0,924,0,0.0,2582,0,0.0,0.0,0,43726,0,25766,0
19,2022-03-07,1480,0,0.0,3101,0,0.0,800,0,0.0,8748,0,0.0,4513,0,0.0,1601,0,0.0,15,0,0.0,2347,0,0.0,939,0,0.0,2592,0,0.0,0.0,0,43726,0,26136,0
20,2022-03-08,1560,0,0.0,3194,0,0.0,804,0,0.0,8806,0,0.0,4556,0,0.0,1620,0,0.0,21,0,0.0,2366,0,0.0,954,0,0.0,2613,0,0.0,0.0,0,43726,0,26494,0
21,2022-03-09,1637,0,0.0,3274,0,0.0,806,0,0.0,8851,0,0.0,4585,0,0.0,1633,0,0.0,25,0,0.0,2377,0,0.0,967,0,0.0,2627,0,0.0,0.0,0,43726,0,26782,0
22,2022-03-10,1705,0,0.0,3379,0,0.0,809,0,0.0,8898,0,0.0,4633,0,0.0,1649,0,0.0,26,0,0.0,2390,0,0.0,983,0,0.0,2633,0,0.0,0.0,0,43726,0,27105,0
23,2022-03-11,1765,0,0.0,3474,0,0.0,807,0,0.0,8938,0,0.0,4675,0,0.0,1665,0,0.0,31,0,0.0,2408,0,0.0,992,0,0.0,2643,0,0.0,0.0,0,43726,0,27398,0
24,2022-03-12,1831,0,0.0,3563,0,0.0,805,0,0.0,8993,0,0.0,4704,0,0.0,1681,0,0.0,37,0,0.0,2421,0,0.0,1003,0,0.0,2652,0,0.0,0.0,0,43726,0,27690,0
25,2022-03-13,1888,0,0.0,3645,0,0.0,808,0,0.0,9017,0,0.0,4741,0,0.0,1700,0,0.0,40,0,0.0,2443,0,0.0,1014,0,0.0,2657,0,0.0,0.0,0,43726,0,27953,0
26,2022-03-14,1938,0,0.0,3732,0,0.0,808,0,0.0,9037,0,0.0,4785,0,0.0,1719,0,0.0,47,0,0.0,2452,0,0.0,1027,0,0.0,2661,0,0.0,0.0,0,43726,0,28206,0
27,2022-03-15,1996,0,0.0,3814,0,0.0,808,0,0.0,9073,0,0.0,4833,0,0.0,1737,0,0.0,54,0,0.0,2461,0,0.0,1034,0,0.0,2663,0,0.0,0.0,0,43726,0,28473,0
28,2022-03-16,2050,0,0.0,3895,0,0.0,810,0,0.0,9097,0,0.0,4877,0,0.0,1750,0,0.0,57,0,0.0,2476,0,0.0,1048,0,0.0,2669,0,0.0,0.0,0,43726,0,28729,0
29,2022-03-17,2114,0,0.0,3982,0,0.0,810,0,0.0,9113,0,0.0,4917,0,0.0,1764,0,0.0,62,0,0.0,2489,0,0.0,1062,0,0.0,2675,0,0.0,0.0,0,43726,0,28988,0
30,2022-03-18,2157,0,0.0,4045,0,0.0,812,0,0.0,9131,0,0.0,4963,0,0.0,1772,0,0.0,67,0,0.0,2505,0,0.0,1069,0,0.0,2673,0,0.0,0.0,0,43726,0,29194,0
31,2022-03-19,2208,0,0.0,4115,0,0.0,812,0,0.0,9147,0,0.0,5004,0,0.0,1785,0,0.0,82,0,0.0,2513,0,0.0,1078,0,0.0,2675,0,0.0,0.0,0,43726,0,29419,0
32,2022-03-20,2249,0,0.0,4183,0,0.0,812,0,0.0,9160,0,0.0,5038,0,0.0,1799,0,0.0,90,0,0.0,2530,0,0.0,1087,0,0.0,2680,0,0.0,0.0,0,43726,0,29628,0
33,2022-03-21,2310,0,0.0,4261,0,0.0,812,0,0.0,9167,0,0.0,5069,0,0.0,1809,0,0.0,97,0,0.0,2540,0,0.0,1092,0,0.0,2682,0,0.0,0.0,0,43726,0,29839,0
34,2022-03-22,2359,0,0.0,4335,0,0.0,813,0,0.0,9179,0,0.0,5109,0,0.0,1813,0,0.0,102,0,0.0,2552,0,0.0,1097,0,0.0,2686,0,0.0,0.0,0,43726,0,30045,0
35,2022-03-23,2399,0,0.0,4402,0,0.0,814,0,0.0,9200,0,0.0,5140,0,0.0,1829,0,0.0,109,0,0.0,2567,0,0.0,1109,0,0.0,2691,0,0.0,0.0,0,43726,0,30260,0
36,2022-03-24,2448,0,0.0,4481,0,0.0,813,0,0.0,9213,0,0.0,5179,0,0.0,1840,0,0.0,116,0,0.0,2576,0,0.0,1117,0,0.0,2690,0,0.0,0.0,0,43726,0,30473,0
37,2022-03-25,2484,0,0.0,4550,0,0.0,816,0,0.0,9224,0,0.0,5219,0,0.0,1846,0,0.0,119,0,0.0,2586,0,0.0,1127,0,0.0,2692,0,0.0,0.0,0,43726,0,30663,0
38,2022-03-26,2534,0,0.0,4624,0,0.0,816,0,0.0,9232,0,0.0,5244,0,0.0,1852,0,0.0,128,0,0.0,2593,0,0.0,1135,0,0.0,2693,0,0.0,0.0,0,43726,0,30851,0
39,2022-03-27,2582,0,0.0,4677,0,0.0,819,0,0.0,9238,0,0.0,5282,0,0.0,1863,0,0.0,134,0,0.0,2606,0,0.0,1144,0,0.0,2695,0,0.0,0.0,0,43726,0,31040,0
