Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,33,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,33,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,102,0,0.0,74,0,0.0,0,0,0.0,0,0,0.0,9,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,185,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,272,0,0.0,271,0,0.0,0,0,0.0,0,0,0.0,77,0,0.0,1,0,0.0,36,0,0.0,0.0,0,5586,0,657,0
3,2022-02-19,0,0,0.0,45,0,0.0,36,0,0.0,646,0,0.0,461,0,0.0,36,0,0.0,0,0,0.0,238,0,0.0,44,0,0.0,146,0,0.0,0.0,0,12691,0,1652,0
4,2022-02-20,1,0,0.0,181,0,0.0,116,0,0.0,1120,0,0.0,1047,0,0.0,109,0,0.0,0,0,0.0,544,0,0.0,106,0,0.0,385,0,0.0,0.0,0,19482,0,3609,0
5,2022-02-21,5,0,0.0,358,0,0.0,251,0,0.0,1967,0,0.0,1500,0,0.0,218,0,0.0,0,0,0.0,784,0,0.0,201,0,0.0,687,0,0.0,0.0,0,27403,0,5971,0
6,2022-02-22,21,0,0.0,651,0,0.0,372,0,0.0,3128,0,0.0,2158,0,0.0,357,0,0.0,0,0,0.0,1185,0,0.0,344,0,0.0,991,0,0.0,0.0,0,34082,0,9207,0
7,2022-02-23,75,0,0.0,975,0,0.0,487,0,0.0,4548,0,0.0,2893,0,0.0,614,0,0.0,0,0,0.0,1550,0,0.0,477,0,0.0,1420,0,0.0,0.0,0,39535,0,13039,0
8,2022-02-24,174,0,0.0,1233,0,0.0,563,0,0.0,5671,0,0.0,3405,0,0.0,843,0,0.0,0,0,0.0,1857,0,0.0,575,0,0.0,1684,0,0.0,0.0,0,40535,0,16005,0
9,2022-02-25,297,0,0.0,1446,0,0.0,618,0,0.0,6425,0,0.0,3656,0,0.0,1034,0,0.0,0,0,0.0,2011,0,0.0,628,0,0.0,1903,0,0.0,0.0,0,41430,0,18018,0
10,2022-02-26,451,0,0.0,1674,0,0.0,660,0,0.0,6965,0,0.0,3837,0,0.0,1113,0,0.0,0,0,0.0,2092,0,0.0,695,0,0.0,2058,0,0.0,0.0,0,42234,0,19545,0
11,2022-02-27,595,0,0.0,1904,0,0.0,687,0,0.0,7398,0,0.0,3956,0,0.0,1191,0,0.0,1,0,0.0,2149,0,0.0,736,0,0.0,2182,0,0.0,0.0,0,42959,0,20799,0
12,2022-02-28,737,0,0.0,2105,0,0.0,713,0,0.0,7764,0,0.0,4064,0,0.0,1265,0,0.0,1,0,0.0,2222,0,0.0,775,0,0.0,2285,0,0.0,0.0,0,43615,0,21931,0
13,2022-03-01,885,0,0.0,2297,0,0.0,731,0,0.0,8092,0,0.0,4162,0,0.0,1315,0,0.0,3,0,0.0,2262,0,0.0,797,0,0.0,2374,0,0.0,0.0,0,43648,0,22918,0
14,2022-03-02,1012,0,0.0,2456,0,0.0,742,0,0.0,8281,0,0.0,4236,0,0.0,1386,0,0.0,5,0,0.0,2302,0,0.0,829,0,0.0,2430,0,0.0,0.0,0,43676,0,23679,0
15,2022-03-03,1118,0,0.0,2600,0,0.0,753,0,0.0,8422,0,0.0,4278,0,0.0,1417,0,0.0,6,0,0.0,2322,0,0.0,850,0,0.0,2473,0,0.0,0.0,0,43703,0,24239,0
16,2022-03-04,1233,0,0.0,2771,0,0.0,758,0,0.0,8541,0,0.0,4354,0,0.0,1441,0,0.0,10,0,0.0,2347,0,0.0,872,0,0.0,2510,0,0.0,0.0,0,43726,0,24837,0
17,2022-03-05,1309,0,0.0,2912,0,0.0,762,0,0.0,8663,0,0.0,4387,0,0.0,1467,0,0.0,12,0,0.0,2364,0,0.0,886,0,0.0,2542,0,0.0,0.0,0,43726,0,25304,0
18,2022-03-06,1414,0,0.0,3038,0,0.0,767,0,0.0,8762,0,0.0,4420,0,0.0,1490,0,0.0,15,0,0.0,2375,0,0.0,899,0,0.0,2574,0,0.0,0.0,0,43726,0,25754,0
