Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,19,0,0.0,0,0,0.0,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,21,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,85,0,0.0,53,0,0.0,0,0,0.0,0,0,0.0,13,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,151,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,260,0,0.0,241,0,0.0,0,0,0.0,0,0,0.0,78,0,0.0,1,0,0.0,28,0,0.0,0.0,0,5586,0,608,0
3,2022-02-19,0,0,0.0,49,0,0.0,49,0,0.0,621,0,0.0,481,0,0.0,47,0,0.0,0,0,0.0,222,0,0.0,33,0,0.0,144,0,0.0,0.0,0,12691,0,1646,0
4,2022-02-20,5,0,0.0,171,0,0.0,135,0,0.0,1098,0,0.0,1082,0,0.0,141,0,0.0,0,0,0.0,519,0,0.0,100,0,0.0,408,0,0.0,0.0,0,19482,0,3659,0
5,2022-02-21,13,0,0.0,352,0,0.0,244,0,0.0,1920,0,0.0,1565,0,0.0,264,0,0.0,0,0,0.0,749,0,0.0,203,0,0.0,700,0,0.0,0.0,0,27403,0,6010,0
6,2022-02-22,25,0,0.0,599,0,0.0,359,0,0.0,3147,0,0.0,2281,0,0.0,401,0,0.0,0,0,0.0,1194,0,0.0,362,0,0.0,963,0,0.0,0.0,0,34082,0,9331,0
7,2022-02-23,65,0,0.0,916,0,0.0,488,0,0.0,4555,0,0.0,3010,0,0.0,647,0,0.0,0,0,0.0,1539,0,0.0,502,0,0.0,1395,0,0.0,0.0,0,39535,0,13117,0
8,2022-02-24,163,0,0.0,1184,0,0.0,567,0,0.0,5614,0,0.0,3527,0,0.0,874,0,0.0,0,0,0.0,1828,0,0.0,589,0,0.0,1652,0,0.0,0.0,0,40535,0,15998,0
9,2022-02-25,263,0,0.0,1413,0,0.0,619,0,0.0,6348,0,0.0,3797,0,0.0,1043,0,0.0,0,0,0.0,1979,0,0.0,672,0,0.0,1855,0,0.0,0.0,0,41430,0,17989,0
10,2022-02-26,420,0,0.0,1648,0,0.0,661,0,0.0,6902,0,0.0,3955,0,0.0,1130,0,0.0,0,0,0.0,2052,0,0.0,721,0,0.0,1990,0,0.0,0.0,0,42234,0,19479,0
11,2022-02-27,573,0,0.0,1880,0,0.0,693,0,0.0,7344,0,0.0,4065,0,0.0,1216,0,0.0,0,0,0.0,2114,0,0.0,772,0,0.0,2112,0,0.0,0.0,0,42959,0,20769,0
12,2022-02-28,723,0,0.0,2128,0,0.0,718,0,0.0,7744,0,0.0,4166,0,0.0,1292,0,0.0,0,0,0.0,2156,0,0.0,821,0,0.0,2227,0,0.0,0.0,0,43615,0,21975,0
13,2022-03-01,859,0,0.0,2313,0,0.0,734,0,0.0,8082,0,0.0,4239,0,0.0,1363,0,0.0,1,0,0.0,2202,0,0.0,862,0,0.0,2304,0,0.0,0.0,0,43648,0,22959,0
14,2022-03-02,974,0,0.0,2475,0,0.0,748,0,0.0,8278,0,0.0,4306,0,0.0,1413,0,0.0,1,0,0.0,2248,0,0.0,883,0,0.0,2364,0,0.0,0.0,0,43676,0,23690,0
15,2022-03-03,1089,0,0.0,2625,0,0.0,758,0,0.0,8449,0,0.0,4370,0,0.0,1453,0,0.0,2,0,0.0,2272,0,0.0,907,0,0.0,2409,0,0.0,0.0,0,43703,0,24334,0
16,2022-03-04,1186,0,0.0,2751,0,0.0,765,0,0.0,8580,0,0.0,4424,0,0.0,1479,0,0.0,4,0,0.0,2287,0,0.0,919,0,0.0,2462,0,0.0,0.0,0,43726,0,24857,0
17,2022-03-05,1270,0,0.0,2888,0,0.0,768,0,0.0,8691,0,0.0,4473,0,0.0,1512,0,0.0,7,0,0.0,2307,0,0.0,943,0,0.0,2490,0,0.0,0.0,0,43726,0,25349,0
18,2022-03-06,1350,0,0.0,2985,0,0.0,771,0,0.0,8772,0,0.0,4520,0,0.0,1544,0,0.0,10,0,0.0,2317,0,0.0,956,0,0.0,2516,0,0.0,0.0,0,43726,0,25741,0
19,2022-03-07,1443,0,0.0,3105,0,0.0,775,0,0.0,8845,0,0.0,4561,0,0.0,1557,0,0.0,12,0,0.0,2334,0,0.0,969,0,0.0,2538,0,0.0,0.0,0,43726,0,26139,0
20,2022-03-08,1526,0,0.0,3202,0,0.0,775,0,0.0,8894,0,0.0,4610,0,0.0,1584,0,0.0,13,0,0.0,2344,0,0.0,983,0,0.0,2559,0,0.0,0.0,0,43726,0,26490,0
21,2022-03-09,1591,0,0.0,3319,0,0.0,780,0,0.0,8940,0,0.0,4646,0,0.0,1605,0,0.0,19,0,0.0,2360,0,0.0,998,0,0.0,2581,0,0.0,0.0,0,43726,0,26839,0
22,2022-03-10,1663,0,0.0,3437,0,0.0,781,0,0.0,8992,0,0.0,4690,0,0.0,1631,0,0.0,24,0,0.0,2373,0,0.0,1013,0,0.0,2587,0,0.0,0.0,0,43726,0,27191,0
23,2022-03-11,1727,0,0.0,3535,0,0.0,783,0,0.0,9034,0,0.0,4735,0,0.0,1648,0,0.0,35,0,0.0,2386,0,0.0,1029,0,0.0,2602,0,0.0,0.0,0,43726,0,27514,0
24,2022-03-12,1793,0,0.0,3614,0,0.0,783,0,0.0,9067,0,0.0,4773,0,0.0,1664,0,0.0,41,0,0.0,2402,0,0.0,1038,0,0.0,2613,0,0.0,0.0,0,43726,0,27788,0
25,2022-03-13,1862,0,0.0,3689,0,0.0,783,0,0.0,9106,0,0.0,4815,0,0.0,1676,0,0.0,49,0,0.0,2415,0,0.0,1052,0,0.0,2617,0,0.0,0.0,0,43726,0,28064,0
26,2022-03-14,1914,0,0.0,3781,0,0.0,786,0,0.0,9133,0,0.0,4857,0,0.0,1687,0,0.0,53,0,0.0,2427,0,0.0,1063,0,0.0,2625,0,0.0,0.0,0,43726,0,28326,0
27,2022-03-15,1970,0,0.0,3849,0,0.0,787,0,0.0,9154,0,0.0,4895,0,0.0,1698,0,0.0,58,0,0.0,2437,0,0.0,1072,0,0.0,2635,0,0.0,0.0,0,43726,0,28555,0
28,2022-03-16,2024,0,0.0,3935,0,0.0,784,0,0.0,9177,0,0.0,4932,0,0.0,1710,0,0.0,64,0,0.0,2448,0,0.0,1086,0,0.0,2645,0,0.0,0.0,0,43726,0,28805,0
29,2022-03-17,2073,0,0.0,4023,0,0.0,786,0,0.0,9208,0,0.0,4975,0,0.0,1722,0,0.0,76,0,0.0,2458,0,0.0,1095,0,0.0,2651,0,0.0,0.0,0,43726,0,29067,0
30,2022-03-18,2108,0,0.0,4123,0,0.0,786,0,0.0,9232,0,0.0,5021,0,0.0,1727,0,0.0,81,0,0.0,2467,0,0.0,1109,0,0.0,2663,0,0.0,0.0,0,43726,0,29317,0
31,2022-03-19,2157,0,0.0,4193,0,0.0,787,0,0.0,9242,0,0.0,5067,0,0.0,1734,0,0.0,92,0,0.0,2484,0,0.0,1116,0,0.0,2671,0,0.0,0.0,0,43726,0,29543,0
32,2022-03-20,2207,0,0.0,4262,0,0.0,789,0,0.0,9256,0,0.0,5105,0,0.0,1743,0,0.0,104,0,0.0,2498,0,0.0,1125,0,0.0,2671,0,0.0,0.0,0,43726,0,29760,0
33,2022-03-21,2246,0,0.0,4336,0,0.0,789,0,0.0,9268,0,0.0,5146,0,0.0,1748,0,0.0,110,0,0.0,2507,0,0.0,1128,0,0.0,2674,0,0.0,0.0,0,43726,0,29952,0
34,2022-03-22,2295,0,0.0,4393,0,0.0,791,0,0.0,9282,0,0.0,5184,0,0.0,1752,0,0.0,126,0,0.0,2516,0,0.0,1135,0,0.0,2673,0,0.0,0.0,0,43726,0,30147,0
35,2022-03-23,2343,0,0.0,4452,0,0.0,790,0,0.0,9290,0,0.0,5224,0,0.0,1763,0,0.0,132,0,0.0,2520,0,0.0,1144,0,0.0,2677,0,0.0,0.0,0,43726,0,30335,0
36,2022-03-24,2385,0,0.0,4521,0,0.0,791,0,0.0,9305,0,0.0,5256,0,0.0,1766,0,0.0,137,0,0.0,2535,0,0.0,1149,0,0.0,2679,0,0.0,0.0,0,43726,0,30524,0
37,2022-03-25,2436,0,0.0,4582,0,0.0,791,0,0.0,9309,0,0.0,5286,0,0.0,1774,0,0.0,146,0,0.0,2546,0,0.0,1155,0,0.0,2681,0,0.0,0.0,0,43726,0,30706,0
38,2022-03-26,2475,0,0.0,4654,0,0.0,794,0,0.0,9314,0,0.0,5330,0,0.0,1786,0,0.0,153,0,0.0,2557,0,0.0,1157,0,0.0,2683,0,0.0,0.0,0,43726,0,30903,0
39,2022-03-27,2522,0,0.0,4712,0,0.0,796,0,0.0,9325,0,0.0,5344,0,0.0,1789,0,0.0,161,0,0.0,2564,0,0.0,1163,0,0.0,2687,0,0.0,0.0,0,43726,0,31063,0
40,2022-03-28,2559,0,0.0,4751,0,0.0,797,0,0.0,9344,0,0.0,5384,0,0.0,1798,0,0.0,171,0,0.0,2572,0,0.0,1167,0,0.0,2687,0,0.0,0.0,0,43726,0,31230,0
