Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,32,0,0.0,0,0,0.0,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,34,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,95,0,0.0,78,0,0.0,0,0,0.0,0,0,0.0,15,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,188,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,266,0,0.0,253,0,0.0,0,0,0.0,0,0,0.0,75,0,0.0,0,0,0.0,31,0,0.0,0.0,0,5586,0,625,0
3,2022-02-19,0,0,0.0,44,0,0.0,45,0,0.0,635,0,0.0,461,0,0.0,41,0,0.0,0,0,0.0,220,0,0.0,47,0,0.0,144,0,0.0,0.0,0,12691,0,1637,0
4,2022-02-20,0,0,0.0,158,0,0.0,144,0,0.0,1120,0,0.0,1062,0,0.0,116,0,0.0,0,0,0.0,497,0,0.0,116,0,0.0,391,0,0.0,0.0,0,19482,0,3604,0
5,2022-02-21,6,0,0.0,363,0,0.0,246,0,0.0,1933,0,0.0,1553,0,0.0,236,0,0.0,0,0,0.0,738,0,0.0,209,0,0.0,653,0,0.0,0.0,0,27403,0,5937,0
6,2022-02-22,28,0,0.0,637,0,0.0,347,0,0.0,3091,0,0.0,2228,0,0.0,390,0,0.0,0,0,0.0,1163,0,0.0,347,0,0.0,937,0,0.0,0.0,0,34082,0,9168,0
7,2022-02-23,82,0,0.0,966,0,0.0,485,0,0.0,4518,0,0.0,2946,0,0.0,623,0,0.0,0,0,0.0,1515,0,0.0,495,0,0.0,1352,0,0.0,0.0,0,39535,0,12982,0
8,2022-02-24,178,0,0.0,1228,0,0.0,563,0,0.0,5631,0,0.0,3485,0,0.0,867,0,0.0,0,0,0.0,1815,0,0.0,608,0,0.0,1618,0,0.0,0.0,0,40535,0,15993,0
9,2022-02-25,293,0,0.0,1468,0,0.0,612,0,0.0,6359,0,0.0,3758,0,0.0,1074,0,0.0,0,0,0.0,1941,0,0.0,683,0,0.0,1826,0,0.0,0.0,0,41430,0,18014,0
10,2022-02-26,429,0,0.0,1684,0,0.0,655,0,0.0,6916,0,0.0,3906,0,0.0,1162,0,0.0,0,0,0.0,2034,0,0.0,740,0,0.0,1995,0,0.0,0.0,0,42234,0,19521,0
11,2022-02-27,587,0,0.0,1911,0,0.0,689,0,0.0,7356,0,0.0,4026,0,0.0,1217,0,0.0,0,0,0.0,2088,0,0.0,786,0,0.0,2108,0,0.0,0.0,0,42959,0,20768,0
12,2022-02-28,740,0,0.0,2088,0,0.0,709,0,0.0,7725,0,0.0,4116,0,0.0,1290,0,0.0,1,0,0.0,2158,0,0.0,816,0,0.0,2211,0,0.0,0.0,0,43615,0,21854,0
13,2022-03-01,843,0,0.0,2281,0,0.0,733,0,0.0,8051,0,0.0,4204,0,0.0,1366,0,0.0,1,0,0.0,2217,0,0.0,853,0,0.0,2297,0,0.0,0.0,0,43648,0,22846,0
14,2022-03-02,968,0,0.0,2426,0,0.0,746,0,0.0,8246,0,0.0,4280,0,0.0,1430,0,0.0,1,0,0.0,2253,0,0.0,874,0,0.0,2368,0,0.0,0.0,0,43676,0,23592,0
15,2022-03-03,1081,0,0.0,2581,0,0.0,757,0,0.0,8405,0,0.0,4335,0,0.0,1458,0,0.0,2,0,0.0,2276,0,0.0,896,0,0.0,2414,0,0.0,0.0,0,43703,0,24205,0
16,2022-03-04,1180,0,0.0,2718,0,0.0,762,0,0.0,8516,0,0.0,4375,0,0.0,1479,0,0.0,9,0,0.0,2298,0,0.0,915,0,0.0,2452,0,0.0,0.0,0,43726,0,24704,0
17,2022-03-05,1281,0,0.0,2827,0,0.0,765,0,0.0,8646,0,0.0,4419,0,0.0,1507,0,0.0,9,0,0.0,2314,0,0.0,933,0,0.0,2488,0,0.0,0.0,0,43726,0,25189,0
18,2022-03-06,1367,0,0.0,2948,0,0.0,772,0,0.0,8738,0,0.0,4466,0,0.0,1535,0,0.0,11,0,0.0,2328,0,0.0,947,0,0.0,2527,0,0.0,0.0,0,43726,0,25639,0
19,2022-03-07,1445,0,0.0,3041,0,0.0,779,0,0.0,8822,0,0.0,4510,0,0.0,1564,0,0.0,13,0,0.0,2340,0,0.0,955,0,0.0,2548,0,0.0,0.0,0,43726,0,26017,0
20,2022-03-08,1524,0,0.0,3158,0,0.0,782,0,0.0,8894,0,0.0,4541,0,0.0,1580,0,0.0,15,0,0.0,2350,0,0.0,967,0,0.0,2564,0,0.0,0.0,0,43726,0,26375,0
21,2022-03-09,1602,0,0.0,3249,0,0.0,783,0,0.0,8968,0,0.0,4567,0,0.0,1596,0,0.0,24,0,0.0,2363,0,0.0,986,0,0.0,2575,0,0.0,0.0,0,43726,0,26713,0
22,2022-03-10,1667,0,0.0,3353,0,0.0,787,0,0.0,9004,0,0.0,4608,0,0.0,1606,0,0.0,32,0,0.0,2370,0,0.0,998,0,0.0,2589,0,0.0,0.0,0,43726,0,27014,0
23,2022-03-11,1733,0,0.0,3448,0,0.0,789,0,0.0,9052,0,0.0,4647,0,0.0,1625,0,0.0,34,0,0.0,2378,0,0.0,1010,0,0.0,2600,0,0.0,0.0,0,43726,0,27316,0
24,2022-03-12,1798,0,0.0,3525,0,0.0,791,0,0.0,9090,0,0.0,4683,0,0.0,1642,0,0.0,41,0,0.0,2392,0,0.0,1020,0,0.0,2610,0,0.0,0.0,0,43726,0,27592,0
25,2022-03-13,1852,0,0.0,3599,0,0.0,792,0,0.0,9112,0,0.0,4720,0,0.0,1656,0,0.0,47,0,0.0,2405,0,0.0,1027,0,0.0,2623,0,0.0,0.0,0,43726,0,27833,0
26,2022-03-14,1903,0,0.0,3688,0,0.0,794,0,0.0,9155,0,0.0,4753,0,0.0,1667,0,0.0,54,0,0.0,2422,0,0.0,1040,0,0.0,2625,0,0.0,0.0,0,43726,0,28101,0
27,2022-03-15,1946,0,0.0,3772,0,0.0,794,0,0.0,9185,0,0.0,4791,0,0.0,1679,0,0.0,65,0,0.0,2435,0,0.0,1045,0,0.0,2627,0,0.0,0.0,0,43726,0,28339,0
28,2022-03-16,1997,0,0.0,3855,0,0.0,793,0,0.0,9212,0,0.0,4825,0,0.0,1693,0,0.0,76,0,0.0,2449,0,0.0,1054,0,0.0,2633,0,0.0,0.0,0,43726,0,28587,0
29,2022-03-17,2059,0,0.0,3941,0,0.0,792,0,0.0,9223,0,0.0,4864,0,0.0,1711,0,0.0,88,0,0.0,2457,0,0.0,1064,0,0.0,2634,0,0.0,0.0,0,43726,0,28833,0
30,2022-03-18,2112,0,0.0,4025,0,0.0,792,0,0.0,9236,0,0.0,4900,0,0.0,1717,0,0.0,97,0,0.0,2476,0,0.0,1069,0,0.0,2638,0,0.0,0.0,0,43726,0,29062,0
31,2022-03-19,2167,0,0.0,4089,0,0.0,791,0,0.0,9245,0,0.0,4941,0,0.0,1732,0,0.0,103,0,0.0,2486,0,0.0,1077,0,0.0,2644,0,0.0,0.0,0,43726,0,29275,0
32,2022-03-20,2225,0,0.0,4160,0,0.0,790,0,0.0,9269,0,0.0,4983,0,0.0,1744,0,0.0,110,0,0.0,2487,0,0.0,1089,0,0.0,2649,0,0.0,0.0,0,43726,0,29506,0
33,2022-03-21,2281,0,0.0,4239,0,0.0,789,0,0.0,9296,0,0.0,5019,0,0.0,1747,0,0.0,116,0,0.0,2500,0,0.0,1096,0,0.0,2652,0,0.0,0.0,0,43726,0,29735,0
34,2022-03-22,2327,0,0.0,4314,0,0.0,791,0,0.0,9308,0,0.0,5065,0,0.0,1759,0,0.0,125,0,0.0,2513,0,0.0,1102,0,0.0,2655,0,0.0,0.0,0,43726,0,29959,0
35,2022-03-23,2381,0,0.0,4374,0,0.0,792,0,0.0,9316,0,0.0,5097,0,0.0,1761,0,0.0,134,0,0.0,2526,0,0.0,1111,0,0.0,2655,0,0.0,0.0,0,43726,0,30147,0
36,2022-03-24,2434,0,0.0,4437,0,0.0,792,0,0.0,9327,0,0.0,5136,0,0.0,1767,0,0.0,146,0,0.0,2528,0,0.0,1121,0,0.0,2657,0,0.0,0.0,0,43726,0,30345,0
37,2022-03-25,2473,0,0.0,4499,0,0.0,794,0,0.0,9344,0,0.0,5161,0,0.0,1779,0,0.0,153,0,0.0,2545,0,0.0,1124,0,0.0,2662,0,0.0,0.0,0,43726,0,30534,0
38,2022-03-26,2511,0,0.0,4563,0,0.0,793,0,0.0,9355,0,0.0,5195,0,0.0,1783,0,0.0,164,0,0.0,2558,0,0.0,1130,0,0.0,2667,0,0.0,0.0,0,43726,0,30719,0
39,2022-03-27,2561,0,0.0,4618,0,0.0,793,0,0.0,9362,0,0.0,5220,0,0.0,1790,0,0.0,173,0,0.0,2570,0,0.0,1137,0,0.0,2668,0,0.0,0.0,0,43726,0,30892,0
40,2022-03-28,2591,0,0.0,4678,0,0.0,795,0,0.0,9373,0,0.0,5256,0,0.0,1799,0,0.0,179,0,0.0,2579,0,0.0,1141,0,0.0,2668,0,0.0,0.0,0,43726,0,31059,0
