Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,30,0,0.0,0,0,0.0,0,0,0.0,3,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,33,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,78,0,0.0,76,0,0.0,0,0,0.0,0,0,0.0,11,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,165,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,241,0,0.0,257,0,0.0,0,0,0.0,0,0,0.0,71,0,0.0,0,0,0.0,21,0,0.0,0.0,0,5586,0,590,0
3,2022-02-19,0,0,0.0,50,0,0.0,44,0,0.0,595,0,0.0,467,0,0.0,45,0,0.0,0,0,0.0,223,0,0.0,36,0,0.0,138,0,0.0,0.0,0,12691,0,1598,0
4,2022-02-20,1,0,0.0,187,0,0.0,129,0,0.0,1058,0,0.0,1054,0,0.0,139,0,0.0,0,0,0.0,523,0,0.0,97,0,0.0,416,0,0.0,0.0,0,19482,0,3604,0
5,2022-02-21,5,0,0.0,394,0,0.0,242,0,0.0,1913,0,0.0,1539,0,0.0,265,0,0.0,0,0,0.0,740,0,0.0,177,0,0.0,707,0,0.0,0.0,0,27403,0,5982,0
6,2022-02-22,23,0,0.0,660,0,0.0,353,0,0.0,3124,0,0.0,2202,0,0.0,410,0,0.0,0,0,0.0,1206,0,0.0,313,0,0.0,984,0,0.0,0.0,0,34082,0,9275,0
7,2022-02-23,67,0,0.0,974,0,0.0,477,0,0.0,4476,0,0.0,2998,0,0.0,655,0,0.0,0,0,0.0,1566,0,0.0,453,0,0.0,1412,0,0.0,0.0,0,39535,0,13078,0
8,2022-02-24,146,0,0.0,1262,0,0.0,537,0,0.0,5587,0,0.0,3534,0,0.0,893,0,0.0,0,0,0.0,1886,0,0.0,560,0,0.0,1695,0,0.0,0.0,0,40535,0,16100,0
9,2022-02-25,249,0,0.0,1499,0,0.0,587,0,0.0,6288,0,0.0,3797,0,0.0,1090,0,0.0,0,0,0.0,2051,0,0.0,636,0,0.0,1926,0,0.0,0.0,0,41430,0,18123,0
10,2022-02-26,382,0,0.0,1750,0,0.0,633,0,0.0,6797,0,0.0,3932,0,0.0,1194,0,0.0,0,0,0.0,2131,0,0.0,684,0,0.0,2059,0,0.0,0.0,0,42234,0,19562,0
11,2022-02-27,540,0,0.0,1947,0,0.0,665,0,0.0,7266,0,0.0,4075,0,0.0,1250,0,0.0,0,0,0.0,2190,0,0.0,737,0,0.0,2200,0,0.0,0.0,0,42959,0,20870,0
12,2022-02-28,691,0,0.0,2155,0,0.0,692,0,0.0,7649,0,0.0,4197,0,0.0,1316,0,0.0,0,0,0.0,2244,0,0.0,783,0,0.0,2305,0,0.0,0.0,0,43615,0,22032,0
13,2022-03-01,835,0,0.0,2362,0,0.0,716,0,0.0,7955,0,0.0,4270,0,0.0,1396,0,0.0,0,0,0.0,2287,0,0.0,810,0,0.0,2381,0,0.0,0.0,0,43648,0,23012,0
14,2022-03-02,953,0,0.0,2531,0,0.0,726,0,0.0,8151,0,0.0,4332,0,0.0,1449,0,0.0,0,0,0.0,2317,0,0.0,841,0,0.0,2445,0,0.0,0.0,0,43676,0,23745,0
15,2022-03-03,1061,0,0.0,2689,0,0.0,739,0,0.0,8305,0,0.0,4364,0,0.0,1484,0,0.0,0,0,0.0,2337,0,0.0,857,0,0.0,2492,0,0.0,0.0,0,43703,0,24328,0
16,2022-03-04,1145,0,0.0,2830,0,0.0,751,0,0.0,8437,0,0.0,4428,0,0.0,1514,0,0.0,1,0,0.0,2356,0,0.0,878,0,0.0,2535,0,0.0,0.0,0,43726,0,24875,0
17,2022-03-05,1254,0,0.0,2944,0,0.0,758,0,0.0,8557,0,0.0,4468,0,0.0,1542,0,0.0,3,0,0.0,2374,0,0.0,895,0,0.0,2565,0,0.0,0.0,0,43726,0,25360,0
18,2022-03-06,1340,0,0.0,3057,0,0.0,763,0,0.0,8646,0,0.0,4505,0,0.0,1572,0,0.0,7,0,0.0,2390,0,0.0,911,0,0.0,2594,0,0.0,0.0,0,43726,0,25785,0
19,2022-03-07,1425,0,0.0,3178,0,0.0,766,0,0.0,8714,0,0.0,4555,0,0.0,1595,0,0.0,10,0,0.0,2405,0,0.0,924,0,0.0,2618,0,0.0,0.0,0,43726,0,26190,0
20,2022-03-08,1502,0,0.0,3283,0,0.0,770,0,0.0,8782,0,0.0,4595,0,0.0,1615,0,0.0,13,0,0.0,2421,0,0.0,938,0,0.0,2630,0,0.0,0.0,0,43726,0,26549,0
21,2022-03-09,1572,0,0.0,3379,0,0.0,780,0,0.0,8835,0,0.0,4629,0,0.0,1643,0,0.0,16,0,0.0,2424,0,0.0,946,0,0.0,2640,0,0.0,0.0,0,43726,0,26864,0
22,2022-03-10,1640,0,0.0,3465,0,0.0,781,0,0.0,8894,0,0.0,4669,0,0.0,1662,0,0.0,25,0,0.0,2434,0,0.0,957,0,0.0,2649,0,0.0,0.0,0,43726,0,27176,0
23,2022-03-11,1714,0,0.0,3560,0,0.0,785,0,0.0,8941,0,0.0,4703,0,0.0,1679,0,0.0,34,0,0.0,2446,0,0.0,969,0,0.0,2660,0,0.0,0.0,0,43726,0,27491,0
