Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,21,0,0.0,0,0,0.0,0,0,0.0,3,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,24,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,80,0,0.0,66,0,0.0,0,0,0.0,0,0,0.0,8,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,154,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,239,0,0.0,247,0,0.0,0,0,0.0,0,0,0.0,60,0,0.0,1,0,0.0,23,0,0.0,0.0,0,5586,0,570,0
3,2022-02-19,0,0,0.0,37,0,0.0,47,0,0.0,607,0,0.0,474,0,0.0,53,0,0.0,0,0,0.0,228,0,0.0,38,0,0.0,138,0,0.0,0.0,0,12691,0,1622,0
4,2022-02-20,4,0,0.0,150,0,0.0,149,0,0.0,1085,0,0.0,1074,0,0.0,120,0,0.0,0,0,0.0,498,0,0.0,111,0,0.0,387,0,0.0,0.0,0,19482,0,3578,0
5,2022-02-21,12,0,0.0,367,0,0.0,248,0,0.0,1911,0,0.0,1558,0,0.0,242,0,0.0,0,0,0.0,742,0,0.0,190,0,0.0,666,0,0.0,0.0,0,27403,0,5936,0
6,2022-02-22,33,0,0.0,617,0,0.0,357,0,0.0,3068,0,0.0,2217,0,0.0,378,0,0.0,0,0,0.0,1163,0,0.0,339,0,0.0,968,0,0.0,0.0,0,34082,0,9140,0
7,2022-02-23,70,0,0.0,923,0,0.0,492,0,0.0,4427,0,0.0,2971,0,0.0,627,0,0.0,0,0,0.0,1475,0,0.0,483,0,0.0,1390,0,0.0,0.0,0,39535,0,12858,0
8,2022-02-24,150,0,0.0,1163,0,0.0,561,0,0.0,5557,0,0.0,3472,0,0.0,892,0,0.0,0,0,0.0,1765,0,0.0,578,0,0.0,1666,0,0.0,0.0,0,40535,0,15804,0
9,2022-02-25,255,0,0.0,1403,0,0.0,621,0,0.0,6284,0,0.0,3715,0,0.0,1098,0,0.0,0,0,0.0,1911,0,0.0,654,0,0.0,1897,0,0.0,0.0,0,41430,0,17838,0
10,2022-02-26,377,0,0.0,1616,0,0.0,661,0,0.0,6813,0,0.0,3880,0,0.0,1206,0,0.0,0,0,0.0,2011,0,0.0,707,0,0.0,2038,0,0.0,0.0,0,42234,0,19309,0
11,2022-02-27,528,0,0.0,1821,0,0.0,691,0,0.0,7255,0,0.0,4008,0,0.0,1281,0,0.0,0,0,0.0,2072,0,0.0,749,0,0.0,2159,0,0.0,0.0,0,42959,0,20564,0
12,2022-02-28,673,0,0.0,2039,0,0.0,711,0,0.0,7621,0,0.0,4117,0,0.0,1345,0,0.0,0,0,0.0,2131,0,0.0,797,0,0.0,2253,0,0.0,0.0,0,43615,0,21687,0
13,2022-03-01,800,0,0.0,2243,0,0.0,734,0,0.0,7934,0,0.0,4210,0,0.0,1390,0,0.0,0,0,0.0,2171,0,0.0,840,0,0.0,2328,0,0.0,0.0,0,43648,0,22650,0
14,2022-03-02,918,0,0.0,2419,0,0.0,746,0,0.0,8118,0,0.0,4275,0,0.0,1448,0,0.0,0,0,0.0,2210,0,0.0,869,0,0.0,2403,0,0.0,0.0,0,43676,0,23406,0
15,2022-03-03,1026,0,0.0,2553,0,0.0,763,0,0.0,8297,0,0.0,4323,0,0.0,1478,0,0.0,1,0,0.0,2231,0,0.0,897,0,0.0,2455,0,0.0,0.0,0,43703,0,24024,0
16,2022-03-04,1130,0,0.0,2686,0,0.0,775,0,0.0,8428,0,0.0,4373,0,0.0,1513,0,0.0,3,0,0.0,2247,0,0.0,921,0,0.0,2494,0,0.0,0.0,0,43726,0,24570,0
17,2022-03-05,1216,0,0.0,2793,0,0.0,783,0,0.0,8538,0,0.0,4416,0,0.0,1543,0,0.0,4,0,0.0,2270,0,0.0,942,0,0.0,2531,0,0.0,0.0,0,43726,0,25036,0
18,2022-03-06,1308,0,0.0,2926,0,0.0,784,0,0.0,8610,0,0.0,4465,0,0.0,1573,0,0.0,9,0,0.0,2288,0,0.0,961,0,0.0,2559,0,0.0,0.0,0,43726,0,25483,0
19,2022-03-07,1386,0,0.0,3036,0,0.0,789,0,0.0,8673,0,0.0,4529,0,0.0,1593,0,0.0,11,0,0.0,2303,0,0.0,976,0,0.0,2575,0,0.0,0.0,0,43726,0,25871,0
20,2022-03-08,1467,0,0.0,3140,0,0.0,795,0,0.0,8747,0,0.0,4579,0,0.0,1613,0,0.0,16,0,0.0,2320,0,0.0,984,0,0.0,2594,0,0.0,0.0,0,43726,0,26255,0
21,2022-03-09,1541,0,0.0,3241,0,0.0,800,0,0.0,8800,0,0.0,4620,0,0.0,1627,0,0.0,19,0,0.0,2333,0,0.0,998,0,0.0,2615,0,0.0,0.0,0,43726,0,26594,0
22,2022-03-10,1612,0,0.0,3349,0,0.0,805,0,0.0,8850,0,0.0,4656,0,0.0,1649,0,0.0,20,0,0.0,2348,0,0.0,1008,0,0.0,2620,0,0.0,0.0,0,43726,0,26917,0
23,2022-03-11,1688,0,0.0,3449,0,0.0,806,0,0.0,8912,0,0.0,4681,0,0.0,1659,0,0.0,26,0,0.0,2367,0,0.0,1018,0,0.0,2627,0,0.0,0.0,0,43726,0,27233,0
24,2022-03-12,1750,0,0.0,3541,0,0.0,806,0,0.0,8947,0,0.0,4726,0,0.0,1670,0,0.0,30,0,0.0,2388,0,0.0,1026,0,0.0,2642,0,0.0,0.0,0,43726,0,27526,0
25,2022-03-13,1829,0,0.0,3631,0,0.0,806,0,0.0,8985,0,0.0,4777,0,0.0,1684,0,0.0,39,0,0.0,2405,0,0.0,1038,0,0.0,2651,0,0.0,0.0,0,43726,0,27845,0
26,2022-03-14,1888,0,0.0,3734,0,0.0,805,0,0.0,9015,0,0.0,4838,0,0.0,1697,0,0.0,45,0,0.0,2422,0,0.0,1046,0,0.0,2659,0,0.0,0.0,0,43726,0,28149,0
27,2022-03-15,1951,0,0.0,3824,0,0.0,806,0,0.0,9044,0,0.0,4879,0,0.0,1715,0,0.0,50,0,0.0,2445,0,0.0,1059,0,0.0,2662,0,0.0,0.0,0,43726,0,28435,0
28,2022-03-16,2007,0,0.0,3900,0,0.0,809,0,0.0,9076,0,0.0,4919,0,0.0,1724,0,0.0,56,0,0.0,2463,0,0.0,1065,0,0.0,2668,0,0.0,0.0,0,43726,0,28687,0
29,2022-03-17,2056,0,0.0,3979,0,0.0,808,0,0.0,9104,0,0.0,4957,0,0.0,1737,0,0.0,58,0,0.0,2468,0,0.0,1076,0,0.0,2673,0,0.0,0.0,0,43726,0,28916,0
30,2022-03-18,2101,0,0.0,4067,0,0.0,812,0,0.0,9124,0,0.0,4994,0,0.0,1749,0,0.0,63,0,0.0,2481,0,0.0,1081,0,0.0,2672,0,0.0,0.0,0,43726,0,29144,0
31,2022-03-19,2153,0,0.0,4149,0,0.0,810,0,0.0,9136,0,0.0,5030,0,0.0,1759,0,0.0,70,0,0.0,2491,0,0.0,1091,0,0.0,2683,0,0.0,0.0,0,43726,0,29372,0
32,2022-03-20,2201,0,0.0,4198,0,0.0,811,0,0.0,9151,0,0.0,5064,0,0.0,1769,0,0.0,79,0,0.0,2504,0,0.0,1102,0,0.0,2685,0,0.0,0.0,0,43726,0,29564,0
33,2022-03-21,2261,0,0.0,4260,0,0.0,814,0,0.0,9176,0,0.0,5112,0,0.0,1779,0,0.0,87,0,0.0,2514,0,0.0,1110,0,0.0,2688,0,0.0,0.0,0,43726,0,29801,0
34,2022-03-22,2304,0,0.0,4321,0,0.0,813,0,0.0,9186,0,0.0,5153,0,0.0,1784,0,0.0,94,0,0.0,2524,0,0.0,1114,0,0.0,2697,0,0.0,0.0,0,43726,0,29990,0
35,2022-03-23,2348,0,0.0,4392,0,0.0,814,0,0.0,9202,0,0.0,5188,0,0.0,1800,0,0.0,101,0,0.0,2528,0,0.0,1119,0,0.0,2702,0,0.0,0.0,0,43726,0,30194,0
36,2022-03-24,2393,0,0.0,4456,0,0.0,816,0,0.0,9217,0,0.0,5224,0,0.0,1809,0,0.0,105,0,0.0,2538,0,0.0,1125,0,0.0,2702,0,0.0,0.0,0,43726,0,30385,0
37,2022-03-25,2444,0,0.0,4527,0,0.0,816,0,0.0,9228,0,0.0,5249,0,0.0,1815,0,0.0,111,0,0.0,2551,0,0.0,1133,0,0.0,2701,0,0.0,0.0,0,43726,0,30575,0
38,2022-03-26,2483,0,0.0,4593,0,0.0,819,0,0.0,9241,0,0.0,5286,0,0.0,1823,0,0.0,116,0,0.0,2554,0,0.0,1138,0,0.0,2705,0,0.0,0.0,0,43726,0,30758,0
39,2022-03-27,2531,0,0.0,4663,0,0.0,820,0,0.0,9260,0,0.0,5326,0,0.0,1832,0,0.0,125,0,0.0,2565,0,0.0,1145,0,0.0,2703,0,0.0,0.0,0,43726,0,30970,0
40,2022-03-28,2576,0,0.0,4718,0,0.0,820,0,0.0,9263,0,0.0,5364,0,0.0,1845,0,0.0,133,0,0.0,2571,0,0.0,1149,0,0.0,2706,0,0.0,0.0,0,43726,0,31145,0
