Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,33,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,34,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,90,0,0.0,81,0,0.0,0,0,0.0,0,0,0.0,16,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,187,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,263,0,0.0,274,0,0.0,0,0,0.0,0,0,0.0,78,0,0.0,2,0,0.0,26,0,0.0,0.0,0,5586,0,643,0
3,2022-02-19,0,0,0.0,43,0,0.0,43,0,0.0,595,0,0.0,484,0,0.0,50,0,0.0,0,0,0.0,252,0,0.0,37,0,0.0,125,0,0.0,0.0,0,12691,0,1629,0
4,2022-02-20,4,0,0.0,190,0,0.0,121,0,0.0,1100,0,0.0,1077,0,0.0,106,0,0.0,0,0,0.0,575,0,0.0,108,0,0.0,396,0,0.0,0.0,0,19482,0,3677,0
5,2022-02-21,9,0,0.0,393,0,0.0,225,0,0.0,1937,0,0.0,1518,0,0.0,209,0,0.0,0,0,0.0,798,0,0.0,190,0,0.0,669,0,0.0,0.0,0,27403,0,5948,0
6,2022-02-22,35,0,0.0,655,0,0.0,341,0,0.0,3134,0,0.0,2185,0,0.0,351,0,0.0,0,0,0.0,1228,0,0.0,340,0,0.0,941,0,0.0,0.0,0,34082,0,9210,0
7,2022-02-23,82,0,0.0,976,0,0.0,474,0,0.0,4512,0,0.0,2935,0,0.0,603,0,0.0,0,0,0.0,1584,0,0.0,453,0,0.0,1355,0,0.0,0.0,0,39535,0,12974,0
8,2022-02-24,157,0,0.0,1228,0,0.0,555,0,0.0,5605,0,0.0,3447,0,0.0,855,0,0.0,0,0,0.0,1852,0,0.0,570,0,0.0,1624,0,0.0,0.0,0,40535,0,15893,0
9,2022-02-25,267,0,0.0,1454,0,0.0,606,0,0.0,6360,0,0.0,3726,0,0.0,1068,0,0.0,0,0,0.0,1999,0,0.0,650,0,0.0,1863,0,0.0,0.0,0,41430,0,17993,0
10,2022-02-26,411,0,0.0,1671,0,0.0,652,0,0.0,6902,0,0.0,3869,0,0.0,1158,0,0.0,0,0,0.0,2084,0,0.0,727,0,0.0,2036,0,0.0,0.0,0,42234,0,19510,0
11,2022-02-27,572,0,0.0,1876,0,0.0,687,0,0.0,7338,0,0.0,4002,0,0.0,1231,0,0.0,0,0,0.0,2130,0,0.0,787,0,0.0,2172,0,0.0,0.0,0,42959,0,20795,0
12,2022-02-28,705,0,0.0,2076,0,0.0,710,0,0.0,7696,0,0.0,4102,0,0.0,1295,0,0.0,0,0,0.0,2178,0,0.0,839,0,0.0,2290,0,0.0,0.0,0,43615,0,21891,0
13,2022-03-01,831,0,0.0,2262,0,0.0,731,0,0.0,8010,0,0.0,4180,0,0.0,1357,0,0.0,0,0,0.0,2223,0,0.0,873,0,0.0,2382,0,0.0,0.0,0,43648,0,22849,0
14,2022-03-02,962,0,0.0,2430,0,0.0,745,0,0.0,8229,0,0.0,4241,0,0.0,1424,0,0.0,0,0,0.0,2273,0,0.0,906,0,0.0,2452,0,0.0,0.0,0,43676,0,23662,0
15,2022-03-03,1084,0,0.0,2576,0,0.0,752,0,0.0,8413,0,0.0,4312,0,0.0,1449,0,0.0,1,0,0.0,2292,0,0.0,931,0,0.0,2486,0,0.0,0.0,0,43703,0,24296,0
16,2022-03-04,1184,0,0.0,2715,0,0.0,755,0,0.0,8550,0,0.0,4366,0,0.0,1478,0,0.0,2,0,0.0,2303,0,0.0,952,0,0.0,2519,0,0.0,0.0,0,43726,0,24824,0
17,2022-03-05,1280,0,0.0,2845,0,0.0,768,0,0.0,8656,0,0.0,4405,0,0.0,1508,0,0.0,6,0,0.0,2326,0,0.0,970,0,0.0,2547,0,0.0,0.0,0,43726,0,25311,0
18,2022-03-06,1374,0,0.0,2968,0,0.0,775,0,0.0,8734,0,0.0,4458,0,0.0,1538,0,0.0,7,0,0.0,2336,0,0.0,980,0,0.0,2567,0,0.0,0.0,0,43726,0,25737,0
19,2022-03-07,1449,0,0.0,3093,0,0.0,780,0,0.0,8811,0,0.0,4490,0,0.0,1550,0,0.0,13,0,0.0,2351,0,0.0,997,0,0.0,2579,0,0.0,0.0,0,43726,0,26113,0
20,2022-03-08,1517,0,0.0,3206,0,0.0,784,0,0.0,8875,0,0.0,4527,0,0.0,1577,0,0.0,18,0,0.0,2375,0,0.0,1008,0,0.0,2592,0,0.0,0.0,0,43726,0,26479,0
