Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,24,0,0.0,0,0,0.0,0,0,0.0,3,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,27,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,89,0,0.0,71,0,0.0,0,0,0.0,0,0,0.0,12,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,172,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,255,0,0.0,251,0,0.0,0,0,0.0,0,0,0.0,65,0,0.0,2,0,0.0,28,0,0.0,0.0,0,5586,0,601,0
3,2022-02-19,0,0,0.0,59,0,0.0,57,0,0.0,619,0,0.0,476,0,0.0,40,0,0.0,0,0,0.0,242,0,0.0,36,0,0.0,137,0,0.0,0.0,0,12691,0,1666,0
4,2022-02-20,1,0,0.0,178,0,0.0,147,0,0.0,1109,0,0.0,1075,0,0.0,113,0,0.0,0,0,0.0,522,0,0.0,91,0,0.0,390,0,0.0,0.0,0,19482,0,3626,0
5,2022-02-21,5,0,0.0,376,0,0.0,259,0,0.0,1990,0,0.0,1544,0,0.0,239,0,0.0,0,0,0.0,746,0,0.0,181,0,0.0,656,0,0.0,0.0,0,27403,0,5996,0
6,2022-02-22,27,0,0.0,645,0,0.0,395,0,0.0,3174,0,0.0,2200,0,0.0,390,0,0.0,0,0,0.0,1169,0,0.0,319,0,0.0,951,0,0.0,0.0,0,34082,0,9270,0
7,2022-02-23,74,0,0.0,944,0,0.0,518,0,0.0,4563,0,0.0,2959,0,0.0,627,0,0.0,0,0,0.0,1510,0,0.0,439,0,0.0,1373,0,0.0,0.0,0,39535,0,13007,0
8,2022-02-24,163,0,0.0,1249,0,0.0,587,0,0.0,5682,0,0.0,3470,0,0.0,870,0,0.0,0,0,0.0,1800,0,0.0,540,0,0.0,1661,0,0.0,0.0,0,40535,0,16022,0
9,2022-02-25,287,0,0.0,1469,0,0.0,631,0,0.0,6400,0,0.0,3724,0,0.0,1069,0,0.0,0,0,0.0,1952,0,0.0,620,0,0.0,1867,0,0.0,0.0,0,41430,0,18019,0
10,2022-02-26,412,0,0.0,1711,0,0.0,685,0,0.0,6928,0,0.0,3885,0,0.0,1156,0,0.0,0,0,0.0,2035,0,0.0,689,0,0.0,2022,0,0.0,0.0,0,42234,0,19523,0
11,2022-02-27,558,0,0.0,1924,0,0.0,717,0,0.0,7352,0,0.0,4018,0,0.0,1234,0,0.0,0,0,0.0,2089,0,0.0,733,0,0.0,2169,0,0.0,0.0,0,42959,0,20794,0
