Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,39,0,0.0,0,0,0.0,0,0,0.0,3,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,42,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,83,0,0.0,80,0,0.0,0,0,0.0,0,0,0.0,12,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,175,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,276,0,0.0,255,0,0.0,0,0,0.0,0,0,0.0,61,0,0.0,2,0,0.0,29,0,0.0,0.0,0,5586,0,623,0
3,2022-02-19,0,0,0.0,50,0,0.0,58,0,0.0,636,0,0.0,454,0,0.0,48,0,0.0,0,0,0.0,231,0,0.0,38,0,0.0,132,0,0.0,0.0,0,12691,0,1647,0
4,2022-02-20,1,0,0.0,190,0,0.0,137,0,0.0,1093,0,0.0,1066,0,0.0,127,0,0.0,0,0,0.0,504,0,0.0,103,0,0.0,411,0,0.0,0.0,0,19482,0,3632,0
5,2022-02-21,4,0,0.0,386,0,0.0,265,0,0.0,1943,0,0.0,1567,0,0.0,237,0,0.0,0,0,0.0,730,0,0.0,168,0,0.0,677,0,0.0,0.0,0,27403,0,5977,0
6,2022-02-22,21,0,0.0,628,0,0.0,368,0,0.0,3193,0,0.0,2222,0,0.0,388,0,0.0,0,0,0.0,1179,0,0.0,312,0,0.0,941,0,0.0,0.0,0,34082,0,9252,0
7,2022-02-23,76,0,0.0,928,0,0.0,493,0,0.0,4553,0,0.0,2912,0,0.0,649,0,0.0,0,0,0.0,1525,0,0.0,463,0,0.0,1386,0,0.0,0.0,0,39535,0,12985,0
8,2022-02-24,165,0,0.0,1177,0,0.0,574,0,0.0,5691,0,0.0,3452,0,0.0,870,0,0.0,0,0,0.0,1811,0,0.0,558,0,0.0,1626,0,0.0,0.0,0,40535,0,15924,0
9,2022-02-25,280,0,0.0,1403,0,0.0,633,0,0.0,6407,0,0.0,3725,0,0.0,1061,0,0.0,0,0,0.0,1970,0,0.0,626,0,0.0,1846,0,0.0,0.0,0,41430,0,17951,0
10,2022-02-26,421,0,0.0,1639,0,0.0,676,0,0.0,6967,0,0.0,3881,0,0.0,1149,0,0.0,0,0,0.0,2053,0,0.0,678,0,0.0,1993,0,0.0,0.0,0,42234,0,19457,0
11,2022-02-27,576,0,0.0,1861,0,0.0,712,0,0.0,7397,0,0.0,4014,0,0.0,1203,0,0.0,0,0,0.0,2105,0,0.0,725,0,0.0,2134,0,0.0,0.0,0,42959,0,20727,0
12,2022-02-28,741,0,0.0,2050,0,0.0,735,0,0.0,7779,0,0.0,4129,0,0.0,1258,0,0.0,1,0,0.0,2166,0,0.0,765,0,0.0,2238,0,0.0,0.0,0,43615,0,21862,0
13,2022-03-01,871,0,0.0,2258,0,0.0,757,0,0.0,8077,0,0.0,4210,0,0.0,1308,0,0.0,1,0,0.0,2222,0,0.0,798,0,0.0,2335,0,0.0,0.0,0,43648,0,22837,0
14,2022-03-02,1013,0,0.0,2428,0,0.0,767,0,0.0,8259,0,0.0,4278,0,0.0,1365,0,0.0,1,0,0.0,2256,0,0.0,826,0,0.0,2403,0,0.0,0.0,0,43676,0,23596,0
15,2022-03-03,1097,0,0.0,2568,0,0.0,774,0,0.0,8417,0,0.0,4337,0,0.0,1402,0,0.0,3,0,0.0,2275,0,0.0,851,0,0.0,2443,0,0.0,0.0,0,43703,0,24167,0
16,2022-03-04,1197,0,0.0,2696,0,0.0,787,0,0.0,8561,0,0.0,4378,0,0.0,1432,0,0.0,7,0,0.0,2291,0,0.0,878,0,0.0,2479,0,0.0,0.0,0,43726,0,24706,0
17,2022-03-05,1302,0,0.0,2813,0,0.0,796,0,0.0,8644,0,0.0,4408,0,0.0,1451,0,0.0,7,0,0.0,2308,0,0.0,905,0,0.0,2516,0,0.0,0.0,0,43726,0,25150,0
18,2022-03-06,1396,0,0.0,2932,0,0.0,802,0,0.0,8721,0,0.0,4439,0,0.0,1486,0,0.0,8,0,0.0,2324,0,0.0,929,0,0.0,2547,0,0.0,0.0,0,43726,0,25584,0
19,2022-03-07,1477,0,0.0,3041,0,0.0,806,0,0.0,8783,0,0.0,4485,0,0.0,1513,0,0.0,11,0,0.0,2330,0,0.0,947,0,0.0,2564,0,0.0,0.0,0,43726,0,25957,0
20,2022-03-08,1559,0,0.0,3159,0,0.0,814,0,0.0,8842,0,0.0,4527,0,0.0,1534,0,0.0,14,0,0.0,2358,0,0.0,968,0,0.0,2572,0,0.0,0.0,0,43726,0,26347,0
21,2022-03-09,1625,0,0.0,3245,0,0.0,813,0,0.0,8908,0,0.0,4567,0,0.0,1555,0,0.0,17,0,0.0,2369,0,0.0,973,0,0.0,2584,0,0.0,0.0,0,43726,0,26656,0
22,2022-03-10,1691,0,0.0,3344,0,0.0,813,0,0.0,8962,0,0.0,4616,0,0.0,1580,0,0.0,24,0,0.0,2387,0,0.0,988,0,0.0,2603,0,0.0,0.0,0,43726,0,27008,0
23,2022-03-11,1754,0,0.0,3439,0,0.0,816,0,0.0,9011,0,0.0,4652,0,0.0,1599,0,0.0,27,0,0.0,2402,0,0.0,1002,0,0.0,2617,0,0.0,0.0,0,43726,0,27319,0
24,2022-03-12,1815,0,0.0,3525,0,0.0,817,0,0.0,9046,0,0.0,4693,0,0.0,1615,0,0.0,31,0,0.0,2415,0,0.0,1012,0,0.0,2629,0,0.0,0.0,0,43726,0,27598,0
25,2022-03-13,1882,0,0.0,3605,0,0.0,820,0,0.0,9077,0,0.0,4747,0,0.0,1636,0,0.0,38,0,0.0,2436,0,0.0,1025,0,0.0,2637,0,0.0,0.0,0,43726,0,27903,0
26,2022-03-14,1930,0,0.0,3681,0,0.0,821,0,0.0,9097,0,0.0,4789,0,0.0,1646,0,0.0,46,0,0.0,2450,0,0.0,1036,0,0.0,2647,0,0.0,0.0,0,43726,0,28143,0
27,2022-03-15,1975,0,0.0,3758,0,0.0,821,0,0.0,9127,0,0.0,4821,0,0.0,1657,0,0.0,53,0,0.0,2465,0,0.0,1053,0,0.0,2655,0,0.0,0.0,0,43726,0,28385,0
28,2022-03-16,2030,0,0.0,3838,0,0.0,821,0,0.0,9141,0,0.0,4868,0,0.0,1663,0,0.0,63,0,0.0,2479,0,0.0,1064,0,0.0,2663,0,0.0,0.0,0,43726,0,28630,0
29,2022-03-17,2083,0,0.0,3922,0,0.0,820,0,0.0,9152,0,0.0,4908,0,0.0,1679,0,0.0,77,0,0.0,2494,0,0.0,1075,0,0.0,2669,0,0.0,0.0,0,43726,0,28879,0
30,2022-03-18,2141,0,0.0,3997,0,0.0,819,0,0.0,9168,0,0.0,4946,0,0.0,1685,0,0.0,83,0,0.0,2507,0,0.0,1089,0,0.0,2678,0,0.0,0.0,0,43726,0,29113,0
31,2022-03-19,2179,0,0.0,4062,0,0.0,819,0,0.0,9188,0,0.0,4981,0,0.0,1696,0,0.0,87,0,0.0,2525,0,0.0,1097,0,0.0,2676,0,0.0,0.0,0,43726,0,29310,0
32,2022-03-20,2225,0,0.0,4133,0,0.0,821,0,0.0,9207,0,0.0,5025,0,0.0,1713,0,0.0,97,0,0.0,2539,0,0.0,1108,0,0.0,2680,0,0.0,0.0,0,43726,0,29548,0
33,2022-03-21,2265,0,0.0,4203,0,0.0,821,0,0.0,9233,0,0.0,5062,0,0.0,1724,0,0.0,105,0,0.0,2561,0,0.0,1117,0,0.0,2688,0,0.0,0.0,0,43726,0,29779,0
