Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,40,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,41,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,98,0,0.0,83,0,0.0,0,0,0.0,0,0,0.0,10,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,191,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,244,0,0.0,252,0,0.0,0,0,0.0,0,0,0.0,63,0,0.0,2,0,0.0,24,0,0.0,0.0,0,5586,0,585,0
3,2022-02-19,0,0,0.0,49,0,0.0,61,0,0.0,617,0,0.0,449,0,0.0,47,0,0.0,0,0,0.0,228,0,0.0,31,0,0.0,128,0,0.0,0.0,0,12691,0,1610,0
4,2022-02-20,3,0,0.0,158,0,0.0,143,0,0.0,1124,0,0.0,1065,0,0.0,123,0,0.0,0,0,0.0,499,0,0.0,96,0,0.0,402,0,0.0,0.0,0,19482,0,3613,0
5,2022-02-21,12,0,0.0,344,0,0.0,258,0,0.0,1928,0,0.0,1560,0,0.0,234,0,0.0,0,0,0.0,732,0,0.0,194,0,0.0,656,0,0.0,0.0,0,27403,0,5918,0
6,2022-02-22,27,0,0.0,584,0,0.0,386,0,0.0,3140,0,0.0,2207,0,0.0,368,0,0.0,0,0,0.0,1186,0,0.0,334,0,0.0,915,0,0.0,0.0,0,34082,0,9147,0
7,2022-02-23,72,0,0.0,895,0,0.0,522,0,0.0,4525,0,0.0,2930,0,0.0,614,0,0.0,0,0,0.0,1540,0,0.0,477,0,0.0,1340,0,0.0,0.0,0,39535,0,12915,0
8,2022-02-24,168,0,0.0,1180,0,0.0,599,0,0.0,5588,0,0.0,3468,0,0.0,864,0,0.0,0,0,0.0,1844,0,0.0,590,0,0.0,1649,0,0.0,0.0,0,40535,0,15950,0
9,2022-02-25,294,0,0.0,1436,0,0.0,659,0,0.0,6289,0,0.0,3742,0,0.0,1058,0,0.0,0,0,0.0,2004,0,0.0,678,0,0.0,1888,0,0.0,0.0,0,41430,0,18048,0
10,2022-02-26,435,0,0.0,1645,0,0.0,700,0,0.0,6819,0,0.0,3913,0,0.0,1139,0,0.0,0,0,0.0,2083,0,0.0,731,0,0.0,2016,0,0.0,0.0,0,42234,0,19481,0
11,2022-02-27,581,0,0.0,1874,0,0.0,733,0,0.0,7250,0,0.0,4031,0,0.0,1225,0,0.0,0,0,0.0,2154,0,0.0,790,0,0.0,2143,0,0.0,0.0,0,42959,0,20781,0
