Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,34,0,0.0,0,0,0.0,0,0,0.0,3,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,37,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,89,0,0.0,70,0,0.0,0,0,0.0,0,0,0.0,9,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,168,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,259,0,0.0,265,0,0.0,0,0,0.0,0,0,0.0,66,0,0.0,0,0,0.0,32,0,0.0,0.0,0,5586,0,622,0
3,2022-02-19,0,0,0.0,54,0,0.0,45,0,0.0,623,0,0.0,475,0,0.0,48,0,0.0,0,0,0.0,205,0,0.0,38,0,0.0,136,0,0.0,0.0,0,12691,0,1624,0
4,2022-02-20,1,0,0.0,173,0,0.0,133,0,0.0,1135,0,0.0,1074,0,0.0,112,0,0.0,0,0,0.0,477,0,0.0,113,0,0.0,386,0,0.0,0.0,0,19482,0,3604,0
5,2022-02-21,5,0,0.0,373,0,0.0,229,0,0.0,1943,0,0.0,1540,0,0.0,235,0,0.0,0,0,0.0,686,0,0.0,194,0,0.0,666,0,0.0,0.0,0,27403,0,5871,0
6,2022-02-22,29,0,0.0,638,0,0.0,361,0,0.0,3157,0,0.0,2229,0,0.0,374,0,0.0,0,0,0.0,1123,0,0.0,325,0,0.0,968,0,0.0,0.0,0,34082,0,9204,0
7,2022-02-23,78,0,0.0,917,0,0.0,492,0,0.0,4501,0,0.0,2959,0,0.0,600,0,0.0,0,0,0.0,1496,0,0.0,469,0,0.0,1372,0,0.0,0.0,0,39535,0,12884,0
8,2022-02-24,147,0,0.0,1190,0,0.0,552,0,0.0,5629,0,0.0,3503,0,0.0,848,0,0.0,0,0,0.0,1772,0,0.0,566,0,0.0,1636,0,0.0,0.0,0,40535,0,15843,0
9,2022-02-25,270,0,0.0,1425,0,0.0,612,0,0.0,6355,0,0.0,3782,0,0.0,1041,0,0.0,0,0,0.0,1914,0,0.0,631,0,0.0,1858,0,0.0,0.0,0,41430,0,17888,0
10,2022-02-26,441,0,0.0,1675,0,0.0,648,0,0.0,6869,0,0.0,3939,0,0.0,1138,0,0.0,0,0,0.0,1978,0,0.0,700,0,0.0,2001,0,0.0,0.0,0,42234,0,19389,0
11,2022-02-27,593,0,0.0,1890,0,0.0,686,0,0.0,7343,0,0.0,4067,0,0.0,1206,0,0.0,0,0,0.0,2046,0,0.0,752,0,0.0,2142,0,0.0,0.0,0,42959,0,20725,0
