Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Camp_Atsinanana sim,Camp_Atsinanana data,Camp_Atsinanana error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,42,0,0.0,0,0,0.0,0,0,0.0,10,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,52,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,97,0,0.0,81,0,0.0,0,0,0.0,0,0,0.0,19,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,197,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,266,0,0.0,257,0,0.0,0,0,0.0,0,0,0.0,80,0,0.0,1,0,0.0,27,0,0.0,0,0,0.0,0.0,0,5586,0,631,0
3,2022-02-19,0,0,0.0,48,0,0.0,55,0,0.0,691,0,0.0,477,0,0.0,43,0,0.0,0,0,0.0,240,0,0.0,40,0,0.0,129,0,0.0,46,0,0.0,0.0,0,12691,0,1769,0
4,2022-02-20,3,0,0.0,185,0,0.0,136,0,0.0,1220,0,0.0,1111,0,0.0,113,0,0.0,0,0,0.0,586,0,0.0,120,0,0.0,389,0,0.0,103,0,0.0,0.0,0,19482,0,3966,0
5,2022-02-21,9,0,0.0,395,0,0.0,246,0,0.0,2122,0,0.0,1643,0,0.0,219,0,0.0,0,0,0.0,866,0,0.0,199,0,0.0,691,0,0.0,224,0,0.0,0.0,0,27403,0,6614,0
6,2022-02-22,31,0,0.0,675,0,0.0,372,0,0.0,3378,0,0.0,2324,0,0.0,382,0,0.0,0,0,0.0,1328,0,0.0,336,0,0.0,973,0,0.0,399,0,0.0,0.0,0,34082,0,10198,0
7,2022-02-23,90,0,0.0,994,0,0.0,482,0,0.0,4752,0,0.0,3092,0,0.0,650,0,0.0,0,0,0.0,1714,0,0.0,482,0,0.0,1428,0,0.0,649,0,0.0,0.0,0,39535,0,14333,0
8,2022-02-24,158,0,0.0,1257,0,0.0,574,0,0.0,5860,0,0.0,3653,0,0.0,885,0,0.0,0,0,0.0,2048,0,0.0,574,0,0.0,1730,0,0.0,881,0,0.0,0.0,0,40535,0,17620,0
9,2022-02-25,295,0,0.0,1498,0,0.0,650,0,0.0,6544,0,0.0,3940,0,0.0,1087,0,0.0,0,0,0.0,2244,0,0.0,647,0,0.0,1952,0,0.0,1117,0,0.0,0.0,0,41430,0,19974,0
10,2022-02-26,467,0,0.0,1783,0,0.0,700,0,0.0,7121,0,0.0,4113,0,0.0,1171,0,0.0,0,0,0.0,2337,0,0.0,707,0,0.0,2105,0,0.0,1280,0,0.0,0.0,0,42234,0,21784,0
11,2022-02-27,628,0,0.0,2017,0,0.0,738,0,0.0,7567,0,0.0,4261,0,0.0,1246,0,0.0,0,0,0.0,2400,0,0.0,745,0,0.0,2255,0,0.0,1440,0,0.0,0.0,0,42959,0,23297,0
12,2022-02-28,813,0,0.0,2263,0,0.0,771,0,0.0,7940,0,0.0,4382,0,0.0,1296,0,0.0,0,0,0.0,2463,0,0.0,779,0,0.0,2371,0,0.0,1582,0,0.0,0.0,0,43615,0,24660,0
13,2022-03-01,954,0,0.0,2472,0,0.0,793,0,0.0,8303,0,0.0,4467,0,0.0,1364,0,0.0,0,0,0.0,2521,0,0.0,807,0,0.0,2454,0,0.0,1711,0,0.0,0.0,0,43648,0,25846,0
14,2022-03-02,1093,0,0.0,2663,0,0.0,806,0,0.0,8478,0,0.0,4545,0,0.0,1412,0,0.0,0,0,0.0,2573,0,0.0,825,0,0.0,2520,0,0.0,1834,0,0.0,0.0,0,43676,0,26749,0
15,2022-03-03,1213,0,0.0,2835,0,0.0,821,0,0.0,8663,0,0.0,4606,0,0.0,1446,0,0.0,1,0,0.0,2605,0,0.0,851,0,0.0,2570,0,0.0,1939,0,0.0,0.0,0,43703,0,27550,0
16,2022-03-04,1332,0,0.0,2977,0,0.0,825,0,0.0,8790,0,0.0,4660,0,0.0,1471,0,0.0,4,0,0.0,2632,0,0.0,867,0,0.0,2611,0,0.0,2031,0,0.0,0.0,0,43726,0,28200,0
17,2022-03-05,1437,0,0.0,3117,0,0.0,834,0,0.0,8892,0,0.0,4686,0,0.0,1498,0,0.0,5,0,0.0,2651,0,0.0,891,0,0.0,2630,0,0.0,2151,0,0.0,0.0,0,43726,0,28792,0
18,2022-03-06,1522,0,0.0,3271,0,0.0,836,0,0.0,8982,0,0.0,4730,0,0.0,1518,0,0.0,5,0,0.0,2670,0,0.0,905,0,0.0,2652,0,0.0,2240,0,0.0,0.0,0,43726,0,29331,0
19,2022-03-07,1598,0,0.0,3400,0,0.0,839,0,0.0,9054,0,0.0,4773,0,0.0,1543,0,0.0,7,0,0.0,2684,0,0.0,913,0,0.0,2664,0,0.0,2332,0,0.0,0.0,0,43726,0,29807,0
20,2022-03-08,1698,0,0.0,3504,0,0.0,841,0,0.0,9113,0,0.0,4811,0,0.0,1556,0,0.0,11,0,0.0,2700,0,0.0,919,0,0.0,2679,0,0.0,2403,0,0.0,0.0,0,43726,0,30235,0
21,2022-03-09,1754,0,0.0,3608,0,0.0,843,0,0.0,9151,0,0.0,4839,0,0.0,1569,0,0.0,17,0,0.0,2706,0,0.0,930,0,0.0,2696,0,0.0,2471,0,0.0,0.0,0,43726,0,30584,0
22,2022-03-10,1825,0,0.0,3712,0,0.0,845,0,0.0,9191,0,0.0,4862,0,0.0,1581,0,0.0,19,0,0.0,2725,0,0.0,938,0,0.0,2713,0,0.0,2543,0,0.0,0.0,0,43726,0,30954,0
