Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Camp_Atsinanana sim,Camp_Atsinanana data,Camp_Atsinanana error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,29,0,0.0,0,0,0.0,0,0,0.0,3,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,32,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,92,0,0.0,72,0,0.0,0,0,0.0,0,0,0.0,12,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,176,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,268,0,0.0,265,0,0.0,0,0,0.0,0,0,0.0,88,0,0.0,0,0,0.0,26,0,0.0,0,0,0.0,0.0,0,5586,0,647,0
3,2022-02-19,0,0,0.0,50,0,0.0,44,0,0.0,676,0,0.0,476,0,0.0,34,0,0.0,0,0,0.0,269,0,0.0,38,0,0.0,158,0,0.0,42,0,0.0,0.0,0,12691,0,1787,0
4,2022-02-20,4,0,0.0,167,0,0.0,148,0,0.0,1211,0,0.0,1087,0,0.0,116,0,0.0,0,0,0.0,614,0,0.0,110,0,0.0,405,0,0.0,116,0,0.0,0.0,0,19482,0,3978,0
5,2022-02-21,9,0,0.0,391,0,0.0,255,0,0.0,2036,0,0.0,1610,0,0.0,238,0,0.0,0,0,0.0,869,0,0.0,210,0,0.0,703,0,0.0,221,0,0.0,0.0,0,27403,0,6542,0
6,2022-02-22,26,0,0.0,647,0,0.0,368,0,0.0,3293,0,0.0,2344,0,0.0,387,0,0.0,0,0,0.0,1355,0,0.0,333,0,0.0,1000,0,0.0,406,0,0.0,0.0,0,34082,0,10159,0
7,2022-02-23,87,0,0.0,980,0,0.0,503,0,0.0,4654,0,0.0,3068,0,0.0,615,0,0.0,0,0,0.0,1759,0,0.0,472,0,0.0,1446,0,0.0,645,0,0.0,0.0,0,39535,0,14229,0
8,2022-02-24,185,0,0.0,1263,0,0.0,575,0,0.0,5817,0,0.0,3622,0,0.0,867,0,0.0,0,0,0.0,2088,0,0.0,573,0,0.0,1724,0,0.0,873,0,0.0,0.0,0,40535,0,17587,0
9,2022-02-25,324,0,0.0,1531,0,0.0,637,0,0.0,6512,0,0.0,3895,0,0.0,1088,0,0.0,0,0,0.0,2255,0,0.0,640,0,0.0,1944,0,0.0,1110,0,0.0,0.0,0,41430,0,19936,0
10,2022-02-26,473,0,0.0,1782,0,0.0,677,0,0.0,7087,0,0.0,4047,0,0.0,1172,0,0.0,0,0,0.0,2357,0,0.0,696,0,0.0,2098,0,0.0,1302,0,0.0,0.0,0,42234,0,21691,0
11,2022-02-27,632,0,0.0,2016,0,0.0,717,0,0.0,7534,0,0.0,4166,0,0.0,1244,0,0.0,0,0,0.0,2430,0,0.0,747,0,0.0,2221,0,0.0,1482,0,0.0,0.0,0,42959,0,23189,0
12,2022-02-28,801,0,0.0,2227,0,0.0,747,0,0.0,7937,0,0.0,4276,0,0.0,1317,0,0.0,0,0,0.0,2495,0,0.0,787,0,0.0,2328,0,0.0,1637,0,0.0,0.0,0,43615,0,24552,0
13,2022-03-01,965,0,0.0,2445,0,0.0,770,0,0.0,8266,0,0.0,4361,0,0.0,1374,0,0.0,1,0,0.0,2552,0,0.0,817,0,0.0,2429,0,0.0,1763,0,0.0,0.0,0,43648,0,25743,0
14,2022-03-02,1113,0,0.0,2635,0,0.0,787,0,0.0,8461,0,0.0,4437,0,0.0,1435,0,0.0,2,0,0.0,2584,0,0.0,847,0,0.0,2486,0,0.0,1876,0,0.0,0.0,0,43676,0,26663,0
15,2022-03-03,1233,0,0.0,2799,0,0.0,803,0,0.0,8624,0,0.0,4487,0,0.0,1464,0,0.0,4,0,0.0,2612,0,0.0,861,0,0.0,2542,0,0.0,1983,0,0.0,0.0,0,43703,0,27412,0
16,2022-03-04,1345,0,0.0,2958,0,0.0,811,0,0.0,8760,0,0.0,4541,0,0.0,1502,0,0.0,4,0,0.0,2645,0,0.0,876,0,0.0,2588,0,0.0,2091,0,0.0,0.0,0,43726,0,28121,0
17,2022-03-05,1443,0,0.0,3106,0,0.0,815,0,0.0,8906,0,0.0,4585,0,0.0,1528,0,0.0,6,0,0.0,2669,0,0.0,887,0,0.0,2635,0,0.0,2190,0,0.0,0.0,0,43726,0,28770,0
18,2022-03-06,1535,0,0.0,3259,0,0.0,821,0,0.0,8971,0,0.0,4629,0,0.0,1552,0,0.0,7,0,0.0,2691,0,0.0,905,0,0.0,2662,0,0.0,2274,0,0.0,0.0,0,43726,0,29306,0
19,2022-03-07,1619,0,0.0,3373,0,0.0,829,0,0.0,9055,0,0.0,4671,0,0.0,1575,0,0.0,8,0,0.0,2705,0,0.0,920,0,0.0,2680,0,0.0,2346,0,0.0,0.0,0,43726,0,29781,0
20,2022-03-08,1690,0,0.0,3475,0,0.0,836,0,0.0,9101,0,0.0,4707,0,0.0,1595,0,0.0,11,0,0.0,2718,0,0.0,934,0,0.0,2696,0,0.0,2422,0,0.0,0.0,0,43726,0,30185,0
21,2022-03-09,1762,0,0.0,3588,0,0.0,836,0,0.0,9161,0,0.0,4735,0,0.0,1620,0,0.0,21,0,0.0,2741,0,0.0,942,0,0.0,2710,0,0.0,2486,0,0.0,0.0,0,43726,0,30602,0
22,2022-03-10,1840,0,0.0,3702,0,0.0,837,0,0.0,9203,0,0.0,4768,0,0.0,1636,0,0.0,29,0,0.0,2767,0,0.0,950,0,0.0,2722,0,0.0,2560,0,0.0,0.0,0,43726,0,31014,0
23,2022-03-11,1892,0,0.0,3804,0,0.0,837,0,0.0,9245,0,0.0,4807,0,0.0,1659,0,0.0,33,0,0.0,2780,0,0.0,958,0,0.0,2732,0,0.0,2632,0,0.0,0.0,0,43726,0,31379,0
24,2022-03-12,1952,0,0.0,3893,0,0.0,839,0,0.0,9285,0,0.0,4836,0,0.0,1679,0,0.0,40,0,0.0,2791,0,0.0,967,0,0.0,2741,0,0.0,2688,0,0.0,0.0,0,43726,0,31711,0
25,2022-03-13,2001,0,0.0,3978,0,0.0,840,0,0.0,9309,0,0.0,4873,0,0.0,1686,0,0.0,44,0,0.0,2798,0,0.0,970,0,0.0,2746,0,0.0,2765,0,0.0,0.0,0,43726,0,32010,0
26,2022-03-14,2048,0,0.0,4062,0,0.0,840,0,0.0,9341,0,0.0,4897,0,0.0,1695,0,0.0,56,0,0.0,2813,0,0.0,979,0,0.0,2757,0,0.0,2818,0,0.0,0.0,0,43726,0,32306,0
27,2022-03-15,2090,0,0.0,4163,0,0.0,840,0,0.0,9355,0,0.0,4922,0,0.0,1710,0,0.0,65,0,0.0,2827,0,0.0,988,0,0.0,2764,0,0.0,2881,0,0.0,0.0,0,43726,0,32605,0
28,2022-03-16,2145,0,0.0,4272,0,0.0,840,0,0.0,9383,0,0.0,4953,0,0.0,1722,0,0.0,68,0,0.0,2842,0,0.0,994,0,0.0,2769,0,0.0,2926,0,0.0,0.0,0,43726,0,32914,0
29,2022-03-17,2185,0,0.0,4350,0,0.0,840,0,0.0,9404,0,0.0,4975,0,0.0,1731,0,0.0,68,0,0.0,2854,0,0.0,1000,0,0.0,2770,0,0.0,2987,0,0.0,0.0,0,43726,0,33164,0
30,2022-03-18,2238,0,0.0,4437,0,0.0,840,0,0.0,9418,0,0.0,5000,0,0.0,1744,0,0.0,78,0,0.0,2868,0,0.0,1009,0,0.0,2774,0,0.0,3031,0,0.0,0.0,0,43726,0,33437,0
31,2022-03-19,2282,0,0.0,4499,0,0.0,840,0,0.0,9437,0,0.0,5025,0,0.0,1754,0,0.0,83,0,0.0,2881,0,0.0,1011,0,0.0,2776,0,0.0,3076,0,0.0,0.0,0,43726,0,33664,0
32,2022-03-20,2328,0,0.0,4573,0,0.0,840,0,0.0,9454,0,0.0,5056,0,0.0,1761,0,0.0,93,0,0.0,2893,0,0.0,1015,0,0.0,2779,0,0.0,3125,0,0.0,0.0,0,43726,0,33917,0
33,2022-03-21,2368,0,0.0,4642,0,0.0,840,0,0.0,9471,0,0.0,5078,0,0.0,1767,0,0.0,98,0,0.0,2906,0,0.0,1023,0,0.0,2780,0,0.0,3168,0,0.0,0.0,0,43726,0,34141,0
34,2022-03-22,2405,0,0.0,4711,0,0.0,841,0,0.0,9480,0,0.0,5107,0,0.0,1776,0,0.0,104,0,0.0,2916,0,0.0,1030,0,0.0,2784,0,0.0,3200,0,0.0,0.0,0,43726,0,34354,0
35,2022-03-23,2444,0,0.0,4786,0,0.0,841,0,0.0,9491,0,0.0,5136,0,0.0,1787,0,0.0,110,0,0.0,2931,0,0.0,1034,0,0.0,2786,0,0.0,3245,0,0.0,0.0,0,43726,0,34591,0
36,2022-03-24,2481,0,0.0,4842,0,0.0,841,0,0.0,9502,0,0.0,5165,0,0.0,1788,0,0.0,112,0,0.0,2943,0,0.0,1038,0,0.0,2788,0,0.0,3285,0,0.0,0.0,0,43726,0,34785,0
