Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Camp_Atsinanana sim,Camp_Atsinanana data,Camp_Atsinanana error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,35,0,0.0,0,0,0.0,0,0,0.0,7,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,42,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,78,0,0.0,81,0,0.0,0,0,0.0,0,0,0.0,26,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,185,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,240,0,0.0,263,0,0.0,0,0,0.0,0,0,0.0,97,0,0.0,0,0,0.0,27,0,0.0,0,0,0.0,0.0,0,5586,0,627,0
3,2022-02-19,0,0,0.0,49,0,0.0,51,0,0.0,657,0,0.0,500,0,0.0,44,0,0.0,0,0,0.0,279,0,0.0,41,0,0.0,143,0,0.0,40,0,0.0,0.0,0,12691,0,1804,0
4,2022-02-20,3,0,0.0,178,0,0.0,140,0,0.0,1170,0,0.0,1168,0,0.0,123,0,0.0,0,0,0.0,639,0,0.0,105,0,0.0,397,0,0.0,105,0,0.0,0.0,0,19482,0,4028,0
5,2022-02-21,6,0,0.0,394,0,0.0,253,0,0.0,2051,0,0.0,1673,0,0.0,253,0,0.0,0,0,0.0,891,0,0.0,195,0,0.0,692,0,0.0,222,0,0.0,0.0,0,27403,0,6630,0
6,2022-02-22,33,0,0.0,670,0,0.0,377,0,0.0,3278,0,0.0,2382,0,0.0,400,0,0.0,0,0,0.0,1367,0,0.0,314,0,0.0,1000,0,0.0,380,0,0.0,0.0,0,34082,0,10201,0
7,2022-02-23,101,0,0.0,976,0,0.0,524,0,0.0,4638,0,0.0,3134,0,0.0,648,0,0.0,0,0,0.0,1784,0,0.0,452,0,0.0,1421,0,0.0,586,0,0.0,0.0,0,39535,0,14264,0
8,2022-02-24,204,0,0.0,1272,0,0.0,598,0,0.0,5760,0,0.0,3701,0,0.0,909,0,0.0,0,0,0.0,2154,0,0.0,553,0,0.0,1705,0,0.0,807,0,0.0,0.0,0,40535,0,17663,0
9,2022-02-25,337,0,0.0,1528,0,0.0,656,0,0.0,6448,0,0.0,3973,0,0.0,1131,0,0.0,0,0,0.0,2329,0,0.0,626,0,0.0,1920,0,0.0,1059,0,0.0,0.0,0,41430,0,20007,0
10,2022-02-26,510,0,0.0,1771,0,0.0,705,0,0.0,7013,0,0.0,4133,0,0.0,1213,0,0.0,0,0,0.0,2436,0,0.0,682,0,0.0,2086,0,0.0,1230,0,0.0,0.0,0,42234,0,21779,0
11,2022-02-27,696,0,0.0,2035,0,0.0,734,0,0.0,7497,0,0.0,4277,0,0.0,1280,0,0.0,0,0,0.0,2497,0,0.0,728,0,0.0,2226,0,0.0,1396,0,0.0,0.0,0,42959,0,23366,0
12,2022-02-28,848,0,0.0,2250,0,0.0,759,0,0.0,7895,0,0.0,4405,0,0.0,1339,0,0.0,0,0,0.0,2554,0,0.0,756,0,0.0,2320,0,0.0,1511,0,0.0,0.0,0,43615,0,24637,0
13,2022-03-01,987,0,0.0,2463,0,0.0,775,0,0.0,8245,0,0.0,4502,0,0.0,1393,0,0.0,1,0,0.0,2617,0,0.0,781,0,0.0,2415,0,0.0,1660,0,0.0,0.0,0,43648,0,25839,0
14,2022-03-02,1123,0,0.0,2675,0,0.0,792,0,0.0,8436,0,0.0,4571,0,0.0,1445,0,0.0,1,0,0.0,2666,0,0.0,802,0,0.0,2487,0,0.0,1770,0,0.0,0.0,0,43676,0,26768,0
15,2022-03-03,1245,0,0.0,2858,0,0.0,799,0,0.0,8602,0,0.0,4633,0,0.0,1477,0,0.0,2,0,0.0,2692,0,0.0,820,0,0.0,2536,0,0.0,1879,0,0.0,0.0,0,43703,0,27543,0
16,2022-03-04,1367,0,0.0,3045,0,0.0,811,0,0.0,8751,0,0.0,4681,0,0.0,1509,0,0.0,3,0,0.0,2715,0,0.0,840,0,0.0,2564,0,0.0,1982,0,0.0,0.0,0,43726,0,28268,0
17,2022-03-05,1455,0,0.0,3177,0,0.0,818,0,0.0,8862,0,0.0,4708,0,0.0,1528,0,0.0,5,0,0.0,2731,0,0.0,853,0,0.0,2591,0,0.0,2073,0,0.0,0.0,0,43726,0,28801,0
18,2022-03-06,1542,0,0.0,3311,0,0.0,823,0,0.0,8943,0,0.0,4742,0,0.0,1549,0,0.0,8,0,0.0,2748,0,0.0,867,0,0.0,2613,0,0.0,2155,0,0.0,0.0,0,43726,0,29301,0
19,2022-03-07,1610,0,0.0,3431,0,0.0,826,0,0.0,9014,0,0.0,4782,0,0.0,1564,0,0.0,10,0,0.0,2760,0,0.0,877,0,0.0,2637,0,0.0,2248,0,0.0,0.0,0,43726,0,29759,0
20,2022-03-08,1683,0,0.0,3547,0,0.0,830,0,0.0,9087,0,0.0,4818,0,0.0,1587,0,0.0,14,0,0.0,2783,0,0.0,885,0,0.0,2656,0,0.0,2311,0,0.0,0.0,0,43726,0,30201,0
21,2022-03-09,1752,0,0.0,3662,0,0.0,830,0,0.0,9147,0,0.0,4849,0,0.0,1608,0,0.0,15,0,0.0,2799,0,0.0,891,0,0.0,2664,0,0.0,2396,0,0.0,0.0,0,43726,0,30613,0
22,2022-03-10,1833,0,0.0,3763,0,0.0,832,0,0.0,9205,0,0.0,4883,0,0.0,1624,0,0.0,20,0,0.0,2818,0,0.0,899,0,0.0,2673,0,0.0,2475,0,0.0,0.0,0,43726,0,31025,0
23,2022-03-11,1893,0,0.0,3868,0,0.0,834,0,0.0,9245,0,0.0,4911,0,0.0,1640,0,0.0,24,0,0.0,2829,0,0.0,903,0,0.0,2681,0,0.0,2547,0,0.0,0.0,0,43726,0,31375,0
24,2022-03-12,1950,0,0.0,3967,0,0.0,834,0,0.0,9279,0,0.0,4946,0,0.0,1651,0,0.0,31,0,0.0,2847,0,0.0,911,0,0.0,2695,0,0.0,2621,0,0.0,0.0,0,43726,0,31732,0
25,2022-03-13,2000,0,0.0,4084,0,0.0,835,0,0.0,9308,0,0.0,4964,0,0.0,1664,0,0.0,33,0,0.0,2866,0,0.0,915,0,0.0,2704,0,0.0,2685,0,0.0,0.0,0,43726,0,32058,0
26,2022-03-14,2069,0,0.0,4178,0,0.0,835,0,0.0,9327,0,0.0,4984,0,0.0,1677,0,0.0,42,0,0.0,2883,0,0.0,919,0,0.0,2711,0,0.0,2743,0,0.0,0.0,0,43726,0,32368,0
27,2022-03-15,2115,0,0.0,4276,0,0.0,835,0,0.0,9339,0,0.0,5007,0,0.0,1684,0,0.0,48,0,0.0,2899,0,0.0,924,0,0.0,2717,0,0.0,2799,0,0.0,0.0,0,43726,0,32643,0
28,2022-03-16,2166,0,0.0,4367,0,0.0,835,0,0.0,9364,0,0.0,5032,0,0.0,1695,0,0.0,54,0,0.0,2909,0,0.0,932,0,0.0,2723,0,0.0,2874,0,0.0,0.0,0,43726,0,32951,0
29,2022-03-17,2207,0,0.0,4449,0,0.0,835,0,0.0,9382,0,0.0,5059,0,0.0,1704,0,0.0,58,0,0.0,2923,0,0.0,936,0,0.0,2729,0,0.0,2914,0,0.0,0.0,0,43726,0,33196,0
30,2022-03-18,2247,0,0.0,4528,0,0.0,835,0,0.0,9401,0,0.0,5081,0,0.0,1717,0,0.0,65,0,0.0,2939,0,0.0,940,0,0.0,2734,0,0.0,2967,0,0.0,0.0,0,43726,0,33454,0
31,2022-03-19,2290,0,0.0,4604,0,0.0,836,0,0.0,9421,0,0.0,5096,0,0.0,1726,0,0.0,72,0,0.0,2953,0,0.0,946,0,0.0,2737,0,0.0,3010,0,0.0,0.0,0,43726,0,33691,0
32,2022-03-20,2328,0,0.0,4692,0,0.0,836,0,0.0,9435,0,0.0,5115,0,0.0,1736,0,0.0,78,0,0.0,2968,0,0.0,950,0,0.0,2741,0,0.0,3059,0,0.0,0.0,0,43726,0,33938,0
33,2022-03-21,2373,0,0.0,4769,0,0.0,836,0,0.0,9445,0,0.0,5137,0,0.0,1744,0,0.0,87,0,0.0,2977,0,0.0,954,0,0.0,2742,0,0.0,3113,0,0.0,0.0,0,43726,0,34177,0
34,2022-03-22,2417,0,0.0,4844,0,0.0,836,0,0.0,9459,0,0.0,5162,0,0.0,1752,0,0.0,97,0,0.0,2987,0,0.0,960,0,0.0,2744,0,0.0,3154,0,0.0,0.0,0,43726,0,34412,0
35,2022-03-23,2448,0,0.0,4911,0,0.0,836,0,0.0,9480,0,0.0,5184,0,0.0,1761,0,0.0,102,0,0.0,2999,0,0.0,964,0,0.0,2744,0,0.0,3193,0,0.0,0.0,0,43726,0,34622,0
36,2022-03-24,2492,0,0.0,5000,0,0.0,836,0,0.0,9494,0,0.0,5201,0,0.0,1768,0,0.0,108,0,0.0,3008,0,0.0,968,0,0.0,2746,0,0.0,3238,0,0.0,0.0,0,43726,0,34859,0
37,2022-03-25,2525,0,0.0,5065,0,0.0,836,0,0.0,9506,0,0.0,5227,0,0.0,1773,0,0.0,114,0,0.0,3016,0,0.0,974,0,0.0,2748,0,0.0,3278,0,0.0,0.0,0,43726,0,35062,0
38,2022-03-26,2553,0,0.0,5138,0,0.0,836,0,0.0,9518,0,0.0,5242,0,0.0,1780,0,0.0,119,0,0.0,3020,0,0.0,977,0,0.0,2751,0,0.0,3309,0,0.0,0.0,0,43726,0,35243,0
39,2022-03-27,2589,0,0.0,5197,0,0.0,836,0,0.0,9526,0,0.0,5260,0,0.0,1790,0,0.0,126,0,0.0,3032,0,0.0,981,0,0.0,2755,0,0.0,3337,0,0.0,0.0,0,43726,0,35429,0
40,2022-03-28,2629,0,0.0,5257,0,0.0,836,0,0.0,9537,0,0.0,5275,0,0.0,1798,0,0.0,131,0,0.0,3037,0,0.0,988,0,0.0,2757,0,0.0,3377,0,0.0,0.0,0,43726,0,35622,0
