Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Camp_Atsinanana sim,Camp_Atsinanana data,Camp_Atsinanana error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,36,0,0.0,0,0,0.0,0,0,0.0,4,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,40,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,92,0,0.0,83,0,0.0,0,0,0.0,0,0,0.0,20,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,195,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,268,0,0.0,277,0,0.0,0,0,0.0,0,0,0.0,81,0,0.0,1,0,0.0,30,0,0.0,0,0,0.0,0.0,0,5586,0,657,0
3,2022-02-19,0,0,0.0,51,0,0.0,48,0,0.0,652,0,0.0,527,0,0.0,32,0,0.0,0,0,0.0,264,0,0.0,45,0,0.0,145,0,0.0,30,0,0.0,0.0,0,12691,0,1794,0
4,2022-02-20,3,0,0.0,177,0,0.0,140,0,0.0,1147,0,0.0,1153,0,0.0,113,0,0.0,0,0,0.0,611,0,0.0,111,0,0.0,406,0,0.0,88,0,0.0,0.0,0,19482,0,3949,0
5,2022-02-21,4,0,0.0,392,0,0.0,253,0,0.0,2044,0,0.0,1652,0,0.0,241,0,0.0,0,0,0.0,879,0,0.0,204,0,0.0,685,0,0.0,225,0,0.0,0.0,0,27403,0,6579,0
6,2022-02-22,23,0,0.0,673,0,0.0,375,0,0.0,3297,0,0.0,2327,0,0.0,361,0,0.0,0,0,0.0,1360,0,0.0,331,0,0.0,958,0,0.0,425,0,0.0,0.0,0,34082,0,10130,0
7,2022-02-23,67,0,0.0,1014,0,0.0,522,0,0.0,4720,0,0.0,3090,0,0.0,621,0,0.0,0,0,0.0,1734,0,0.0,466,0,0.0,1439,0,0.0,680,0,0.0,0.0,0,39535,0,14353,0
8,2022-02-24,167,0,0.0,1309,0,0.0,600,0,0.0,5865,0,0.0,3654,0,0.0,866,0,0.0,0,0,0.0,2066,0,0.0,572,0,0.0,1722,0,0.0,892,0,0.0,0.0,0,40535,0,17713,0
9,2022-02-25,301,0,0.0,1550,0,0.0,657,0,0.0,6559,0,0.0,3934,0,0.0,1080,0,0.0,0,0,0.0,2250,0,0.0,650,0,0.0,1928,0,0.0,1146,0,0.0,0.0,0,41430,0,20055,0
