Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Camp_Atsinanana sim,Camp_Atsinanana data,Camp_Atsinanana error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,29,0,0.0,0,0,0.0,0,0,0.0,3,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,32,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,109,0,0.0,67,0,0.0,0,0,0.0,0,0,0.0,16,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,192,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,281,0,0.0,243,0,0.0,0,0,0.0,0,0,0.0,84,0,0.0,1,0,0.0,27,0,0.0,0,0,0.0,0.0,0,5586,0,636,0
3,2022-02-19,0,0,0.0,49,0,0.0,55,0,0.0,648,0,0.0,475,0,0.0,43,0,0.0,0,0,0.0,250,0,0.0,33,0,0.0,140,0,0.0,33,0,0.0,0.0,0,12691,0,1726,0
4,2022-02-20,5,0,0.0,188,0,0.0,147,0,0.0,1144,0,0.0,1108,0,0.0,139,0,0.0,0,0,0.0,574,0,0.0,102,0,0.0,406,0,0.0,99,0,0.0,0.0,0,19482,0,3912,0
5,2022-02-21,16,0,0.0,383,0,0.0,259,0,0.0,2059,0,0.0,1659,0,0.0,238,0,0.0,0,0,0.0,861,0,0.0,183,0,0.0,668,0,0.0,217,0,0.0,0.0,0,27403,0,6543,0
6,2022-02-22,41,0,0.0,630,0,0.0,399,0,0.0,3319,0,0.0,2367,0,0.0,400,0,0.0,0,0,0.0,1328,0,0.0,309,0,0.0,972,0,0.0,403,0,0.0,0.0,0,34082,0,10168,0
7,2022-02-23,101,0,0.0,936,0,0.0,527,0,0.0,4731,0,0.0,3109,0,0.0,675,0,0.0,0,0,0.0,1720,0,0.0,450,0,0.0,1397,0,0.0,654,0,0.0,0.0,0,39535,0,14300,0
8,2022-02-24,210,0,0.0,1231,0,0.0,594,0,0.0,5790,0,0.0,3664,0,0.0,915,0,0.0,0,0,0.0,2098,0,0.0,547,0,0.0,1670,0,0.0,858,0,0.0,0.0,0,40535,0,17577,0
9,2022-02-25,330,0,0.0,1502,0,0.0,656,0,0.0,6475,0,0.0,3965,0,0.0,1123,0,0.0,0,0,0.0,2272,0,0.0,619,0,0.0,1905,0,0.0,1110,0,0.0,0.0,0,41430,0,19957,0
10,2022-02-26,509,0,0.0,1739,0,0.0,692,0,0.0,7008,0,0.0,4125,0,0.0,1234,0,0.0,0,0,0.0,2371,0,0.0,659,0,0.0,2091,0,0.0,1275,0,0.0,0.0,0,42234,0,21703,0
11,2022-02-27,674,0,0.0,1966,0,0.0,727,0,0.0,7471,0,0.0,4250,0,0.0,1310,0,0.0,0,0,0.0,2430,0,0.0,713,0,0.0,2224,0,0.0,1429,0,0.0,0.0,0,42959,0,23194,0
12,2022-02-28,827,0,0.0,2221,0,0.0,748,0,0.0,7884,0,0.0,4364,0,0.0,1368,0,0.0,0,0,0.0,2516,0,0.0,746,0,0.0,2327,0,0.0,1583,0,0.0,0.0,0,43615,0,24584,0
13,2022-03-01,968,0,0.0,2419,0,0.0,764,0,0.0,8219,0,0.0,4444,0,0.0,1445,0,0.0,0,0,0.0,2570,0,0.0,789,0,0.0,2402,0,0.0,1710,0,0.0,0.0,0,43648,0,25730,0
14,2022-03-02,1125,0,0.0,2590,0,0.0,788,0,0.0,8412,0,0.0,4534,0,0.0,1503,0,0.0,1,0,0.0,2625,0,0.0,813,0,0.0,2485,0,0.0,1825,0,0.0,0.0,0,43676,0,26701,0
15,2022-03-03,1248,0,0.0,2758,0,0.0,803,0,0.0,8573,0,0.0,4599,0,0.0,1537,0,0.0,1,0,0.0,2660,0,0.0,836,0,0.0,2533,0,0.0,1925,0,0.0,0.0,0,43703,0,27473,0
16,2022-03-04,1358,0,0.0,2905,0,0.0,814,0,0.0,8691,0,0.0,4660,0,0.0,1564,0,0.0,2,0,0.0,2676,0,0.0,855,0,0.0,2571,0,0.0,2031,0,0.0,0.0,0,43726,0,28127,0
17,2022-03-05,1449,0,0.0,3089,0,0.0,818,0,0.0,8816,0,0.0,4708,0,0.0,1597,0,0.0,4,0,0.0,2700,0,0.0,871,0,0.0,2611,0,0.0,2128,0,0.0,0.0,0,43726,0,28791,0
18,2022-03-06,1535,0,0.0,3218,0,0.0,823,0,0.0,8898,0,0.0,4745,0,0.0,1624,0,0.0,9,0,0.0,2729,0,0.0,882,0,0.0,2637,0,0.0,2211,0,0.0,0.0,0,43726,0,29311,0
19,2022-03-07,1620,0,0.0,3327,0,0.0,827,0,0.0,8967,0,0.0,4772,0,0.0,1640,0,0.0,12,0,0.0,2748,0,0.0,892,0,0.0,2654,0,0.0,2294,0,0.0,0.0,0,43726,0,29753,0
20,2022-03-08,1695,0,0.0,3443,0,0.0,831,0,0.0,9022,0,0.0,4814,0,0.0,1655,0,0.0,17,0,0.0,2763,0,0.0,899,0,0.0,2674,0,0.0,2374,0,0.0,0.0,0,43726,0,30187,0
21,2022-03-09,1760,0,0.0,3552,0,0.0,834,0,0.0,9061,0,0.0,4847,0,0.0,1674,0,0.0,26,0,0.0,2773,0,0.0,906,0,0.0,2685,0,0.0,2451,0,0.0,0.0,0,43726,0,30569,0
22,2022-03-10,1816,0,0.0,3662,0,0.0,836,0,0.0,9109,0,0.0,4875,0,0.0,1687,0,0.0,30,0,0.0,2787,0,0.0,917,0,0.0,2698,0,0.0,2532,0,0.0,0.0,0,43726,0,30949,0
23,2022-03-11,1871,0,0.0,3772,0,0.0,837,0,0.0,9148,0,0.0,4918,0,0.0,1702,0,0.0,34,0,0.0,2797,0,0.0,927,0,0.0,2706,0,0.0,2591,0,0.0,0.0,0,43726,0,31303,0
24,2022-03-12,1926,0,0.0,3870,0,0.0,837,0,0.0,9176,0,0.0,4950,0,0.0,1717,0,0.0,41,0,0.0,2811,0,0.0,938,0,0.0,2720,0,0.0,2664,0,0.0,0.0,0,43726,0,31650,0
25,2022-03-13,1977,0,0.0,3977,0,0.0,837,0,0.0,9210,0,0.0,4975,0,0.0,1729,0,0.0,49,0,0.0,2827,0,0.0,945,0,0.0,2726,0,0.0,2722,0,0.0,0.0,0,43726,0,31974,0
26,2022-03-14,2029,0,0.0,4066,0,0.0,837,0,0.0,9251,0,0.0,5001,0,0.0,1735,0,0.0,56,0,0.0,2846,0,0.0,952,0,0.0,2731,0,0.0,2784,0,0.0,0.0,0,43726,0,32288,0
27,2022-03-15,2070,0,0.0,4145,0,0.0,837,0,0.0,9277,0,0.0,5027,0,0.0,1747,0,0.0,58,0,0.0,2864,0,0.0,956,0,0.0,2734,0,0.0,2836,0,0.0,0.0,0,43726,0,32551,0
28,2022-03-16,2114,0,0.0,4236,0,0.0,837,0,0.0,9295,0,0.0,5058,0,0.0,1755,0,0.0,60,0,0.0,2881,0,0.0,960,0,0.0,2737,0,0.0,2877,0,0.0,0.0,0,43726,0,32810,0
29,2022-03-17,2155,0,0.0,4314,0,0.0,838,0,0.0,9315,0,0.0,5084,0,0.0,1762,0,0.0,68,0,0.0,2896,0,0.0,964,0,0.0,2743,0,0.0,2943,0,0.0,0.0,0,43726,0,33082,0
30,2022-03-18,2189,0,0.0,4389,0,0.0,839,0,0.0,9331,0,0.0,5111,0,0.0,1772,0,0.0,74,0,0.0,2909,0,0.0,971,0,0.0,2746,0,0.0,2995,0,0.0,0.0,0,43726,0,33326,0
31,2022-03-19,2245,0,0.0,4482,0,0.0,839,0,0.0,9347,0,0.0,5136,0,0.0,1780,0,0.0,79,0,0.0,2920,0,0.0,974,0,0.0,2752,0,0.0,3036,0,0.0,0.0,0,43726,0,33590,0
