Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Camp_Atsinanana sim,Camp_Atsinanana data,Camp_Atsinanana error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,19,0,0.0,0,0,0.0,0,0,0.0,5,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,24,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,88,0,0.0,67,0,0.0,0,0,0.0,0,0,0.0,15,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,170,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,290,0,0.0,251,0,0.0,0,0,0.0,0,0,0.0,90,0,0.0,0,0,0.0,32,0,0.0,0,0,0.0,0.0,0,5586,0,663,0
3,2022-02-19,0,0,0.0,58,0,0.0,48,0,0.0,665,0,0.0,475,0,0.0,60,0,0.0,0,0,0.0,263,0,0.0,38,0,0.0,140,0,0.0,47,0,0.0,0.0,0,12691,0,1794,0
4,2022-02-20,5,0,0.0,176,0,0.0,147,0,0.0,1212,0,0.0,1103,0,0.0,133,0,0.0,0,0,0.0,581,0,0.0,99,0,0.0,412,0,0.0,107,0,0.0,0.0,0,19482,0,3975,0
5,2022-02-21,10,0,0.0,388,0,0.0,265,0,0.0,2048,0,0.0,1633,0,0.0,233,0,0.0,0,0,0.0,855,0,0.0,192,0,0.0,696,0,0.0,235,0,0.0,0.0,0,27403,0,6555,0
6,2022-02-22,37,0,0.0,653,0,0.0,391,0,0.0,3332,0,0.0,2309,0,0.0,380,0,0.0,0,0,0.0,1341,0,0.0,327,0,0.0,989,0,0.0,416,0,0.0,0.0,0,34082,0,10175,0
7,2022-02-23,83,0,0.0,962,0,0.0,515,0,0.0,4736,0,0.0,3076,0,0.0,633,0,0.0,0,0,0.0,1733,0,0.0,463,0,0.0,1431,0,0.0,643,0,0.0,0.0,0,39535,0,14275,0
8,2022-02-24,187,0,0.0,1261,0,0.0,592,0,0.0,5958,0,0.0,3608,0,0.0,875,0,0.0,0,0,0.0,2070,0,0.0,550,0,0.0,1705,0,0.0,853,0,0.0,0.0,0,40535,0,17659,0
9,2022-02-25,327,0,0.0,1521,0,0.0,654,0,0.0,6613,0,0.0,3889,0,0.0,1077,0,0.0,0,0,0.0,2254,0,0.0,623,0,0.0,1961,0,0.0,1107,0,0.0,0.0,0,41430,0,20026,0
10,2022-02-26,491,0,0.0,1768,0,0.0,693,0,0.0,7162,0,0.0,4073,0,0.0,1161,0,0.0,0,0,0.0,2359,0,0.0,680,0,0.0,2120,0,0.0,1274,0,0.0,0.0,0,42234,0,21781,0
11,2022-02-27,678,0,0.0,2015,0,0.0,729,0,0.0,7614,0,0.0,4212,0,0.0,1245,0,0.0,0,0,0.0,2423,0,0.0,720,0,0.0,2256,0,0.0,1461,0,0.0,0.0,0,42959,0,23353,0
12,2022-02-28,832,0,0.0,2229,0,0.0,760,0,0.0,8021,0,0.0,4328,0,0.0,1314,0,0.0,1,0,0.0,2479,0,0.0,757,0,0.0,2357,0,0.0,1599,0,0.0,0.0,0,43615,0,24677,0
13,2022-03-01,987,0,0.0,2428,0,0.0,780,0,0.0,8405,0,0.0,4415,0,0.0,1368,0,0.0,1,0,0.0,2537,0,0.0,789,0,0.0,2434,0,0.0,1732,0,0.0,0.0,0,43648,0,25876,0
14,2022-03-02,1109,0,0.0,2631,0,0.0,797,0,0.0,8622,0,0.0,4488,0,0.0,1415,0,0.0,2,0,0.0,2574,0,0.0,812,0,0.0,2489,0,0.0,1844,0,0.0,0.0,0,43676,0,26783,0
15,2022-03-03,1211,0,0.0,2789,0,0.0,806,0,0.0,8772,0,0.0,4555,0,0.0,1440,0,0.0,2,0,0.0,2608,0,0.0,829,0,0.0,2540,0,0.0,1953,0,0.0,0.0,0,43703,0,27505,0
16,2022-03-04,1306,0,0.0,2928,0,0.0,816,0,0.0,8900,0,0.0,4619,0,0.0,1465,0,0.0,4,0,0.0,2628,0,0.0,845,0,0.0,2572,0,0.0,2046,0,0.0,0.0,0,43726,0,28129,0
17,2022-03-05,1403,0,0.0,3082,0,0.0,825,0,0.0,9022,0,0.0,4662,0,0.0,1489,0,0.0,4,0,0.0,2647,0,0.0,866,0,0.0,2601,0,0.0,2145,0,0.0,0.0,0,43726,0,28746,0
18,2022-03-06,1507,0,0.0,3214,0,0.0,830,0,0.0,9094,0,0.0,4698,0,0.0,1505,0,0.0,5,0,0.0,2667,0,0.0,877,0,0.0,2631,0,0.0,2223,0,0.0,0.0,0,43726,0,29251,0
19,2022-03-07,1597,0,0.0,3340,0,0.0,836,0,0.0,9167,0,0.0,4728,0,0.0,1521,0,0.0,8,0,0.0,2686,0,0.0,889,0,0.0,2658,0,0.0,2299,0,0.0,0.0,0,43726,0,29729,0
20,2022-03-08,1687,0,0.0,3456,0,0.0,838,0,0.0,9226,0,0.0,4759,0,0.0,1545,0,0.0,16,0,0.0,2705,0,0.0,904,0,0.0,2673,0,0.0,2383,0,0.0,0.0,0,43726,0,30192,0
21,2022-03-09,1758,0,0.0,3563,0,0.0,839,0,0.0,9279,0,0.0,4784,0,0.0,1563,0,0.0,23,0,0.0,2716,0,0.0,917,0,0.0,2691,0,0.0,2464,0,0.0,0.0,0,43726,0,30597,0
