Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Camp_Atsinanana sim,Camp_Atsinanana data,Camp_Atsinanana error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,24,0,0.0,0,0,0.0,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,26,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,96,0,0.0,68,0,0.0,0,0,0.0,0,0,0.0,21,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,185,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,249,0,0.0,275,0,0.0,0,0,0.0,0,0,0.0,74,0,0.0,4,0,0.0,25,0,0.0,0,0,0.0,0.0,0,5586,0,627,0
3,2022-02-19,0,0,0.0,55,0,0.0,51,0,0.0,636,0,0.0,491,0,0.0,45,0,0.0,0,0,0.0,259,0,0.0,47,0,0.0,133,0,0.0,42,0,0.0,0.0,0,12691,0,1759,0
4,2022-02-20,6,0,0.0,188,0,0.0,139,0,0.0,1140,0,0.0,1150,0,0.0,126,0,0.0,0,0,0.0,582,0,0.0,109,0,0.0,402,0,0.0,108,0,0.0,0.0,0,19482,0,3950,0
5,2022-02-21,15,0,0.0,379,0,0.0,259,0,0.0,2013,0,0.0,1656,0,0.0,248,0,0.0,0,0,0.0,830,0,0.0,203,0,0.0,679,0,0.0,221,0,0.0,0.0,0,27403,0,6503,0
6,2022-02-22,41,0,0.0,656,0,0.0,394,0,0.0,3315,0,0.0,2305,0,0.0,397,0,0.0,0,0,0.0,1323,0,0.0,350,0,0.0,991,0,0.0,408,0,0.0,0.0,0,34082,0,10180,0
7,2022-02-23,104,0,0.0,972,0,0.0,514,0,0.0,4677,0,0.0,3040,0,0.0,648,0,0.0,0,0,0.0,1728,0,0.0,499,0,0.0,1458,0,0.0,642,0,0.0,0.0,0,39535,0,14282,0
8,2022-02-24,207,0,0.0,1248,0,0.0,597,0,0.0,5814,0,0.0,3577,0,0.0,926,0,0.0,0,0,0.0,2054,0,0.0,585,0,0.0,1734,0,0.0,862,0,0.0,0.0,0,40535,0,17604,0
9,2022-02-25,342,0,0.0,1510,0,0.0,650,0,0.0,6477,0,0.0,3858,0,0.0,1138,0,0.0,0,0,0.0,2221,0,0.0,654,0,0.0,1951,0,0.0,1092,0,0.0,0.0,0,41430,0,19893,0
10,2022-02-26,509,0,0.0,1751,0,0.0,682,0,0.0,7037,0,0.0,4008,0,0.0,1222,0,0.0,0,0,0.0,2323,0,0.0,718,0,0.0,2120,0,0.0,1294,0,0.0,0.0,0,42234,0,21664,0
11,2022-02-27,677,0,0.0,1976,0,0.0,725,0,0.0,7509,0,0.0,4144,0,0.0,1318,0,0.0,0,0,0.0,2372,0,0.0,758,0,0.0,2251,0,0.0,1434,0,0.0,0.0,0,42959,0,23164,0
