Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Camp_Atsinanana sim,Camp_Atsinanana data,Camp_Atsinanana error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,22,0,0.0,0,0,0.0,0,0,0.0,5,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,27,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,99,0,0.0,72,0,0.0,0,0,0.0,0,0,0.0,13,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,184,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,286,0,0.0,261,0,0.0,0,0,0.0,0,0,0.0,88,0,0.0,0,0,0.0,20,0,0.0,0,0,0.0,0.0,0,5586,0,655,0
3,2022-02-19,0,0,0.0,46,0,0.0,50,0,0.0,651,0,0.0,503,0,0.0,35,0,0.0,0,0,0.0,263,0,0.0,41,0,0.0,135,0,0.0,36,0,0.0,0.0,0,12691,0,1760,0
4,2022-02-20,3,0,0.0,184,0,0.0,144,0,0.0,1152,0,0.0,1137,0,0.0,120,0,0.0,0,0,0.0,593,0,0.0,106,0,0.0,426,0,0.0,92,0,0.0,0.0,0,19482,0,3957,0
5,2022-02-21,12,0,0.0,391,0,0.0,252,0,0.0,2019,0,0.0,1636,0,0.0,228,0,0.0,0,0,0.0,896,0,0.0,196,0,0.0,714,0,0.0,212,0,0.0,0.0,0,27403,0,6556,0
6,2022-02-22,35,0,0.0,655,0,0.0,370,0,0.0,3315,0,0.0,2356,0,0.0,375,0,0.0,0,0,0.0,1377,0,0.0,320,0,0.0,1029,0,0.0,377,0,0.0,0.0,0,34082,0,10209,0
7,2022-02-23,98,0,0.0,1003,0,0.0,508,0,0.0,4690,0,0.0,3101,0,0.0,630,0,0.0,0,0,0.0,1771,0,0.0,460,0,0.0,1500,0,0.0,612,0,0.0,0.0,0,39535,0,14373,0
8,2022-02-24,198,0,0.0,1301,0,0.0,576,0,0.0,5800,0,0.0,3626,0,0.0,884,0,0.0,0,0,0.0,2114,0,0.0,581,0,0.0,1749,0,0.0,840,0,0.0,0.0,0,40535,0,17669,0
9,2022-02-25,347,0,0.0,1531,0,0.0,631,0,0.0,6517,0,0.0,3911,0,0.0,1081,0,0.0,0,0,0.0,2303,0,0.0,650,0,0.0,1984,0,0.0,1087,0,0.0,0.0,0,41430,0,20042,0
10,2022-02-26,523,0,0.0,1782,0,0.0,678,0,0.0,7045,0,0.0,4082,0,0.0,1164,0,0.0,0,0,0.0,2402,0,0.0,709,0,0.0,2133,0,0.0,1263,0,0.0,0.0,0,42234,0,21781,0
11,2022-02-27,685,0,0.0,2039,0,0.0,713,0,0.0,7526,0,0.0,4210,0,0.0,1254,0,0.0,0,0,0.0,2471,0,0.0,764,0,0.0,2270,0,0.0,1440,0,0.0,0.0,0,42959,0,23372,0
12,2022-02-28,823,0,0.0,2275,0,0.0,737,0,0.0,7949,0,0.0,4315,0,0.0,1308,0,0.0,0,0,0.0,2539,0,0.0,801,0,0.0,2358,0,0.0,1582,0,0.0,0.0,0,43615,0,24687,0
13,2022-03-01,944,0,0.0,2466,0,0.0,759,0,0.0,8309,0,0.0,4407,0,0.0,1361,0,0.0,0,0,0.0,2588,0,0.0,836,0,0.0,2439,0,0.0,1709,0,0.0,0.0,0,43648,0,25818,0
14,2022-03-02,1084,0,0.0,2664,0,0.0,775,0,0.0,8499,0,0.0,4478,0,0.0,1417,0,0.0,0,0,0.0,2631,0,0.0,860,0,0.0,2496,0,0.0,1841,0,0.0,0.0,0,43676,0,26745,0
15,2022-03-03,1215,0,0.0,2837,0,0.0,785,0,0.0,8659,0,0.0,4539,0,0.0,1452,0,0.0,0,0,0.0,2669,0,0.0,879,0,0.0,2548,0,0.0,1950,0,0.0,0.0,0,43703,0,27533,0
16,2022-03-04,1319,0,0.0,2998,0,0.0,794,0,0.0,8791,0,0.0,4602,0,0.0,1486,0,0.0,2,0,0.0,2693,0,0.0,897,0,0.0,2591,0,0.0,2053,0,0.0,0.0,0,43726,0,28226,0
17,2022-03-05,1416,0,0.0,3122,0,0.0,802,0,0.0,8887,0,0.0,4643,0,0.0,1502,0,0.0,4,0,0.0,2711,0,0.0,918,0,0.0,2627,0,0.0,2149,0,0.0,0.0,0,43726,0,28781,0
18,2022-03-06,1508,0,0.0,3245,0,0.0,805,0,0.0,8970,0,0.0,4675,0,0.0,1519,0,0.0,5,0,0.0,2733,0,0.0,929,0,0.0,2653,0,0.0,2241,0,0.0,0.0,0,43726,0,29283,0
19,2022-03-07,1592,0,0.0,3380,0,0.0,807,0,0.0,9036,0,0.0,4708,0,0.0,1539,0,0.0,7,0,0.0,2749,0,0.0,941,0,0.0,2674,0,0.0,2310,0,0.0,0.0,0,43726,0,29743,0
20,2022-03-08,1658,0,0.0,3512,0,0.0,812,0,0.0,9107,0,0.0,4746,0,0.0,1556,0,0.0,9,0,0.0,2765,0,0.0,955,0,0.0,2698,0,0.0,2402,0,0.0,0.0,0,43726,0,30220,0
21,2022-03-09,1733,0,0.0,3623,0,0.0,815,0,0.0,9158,0,0.0,4789,0,0.0,1570,0,0.0,11,0,0.0,2775,0,0.0,962,0,0.0,2717,0,0.0,2477,0,0.0,0.0,0,43726,0,30630,0
22,2022-03-10,1791,0,0.0,3727,0,0.0,815,0,0.0,9200,0,0.0,4826,0,0.0,1590,0,0.0,18,0,0.0,2795,0,0.0,968,0,0.0,2732,0,0.0,2555,0,0.0,0.0,0,43726,0,31017,0
23,2022-03-11,1844,0,0.0,3828,0,0.0,816,0,0.0,9234,0,0.0,4850,0,0.0,1603,0,0.0,26,0,0.0,2808,0,0.0,973,0,0.0,2736,0,0.0,2629,0,0.0,0.0,0,43726,0,31347,0
24,2022-03-12,1905,0,0.0,3917,0,0.0,817,0,0.0,9273,0,0.0,4897,0,0.0,1613,0,0.0,30,0,0.0,2822,0,0.0,980,0,0.0,2746,0,0.0,2707,0,0.0,0.0,0,43726,0,31707,0
