Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Camp_Atsinanana sim,Camp_Atsinanana data,Camp_Atsinanana error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,25,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,26,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,91,0,0.0,72,0,0.0,0,0,0.0,0,0,0.0,27,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,190,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,256,0,0.0,272,0,0.0,0,0,0.0,0,0,0.0,95,0,0.0,0,0,0.0,22,0,0.0,0,0,0.0,0.0,0,5586,0,645,0
3,2022-02-19,0,0,0.0,54,0,0.0,41,0,0.0,641,0,0.0,497,0,0.0,40,0,0.0,0,0,0.0,277,0,0.0,32,0,0.0,158,0,0.0,37,0,0.0,0.0,0,12691,0,1777,0
4,2022-02-20,1,0,0.0,195,0,0.0,136,0,0.0,1182,0,0.0,1133,0,0.0,122,0,0.0,0,0,0.0,586,0,0.0,107,0,0.0,416,0,0.0,104,0,0.0,0.0,0,19482,0,3982,0
5,2022-02-21,4,0,0.0,410,0,0.0,238,0,0.0,2066,0,0.0,1661,0,0.0,251,0,0.0,0,0,0.0,850,0,0.0,188,0,0.0,715,0,0.0,212,0,0.0,0.0,0,27403,0,6595,0
6,2022-02-22,29,0,0.0,685,0,0.0,363,0,0.0,3237,0,0.0,2367,0,0.0,401,0,0.0,0,0,0.0,1306,0,0.0,316,0,0.0,1009,0,0.0,415,0,0.0,0.0,0,34082,0,10128,0
7,2022-02-23,75,0,0.0,1003,0,0.0,500,0,0.0,4670,0,0.0,3116,0,0.0,633,0,0.0,0,0,0.0,1707,0,0.0,464,0,0.0,1476,0,0.0,647,0,0.0,0.0,0,39535,0,14291,0
8,2022-02-24,178,0,0.0,1276,0,0.0,565,0,0.0,5828,0,0.0,3698,0,0.0,902,0,0.0,0,0,0.0,2031,0,0.0,557,0,0.0,1755,0,0.0,858,0,0.0,0.0,0,40535,0,17648,0
9,2022-02-25,323,0,0.0,1525,0,0.0,628,0,0.0,6582,0,0.0,3949,0,0.0,1115,0,0.0,0,0,0.0,2238,0,0.0,625,0,0.0,1970,0,0.0,1090,0,0.0,0.0,0,41430,0,20045,0
10,2022-02-26,485,0,0.0,1760,0,0.0,680,0,0.0,7153,0,0.0,4122,0,0.0,1191,0,0.0,0,0,0.0,2336,0,0.0,692,0,0.0,2111,0,0.0,1264,0,0.0,0.0,0,42234,0,21794,0
11,2022-02-27,645,0,0.0,1991,0,0.0,717,0,0.0,7590,0,0.0,4284,0,0.0,1275,0,0.0,0,0,0.0,2409,0,0.0,736,0,0.0,2234,0,0.0,1445,0,0.0,0.0,0,42959,0,23326,0
12,2022-02-28,786,0,0.0,2260,0,0.0,734,0,0.0,7996,0,0.0,4399,0,0.0,1324,0,0.0,0,0,0.0,2467,0,0.0,782,0,0.0,2346,0,0.0,1575,0,0.0,0.0,0,43615,0,24669,0
13,2022-03-01,933,0,0.0,2471,0,0.0,757,0,0.0,8304,0,0.0,4480,0,0.0,1382,0,0.0,1,0,0.0,2525,0,0.0,809,0,0.0,2425,0,0.0,1711,0,0.0,0.0,0,43648,0,25798,0
14,2022-03-02,1083,0,0.0,2669,0,0.0,774,0,0.0,8516,0,0.0,4558,0,0.0,1432,0,0.0,3,0,0.0,2578,0,0.0,837,0,0.0,2494,0,0.0,1833,0,0.0,0.0,0,43676,0,26777,0
15,2022-03-03,1215,0,0.0,2850,0,0.0,787,0,0.0,8673,0,0.0,4616,0,0.0,1465,0,0.0,3,0,0.0,2611,0,0.0,851,0,0.0,2542,0,0.0,1931,0,0.0,0.0,0,43703,0,27544,0
16,2022-03-04,1324,0,0.0,2997,0,0.0,794,0,0.0,8805,0,0.0,4675,0,0.0,1495,0,0.0,4,0,0.0,2631,0,0.0,873,0,0.0,2577,0,0.0,2029,0,0.0,0.0,0,43726,0,28204,0
17,2022-03-05,1430,0,0.0,3121,0,0.0,801,0,0.0,8925,0,0.0,4718,0,0.0,1529,0,0.0,6,0,0.0,2666,0,0.0,889,0,0.0,2611,0,0.0,2120,0,0.0,0.0,0,43726,0,28816,0
18,2022-03-06,1526,0,0.0,3240,0,0.0,806,0,0.0,8993,0,0.0,4753,0,0.0,1552,0,0.0,9,0,0.0,2698,0,0.0,902,0,0.0,2638,0,0.0,2202,0,0.0,0.0,0,43726,0,29319,0
19,2022-03-07,1603,0,0.0,3382,0,0.0,808,0,0.0,9072,0,0.0,4797,0,0.0,1576,0,0.0,14,0,0.0,2713,0,0.0,915,0,0.0,2661,0,0.0,2271,0,0.0,0.0,0,43726,0,29812,0
20,2022-03-08,1695,0,0.0,3479,0,0.0,810,0,0.0,9134,0,0.0,4832,0,0.0,1597,0,0.0,18,0,0.0,2730,0,0.0,926,0,0.0,2670,0,0.0,2349,0,0.0,0.0,0,43726,0,30240,0
21,2022-03-09,1766,0,0.0,3610,0,0.0,811,0,0.0,9186,0,0.0,4858,0,0.0,1614,0,0.0,20,0,0.0,2750,0,0.0,937,0,0.0,2677,0,0.0,2413,0,0.0,0.0,0,43726,0,30642,0
22,2022-03-10,1832,0,0.0,3705,0,0.0,814,0,0.0,9231,0,0.0,4878,0,0.0,1632,0,0.0,22,0,0.0,2758,0,0.0,943,0,0.0,2683,0,0.0,2495,0,0.0,0.0,0,43726,0,30993,0
23,2022-03-11,1882,0,0.0,3791,0,0.0,814,0,0.0,9278,0,0.0,4913,0,0.0,1651,0,0.0,27,0,0.0,2774,0,0.0,953,0,0.0,2694,0,0.0,2577,0,0.0,0.0,0,43726,0,31354,0
24,2022-03-12,1944,0,0.0,3904,0,0.0,815,0,0.0,9311,0,0.0,4946,0,0.0,1665,0,0.0,32,0,0.0,2788,0,0.0,958,0,0.0,2702,0,0.0,2641,0,0.0,0.0,0,43726,0,31706,0
25,2022-03-13,2005,0,0.0,3980,0,0.0,815,0,0.0,9344,0,0.0,4970,0,0.0,1683,0,0.0,35,0,0.0,2806,0,0.0,968,0,0.0,2711,0,0.0,2698,0,0.0,0.0,0,43726,0,32015,0
26,2022-03-14,2050,0,0.0,4067,0,0.0,815,0,0.0,9366,0,0.0,5000,0,0.0,1692,0,0.0,41,0,0.0,2816,0,0.0,973,0,0.0,2717,0,0.0,2770,0,0.0,0.0,0,43726,0,32307,0
27,2022-03-15,2096,0,0.0,4157,0,0.0,815,0,0.0,9390,0,0.0,5023,0,0.0,1701,0,0.0,48,0,0.0,2835,0,0.0,974,0,0.0,2722,0,0.0,2841,0,0.0,0.0,0,43726,0,32602,0
28,2022-03-16,2147,0,0.0,4238,0,0.0,817,0,0.0,9414,0,0.0,5043,0,0.0,1707,0,0.0,55,0,0.0,2851,0,0.0,981,0,0.0,2731,0,0.0,2904,0,0.0,0.0,0,43726,0,32888,0
29,2022-03-17,2191,0,0.0,4327,0,0.0,817,0,0.0,9432,0,0.0,5066,0,0.0,1713,0,0.0,59,0,0.0,2865,0,0.0,989,0,0.0,2734,0,0.0,2955,0,0.0,0.0,0,43726,0,33148,0
30,2022-03-18,2231,0,0.0,4397,0,0.0,817,0,0.0,9445,0,0.0,5104,0,0.0,1715,0,0.0,67,0,0.0,2881,0,0.0,997,0,0.0,2737,0,0.0,3017,0,0.0,0.0,0,43726,0,33408,0
31,2022-03-19,2276,0,0.0,4475,0,0.0,817,0,0.0,9463,0,0.0,5135,0,0.0,1720,0,0.0,74,0,0.0,2900,0,0.0,1000,0,0.0,2743,0,0.0,3065,0,0.0,0.0,0,43726,0,33668,0
32,2022-03-20,2316,0,0.0,4554,0,0.0,817,0,0.0,9477,0,0.0,5167,0,0.0,1729,0,0.0,88,0,0.0,2917,0,0.0,1005,0,0.0,2749,0,0.0,3101,0,0.0,0.0,0,43726,0,33920,0
33,2022-03-21,2359,0,0.0,4628,0,0.0,818,0,0.0,9496,0,0.0,5187,0,0.0,1740,0,0.0,92,0,0.0,2927,0,0.0,1008,0,0.0,2752,0,0.0,3146,0,0.0,0.0,0,43726,0,34153,0
34,2022-03-22,2392,0,0.0,4701,0,0.0,818,0,0.0,9502,0,0.0,5207,0,0.0,1743,0,0.0,98,0,0.0,2937,0,0.0,1011,0,0.0,2754,0,0.0,3195,0,0.0,0.0,0,43726,0,34358,0
35,2022-03-23,2440,0,0.0,4771,0,0.0,818,0,0.0,9509,0,0.0,5227,0,0.0,1750,0,0.0,108,0,0.0,2941,0,0.0,1019,0,0.0,2758,0,0.0,3245,0,0.0,0.0,0,43726,0,34586,0
36,2022-03-24,2486,0,0.0,4831,0,0.0,818,0,0.0,9521,0,0.0,5253,0,0.0,1753,0,0.0,113,0,0.0,2947,0,0.0,1026,0,0.0,2761,0,0.0,3290,0,0.0,0.0,0,43726,0,34799,0
37,2022-03-25,2532,0,0.0,4901,0,0.0,818,0,0.0,9533,0,0.0,5271,0,0.0,1761,0,0.0,120,0,0.0,2953,0,0.0,1030,0,0.0,2762,0,0.0,3322,0,0.0,0.0,0,43726,0,35003,0
38,2022-03-26,2564,0,0.0,4962,0,0.0,818,0,0.0,9541,0,0.0,5293,0,0.0,1769,0,0.0,126,0,0.0,2968,0,0.0,1035,0,0.0,2764,0,0.0,3367,0,0.0,0.0,0,43726,0,35207,0
39,2022-03-27,2594,0,0.0,5024,0,0.0,818,0,0.0,9550,0,0.0,5312,0,0.0,1774,0,0.0,130,0,0.0,2986,0,0.0,1038,0,0.0,2767,0,0.0,3399,0,0.0,0.0,0,43726,0,35392,0
40,2022-03-28,2629,0,0.0,5088,0,0.0,818,0,0.0,9560,0,0.0,5329,0,0.0,1776,0,0.0,134,0,0.0,2995,0,0.0,1040,0,0.0,2768,0,0.0,3431,0,0.0,0.0,0,43726,0,35568,0
