Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Camp_Atsinanana sim,Camp_Atsinanana data,Camp_Atsinanana error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,33,0,0.0,0,0,0.0,0,0,0.0,3,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,36,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,90,0,0.0,78,0,0.0,0,0,0.0,0,0,0.0,28,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,196,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,265,0,0.0,270,0,0.0,0,0,0.0,0,0,0.0,95,0,0.0,0,0,0.0,27,0,0.0,0,0,0.0,0.0,0,5586,0,657,0
3,2022-02-19,0,0,0.0,54,0,0.0,44,0,0.0,642,0,0.0,481,0,0.0,52,0,0.0,0,0,0.0,288,0,0.0,46,0,0.0,138,0,0.0,37,0,0.0,0.0,0,12691,0,1782,0
4,2022-02-20,1,0,0.0,202,0,0.0,141,0,0.0,1188,0,0.0,1113,0,0.0,132,0,0.0,0,0,0.0,637,0,0.0,102,0,0.0,389,0,0.0,102,0,0.0,0.0,0,19482,0,4007,0
5,2022-02-21,9,0,0.0,396,0,0.0,263,0,0.0,2039,0,0.0,1618,0,0.0,259,0,0.0,0,0,0.0,884,0,0.0,188,0,0.0,701,0,0.0,237,0,0.0,0.0,0,27403,0,6594,0
6,2022-02-22,33,0,0.0,656,0,0.0,367,0,0.0,3250,0,0.0,2318,0,0.0,399,0,0.0,0,0,0.0,1347,0,0.0,328,0,0.0,1025,0,0.0,414,0,0.0,0.0,0,34082,0,10137,0
7,2022-02-23,92,0,0.0,981,0,0.0,497,0,0.0,4633,0,0.0,3087,0,0.0,659,0,0.0,0,0,0.0,1743,0,0.0,488,0,0.0,1431,0,0.0,656,0,0.0,0.0,0,39535,0,14267,0
8,2022-02-24,190,0,0.0,1287,0,0.0,594,0,0.0,5733,0,0.0,3634,0,0.0,915,0,0.0,0,0,0.0,2098,0,0.0,589,0,0.0,1680,0,0.0,882,0,0.0,0.0,0,40535,0,17602,0
9,2022-02-25,313,0,0.0,1528,0,0.0,654,0,0.0,6379,0,0.0,3923,0,0.0,1124,0,0.0,0,0,0.0,2286,0,0.0,654,0,0.0,1905,0,0.0,1102,0,0.0,0.0,0,41430,0,19868,0
10,2022-02-26,506,0,0.0,1759,0,0.0,694,0,0.0,6936,0,0.0,4096,0,0.0,1205,0,0.0,0,0,0.0,2392,0,0.0,713,0,0.0,2064,0,0.0,1267,0,0.0,0.0,0,42234,0,21632,0
11,2022-02-27,687,0,0.0,2015,0,0.0,737,0,0.0,7421,0,0.0,4236,0,0.0,1283,0,0.0,0,0,0.0,2446,0,0.0,758,0,0.0,2207,0,0.0,1424,0,0.0,0.0,0,42959,0,23214,0
12,2022-02-28,831,0,0.0,2276,0,0.0,769,0,0.0,7794,0,0.0,4344,0,0.0,1349,0,0.0,0,0,0.0,2500,0,0.0,801,0,0.0,2307,0,0.0,1576,0,0.0,0.0,0,43615,0,24547,0
13,2022-03-01,976,0,0.0,2513,0,0.0,785,0,0.0,8104,0,0.0,4431,0,0.0,1425,0,0.0,0,0,0.0,2564,0,0.0,840,0,0.0,2384,0,0.0,1731,0,0.0,0.0,0,43648,0,25753,0
14,2022-03-02,1115,0,0.0,2710,0,0.0,801,0,0.0,8330,0,0.0,4512,0,0.0,1471,0,0.0,0,0,0.0,2619,0,0.0,866,0,0.0,2455,0,0.0,1849,0,0.0,0.0,0,43676,0,26728,0
15,2022-03-03,1229,0,0.0,2874,0,0.0,811,0,0.0,8488,0,0.0,4574,0,0.0,1516,0,0.0,0,0,0.0,2646,0,0.0,884,0,0.0,2512,0,0.0,1943,0,0.0,0.0,0,43703,0,27477,0
16,2022-03-04,1340,0,0.0,3022,0,0.0,824,0,0.0,8627,0,0.0,4631,0,0.0,1537,0,0.0,0,0,0.0,2671,0,0.0,903,0,0.0,2548,0,0.0,2036,0,0.0,0.0,0,43726,0,28139,0
17,2022-03-05,1434,0,0.0,3161,0,0.0,829,0,0.0,8758,0,0.0,4673,0,0.0,1565,0,0.0,5,0,0.0,2691,0,0.0,917,0,0.0,2582,0,0.0,2124,0,0.0,0.0,0,43726,0,28739,0
18,2022-03-06,1536,0,0.0,3278,0,0.0,831,0,0.0,8843,0,0.0,4713,0,0.0,1594,0,0.0,7,0,0.0,2707,0,0.0,930,0,0.0,2607,0,0.0,2212,0,0.0,0.0,0,43726,0,29258,0
19,2022-03-07,1602,0,0.0,3402,0,0.0,832,0,0.0,8915,0,0.0,4755,0,0.0,1614,0,0.0,11,0,0.0,2727,0,0.0,942,0,0.0,2635,0,0.0,2283,0,0.0,0.0,0,43726,0,29718,0
20,2022-03-08,1679,0,0.0,3530,0,0.0,833,0,0.0,8982,0,0.0,4785,0,0.0,1640,0,0.0,13,0,0.0,2750,0,0.0,950,0,0.0,2657,0,0.0,2358,0,0.0,0.0,0,43726,0,30177,0
21,2022-03-09,1749,0,0.0,3627,0,0.0,836,0,0.0,9039,0,0.0,4821,0,0.0,1659,0,0.0,19,0,0.0,2760,0,0.0,965,0,0.0,2671,0,0.0,2430,0,0.0,0.0,0,43726,0,30576,0
22,2022-03-10,1810,0,0.0,3743,0,0.0,838,0,0.0,9090,0,0.0,4846,0,0.0,1678,0,0.0,24,0,0.0,2780,0,0.0,974,0,0.0,2682,0,0.0,2506,0,0.0,0.0,0,43726,0,30971,0
23,2022-03-11,1884,0,0.0,3839,0,0.0,841,0,0.0,9134,0,0.0,4877,0,0.0,1693,0,0.0,30,0,0.0,2792,0,0.0,977,0,0.0,2692,0,0.0,2572,0,0.0,0.0,0,43726,0,31331,0
24,2022-03-12,1926,0,0.0,3930,0,0.0,843,0,0.0,9171,0,0.0,4913,0,0.0,1709,0,0.0,38,0,0.0,2802,0,0.0,980,0,0.0,2700,0,0.0,2648,0,0.0,0.0,0,43726,0,31660,0
25,2022-03-13,1976,0,0.0,4018,0,0.0,843,0,0.0,9202,0,0.0,4943,0,0.0,1727,0,0.0,43,0,0.0,2812,0,0.0,991,0,0.0,2711,0,0.0,2716,0,0.0,0.0,0,43726,0,31982,0
26,2022-03-14,2037,0,0.0,4102,0,0.0,844,0,0.0,9228,0,0.0,4973,0,0.0,1738,0,0.0,51,0,0.0,2827,0,0.0,998,0,0.0,2714,0,0.0,2772,0,0.0,0.0,0,43726,0,32284,0
27,2022-03-15,2082,0,0.0,4196,0,0.0,844,0,0.0,9244,0,0.0,5008,0,0.0,1748,0,0.0,64,0,0.0,2830,0,0.0,1006,0,0.0,2719,0,0.0,2837,0,0.0,0.0,0,43726,0,32578,0
28,2022-03-16,2130,0,0.0,4288,0,0.0,844,0,0.0,9263,0,0.0,5036,0,0.0,1754,0,0.0,69,0,0.0,2840,0,0.0,1014,0,0.0,2725,0,0.0,2890,0,0.0,0.0,0,43726,0,32853,0
29,2022-03-17,2171,0,0.0,4362,0,0.0,844,0,0.0,9285,0,0.0,5060,0,0.0,1766,0,0.0,75,0,0.0,2852,0,0.0,1023,0,0.0,2732,0,0.0,2944,0,0.0,0.0,0,43726,0,33114,0
30,2022-03-18,2212,0,0.0,4448,0,0.0,844,0,0.0,9302,0,0.0,5090,0,0.0,1774,0,0.0,82,0,0.0,2867,0,0.0,1031,0,0.0,2739,0,0.0,2995,0,0.0,0.0,0,43726,0,33384,0
31,2022-03-19,2267,0,0.0,4522,0,0.0,845,0,0.0,9318,0,0.0,5113,0,0.0,1789,0,0.0,91,0,0.0,2878,0,0.0,1035,0,0.0,2740,0,0.0,3039,0,0.0,0.0,0,43726,0,33637,0
32,2022-03-20,2317,0,0.0,4601,0,0.0,845,0,0.0,9331,0,0.0,5140,0,0.0,1797,0,0.0,92,0,0.0,2881,0,0.0,1040,0,0.0,2742,0,0.0,3083,0,0.0,0.0,0,43726,0,33869,0
33,2022-03-21,2359,0,0.0,4677,0,0.0,845,0,0.0,9347,0,0.0,5169,0,0.0,1805,0,0.0,103,0,0.0,2896,0,0.0,1053,0,0.0,2743,0,0.0,3129,0,0.0,0.0,0,43726,0,34126,0
34,2022-03-22,2400,0,0.0,4746,0,0.0,845,0,0.0,9358,0,0.0,5191,0,0.0,1811,0,0.0,107,0,0.0,2906,0,0.0,1060,0,0.0,2745,0,0.0,3161,0,0.0,0.0,0,43726,0,34330,0
35,2022-03-23,2440,0,0.0,4801,0,0.0,845,0,0.0,9373,0,0.0,5208,0,0.0,1820,0,0.0,113,0,0.0,2910,0,0.0,1069,0,0.0,2745,0,0.0,3213,0,0.0,0.0,0,43726,0,34537,0
36,2022-03-24,2470,0,0.0,4857,0,0.0,845,0,0.0,9385,0,0.0,5236,0,0.0,1827,0,0.0,120,0,0.0,2926,0,0.0,1071,0,0.0,2749,0,0.0,3248,0,0.0,0.0,0,43726,0,34734,0
37,2022-03-25,2507,0,0.0,4936,0,0.0,845,0,0.0,9393,0,0.0,5252,0,0.0,1829,0,0.0,131,0,0.0,2939,0,0.0,1076,0,0.0,2753,0,0.0,3281,0,0.0,0.0,0,43726,0,34942,0
38,2022-03-26,2547,0,0.0,5000,0,0.0,845,0,0.0,9404,0,0.0,5272,0,0.0,1839,0,0.0,137,0,0.0,2948,0,0.0,1080,0,0.0,2757,0,0.0,3317,0,0.0,0.0,0,43726,0,35146,0
39,2022-03-27,2590,0,0.0,5065,0,0.0,845,0,0.0,9410,0,0.0,5287,0,0.0,1842,0,0.0,144,0,0.0,2955,0,0.0,1086,0,0.0,2757,0,0.0,3355,0,0.0,0.0,0,43726,0,35336,0
40,2022-03-28,2621,0,0.0,5114,0,0.0,845,0,0.0,9420,0,0.0,5305,0,0.0,1845,0,0.0,149,0,0.0,2960,0,0.0,1086,0,0.0,2759,0,0.0,3386,0,0.0,0.0,0,43726,0,35490,0
